Date,Nino34
1981-01-01,-0.45
1981-02-01,-0.45
1981-03-01,-0.02
1981-04-01,-0.17
1981-05-01,-0.11
1981-06-01,-0.15
1981-07-01,-0.43
1981-08-01,-0.18
1981-09-01,-0.07
1981-10-01,-0.03
1981-11-01,-0.27
1981-12-01,0.07
1982-01-01,-0.04
1982-02-01,-0.13
1982-03-01,-0.02
1982-04-01,0.24
1982-05-01,0.65
1982-06-01,0.92
1982-07-01,0.64
1982-08-01,0.93
1982-09-01,1.39
1982-10-01,2.0
1982-11-01,2.07
1982-12-01,2.33
1983-01-01,2.43
1983-02-01,2.22
1983-03-01,1.69
1983-04-01,1.12
1983-05-01,1.12
1983-06-01,0.62
1983-07-01,-0.11
1983-08-01,-0.13
1983-09-01,-0.5
1983-10-01,-1.03
1983-11-01,-1.13
1983-12-01,-0.95
1984-01-01,-0.8
1984-02-01,-0.53
1984-03-01,-0.48
1984-04-01,-0.6
1984-05-01,-0.64
1984-06-01,-0.9
1984-07-01,-0.4
1984-08-01,-0.4
1984-09-01,-0.35
1984-10-01,-0.83
1984-11-01,-1.18
1984-12-01,-1.53
1985-01-01,-0.89
1985-02-01,-0.91
1985-03-01,-0.96
1985-04-01,-0.98
1985-05-01,-0.9
1985-06-01,-0.76
1985-07-01,-0.61
1985-08-01,-0.49
1985-09-01,-0.57
1985-10-01,-0.64
1985-11-01,-0.43
1985-12-01,-0.4
1986-01-01,-0.79
1986-02-01,-0.64
1986-03-01,-0.51
1986-04-01,-0.41
1986-05-01,-0.47
1986-06-01,-0.08
1986-07-01,0.16
1986-08-01,0.24
1986-09-01,0.59
1986-10-01,0.9
1986-11-01,1.04
1986-12-01,0.98
1987-01-01,1.19
1987-02-01,1.17
1987-03-01,1.24
1987-04-01,0.89
1987-05-01,0.91
1987-06-01,1.24
1987-07-01,1.34
1987-08-01,1.48
1987-09-01,1.53
1987-10-01,1.36
1987-11-01,1.29
1987-12-01,1.05
1988-01-01,0.69
1988-02-01,0.35
1988-03-01,0.29
1988-04-01,-0.49
1988-05-01,-1.05
1988-06-01,-1.46
1988-07-01,-1.54
1988-08-01,-1.44
1988-09-01,-1.33
1988-10-01,-2.09
1988-11-01,-2.18
1988-12-01,-1.98
1989-01-01,-1.95
1989-02-01,-1.37
1989-03-01,-1.33
1989-04-01,-1.11
1989-05-01,-0.8
1989-06-01,-0.64
1989-07-01,-0.47
1989-08-01,-0.58
1989-09-01,-0.38
1989-10-01,-0.4
1989-11-01,-0.3
1989-12-01,-0.13
1990-01-01,0.02
1990-02-01,0.36
1990-03-01,0.2
1990-04-01,0.26
1990-05-01,0.32
1990-06-01,0.0
1990-07-01,0.15
1990-08-01,0.17
1990-09-01,0.12
1990-10-01,0.13
1990-11-01,0.08
1990-12-01,0.32
1991-01-01,0.51
1991-02-01,0.32
1991-03-01,0.1
1991-04-01,0.21
1991-05-01,0.44
1991-06-01,0.65
1991-07-01,0.62
1991-08-01,0.43
1991-09-01,0.22
1991-10-01,0.91
1991-11-01,1.14
1991-12-01,1.62
1992-01-01,1.61
1992-02-01,1.62
1992-03-01,1.5
1992-04-01,1.41
1992-05-01,1.27
1992-06-01,0.53
1992-07-01,0.27
1992-08-01,-0.15
1992-09-01,-0.14
1992-10-01,-0.35
1992-11-01,-0.14
1992-12-01,0.04
1993-01-01,0.28
1993-02-01,0.42
1993-03-01,0.47
1993-04-01,0.92
1993-05-01,0.93
1993-06-01,0.64
1993-07-01,0.33
1993-08-01,0.16
1993-09-01,0.26
1993-10-01,0.36
1993-11-01,0.28
1993-12-01,0.19
1994-01-01,0.03
1994-02-01,-0.16
1994-03-01,-0.06
1994-04-01,0.03
1994-05-01,0.14
1994-06-01,0.27
1994-07-01,0.16
1994-08-01,0.52
1994-09-01,0.4
1994-10-01,0.9
1994-11-01,1.14
1994-12-01,1.21
1995-01-01,1.1
1995-02-01,0.87
1995-03-01,0.49
1995-04-01,0.27
1995-05-01,0.03
1995-06-01,0.08
1995-07-01,0.03
1995-08-01,-0.38
1995-09-01,-0.57
1995-10-01,-0.72
1995-11-01,-0.78
1995-12-01,-0.72
1996-01-01,-0.65
1996-02-01,-0.66
1996-03-01,-0.48
1996-04-01,-0.34
1996-05-01,-0.4
1996-06-01,-0.12
1996-07-01,-0.14
1996-08-01,-0.3
1996-09-01,-0.34
1996-10-01,-0.28
1996-11-01,-0.3
1996-12-01,-0.43
1997-01-01,-0.43
1997-02-01,-0.24
1997-03-01,-0.06
1997-04-01,0.34
1997-05-01,0.87
1997-06-01,1.15
1997-07-01,1.6
1997-08-01,1.94
1997-09-01,2.1
1997-10-01,2.29
1997-11-01,2.42
1997-12-01,2.3
1998-01-01,2.42
1998-02-01,2.08
1998-03-01,1.49
1998-04-01,0.9
1998-05-01,0.68
1998-06-01,-0.39
1998-07-01,-0.73
1998-08-01,-0.83
1998-09-01,-0.82
1998-10-01,-1.19
1998-11-01,-1.23
1998-12-01,-1.51
1999-01-01,-1.53
1999-02-01,-1.41
1999-03-01,-0.92
1999-04-01,-0.81
1999-05-01,-0.87
1999-06-01,-0.95
1999-07-01,-0.84
1999-08-01,-0.98
1999-09-01,-0.84
1999-10-01,-1.03
1999-11-01,-1.41
1999-12-01,-1.54
2000-01-01,-1.79
2000-02-01,-1.53
2000-03-01,-1.26
2000-04-01,-0.8
2000-05-01,-0.8
2000-06-01,-0.75
2000-07-01,-0.57
2000-08-01,-0.36
2000-09-01,-0.39
2000-10-01,-0.55
2000-11-01,-0.75
2000-12-01,-0.92
2001-01-01,-0.88
2001-02-01,-0.63
2001-03-01,-0.48
2001-04-01,-0.3
2001-05-01,-0.3
2001-06-01,-0.11
2001-07-01,0.01
2001-08-01,-0.07
2001-09-01,-0.28
2001-10-01,-0.26
2001-11-01,-0.28
2001-12-01,-0.46
2002-01-01,-0.14
2002-02-01,0.0
2002-03-01,0.11
2002-04-01,0.14
2002-05-01,0.21
2002-06-01,0.68
2002-07-01,0.57
2002-08-01,0.7
2002-09-01,0.82
2002-10-01,1.16
2002-11-01,1.41
2002-12-01,1.41
2003-01-01,0.98
2003-02-01,0.64
2003-03-01,0.48
2003-04-01,-0.03
2003-05-01,-0.52
2003-06-01,-0.19
2003-07-01,0.14
2003-08-01,0.05
2003-09-01,0.15
2003-10-01,0.46
2003-11-01,0.39
2003-12-01,0.32
2004-01-01,0.26
2004-02-01,0.17
2004-03-01,-0.1
2004-04-01,0.06
2004-05-01,0.1
2004-06-01,0.14
2004-07-01,0.41
2004-08-01,0.66
2004-09-01,0.67
2004-10-01,0.73
2004-11-01,0.62
2004-12-01,0.71
2005-01-01,0.56
2005-02-01,0.26
2005-03-01,0.28
2005-04-01,0.28
2005-05-01,0.3
2005-06-01,0.22
2005-07-01,-0.01
2005-08-01,-0.04
2005-09-01,-0.08
2005-10-01,-0.15
2005-11-01,-0.44
2005-12-01,-0.75
2006-01-01,-0.98
2006-02-01,-0.71
2006-03-01,-0.73
2006-04-01,-0.3
2006-05-01,-0.11
2006-06-01,0.09
2006-07-01,0.03
2006-08-01,0.37
2006-09-01,0.63
2006-10-01,0.76
2006-11-01,0.98
2006-12-01,1.1
2007-01-01,0.59
2007-02-01,0.12
2007-03-01,-0.15
2007-04-01,-0.16
2007-05-01,-0.39
2007-06-01,-0.16
2007-07-01,-0.37
2007-08-01,-0.57
2007-09-01,-1.04
2007-10-01,-1.4
2007-11-01,-1.58
2007-12-01,-1.61
2008-01-01,-1.79
2008-02-01,-1.7
2008-03-01,-1.17
2008-04-01,-0.89
2008-05-01,-0.64
2008-06-01,-0.44
2008-07-01,-0.04
2008-08-01,-0.04
2008-09-01,-0.28
2008-10-01,-0.3
2008-11-01,-0.37
2008-12-01,-0.9
2009-01-01,-1.0
2009-02-01,-0.71
2009-03-01,-0.72
2009-04-01,-0.25
2009-05-01,0.17
2009-06-01,0.49
2009-07-01,0.69
2009-08-01,0.62
2009-09-01,0.68
2009-10-01,0.96
2009-11-01,1.49
2009-12-01,1.81
2010-01-01,1.43
2010-02-01,1.18
2010-03-01,1.07
2010-04-01,0.56
2010-05-01,-0.15
2010-06-01,-0.62
2010-07-01,-0.89
2010-08-01,-1.33
2010-09-01,-1.56
2010-10-01,-1.65
2010-11-01,-1.57
2010-12-01,-1.63
2011-01-01,-1.7
2011-02-01,-1.26
2011-03-01,-0.98
2011-04-01,-0.74
2011-05-01,-0.53
2011-06-01,-0.25
2011-07-01,-0.23
2011-08-01,-0.66
2011-09-01,-0.76
2011-10-01,-0.93
2011-11-01,-1.09
2011-12-01,-1.05
2012-01-01,-0.93
2012-02-01,-0.61
2012-03-01,-0.48
2012-04-01,-0.29
2012-05-01,-0.18
2012-06-01,0.14
2012-07-01,0.44
2012-08-01,0.66
2012-09-01,0.44
2012-10-01,0.23
2012-11-01,0.33
2012-12-01,-0.13
2013-01-01,-0.42
2013-02-01,-0.4
2013-03-01,-0.14
2013-04-01,-0.08
2013-05-01,-0.28
2013-06-01,-0.33
2013-07-01,-0.28
2013-08-01,-0.29
2013-09-01,-0.09
2013-10-01,-0.24
2013-11-01,-0.02
2013-12-01,-0.09
2014-01-01,-0.42
2014-02-01,-0.45
2014-03-01,-0.07
2014-04-01,0.28
2014-05-01,0.45
2014-06-01,0.48
2014-07-01,0.13
2014-08-01,0.14
2014-09-01,0.37
2014-10-01,0.48
2014-11-01,0.89
2014-12-01,0.77
2015-01-01,0.59
2015-02-01,0.57
2015-03-01,0.48
2015-04-01,0.9
2015-05-01,1.04
2015-06-01,1.28
2015-07-01,1.56
2015-08-01,1.87
2015-09-01,2.01
2015-10-01,2.21
2015-11-01,2.57
2015-12-01,2.56
2016-01-01,2.56
2016-02-01,2.11
2016-03-01,1.6
2016-04-01,1.05
2016-05-01,0.45
2016-06-01,0.06
2016-07-01,-0.25
2016-08-01,-0.48
2016-09-01,-0.46
2016-10-01,-0.75
2016-11-01,-0.63
2016-12-01,-0.51
2017-01-01,-0.34
2017-02-01,-0.01
2017-03-01,-0.09
2017-04-01,0.22
2017-05-01,0.3
2017-06-01,0.22
