rank,date,source,total_area_km2,num_pixels_affected,coverage_percent,average_pixel_area_km2,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_mm,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_span_km,intensity_stats_mean_mm,intensity_stats_median_mm,intensity_stats_std_mm,intensity_stats_min_mm,intensity_stats_max_mm,intensity_stats_p25_mm,intensity_stats_p75_mm,intensity_stats_p90_mm,intensity_stats_p95_mm,intensity_stats_p99_mm,intensity_stats_mean_anomaly,intensity_stats_max_anomaly,intensity_stats_extreme_pixels_pct,geometry_metrics_lat_extent,geometry_metrics_lon_extent,geometry_metrics_lat_span_km,shape_metrics_total_area_km2,shape_metrics_equivalent_radius_km,shape_metrics_perimeter_approx_km,shape_metrics_compactness,shape_metrics_elongation,connectivity_num_clusters,connectivity_largest_cluster_size,connectivity_largest_cluster_ratio,connectivity_fragmentation_index,geographic_analysis_total_coordinates,geographic_analysis_valid_coordinates,intensity_density,anomaly_severity,spatial_concentration
1,1996-11-08,CHIRPS,293926.0625,392,87.11111111111111,749.8114013671875,13.674372306746271,-13.954952532407852,Tambacounda,Tambacounda,Zone soudano-sahélienne,5.603641510009766,12.375,-15.125,Sédhiou,Bounkiling,4.25,5.75,473.10999999999996,1.206889561776604,1.0080831050872803,0.9057105322649577,0.15987347066402435,5.603641510009766,0.5726950764656067,1.5076864659786224,2.1514114618301403,3.0527054786682113,4.735494647026061,6.736241211737546,12.56494704752427,98.72448979591837,4.25,5.75,473.10999999999996,293926.0625,305.8750915527344,1921.8699951171875,0.9999999403953552,1.260775089263916,1,392,1.0,0.002551020408163265,392,392,1.211040114382672,6.736241211737546,0.37428425238557783
2,2012-09-28,CHIRPS,294599.4375,393,87.33333333333333,749.6168823242188,14.281035234038894,-14.133424054727287,Tambacounda,Koumpentoum,Zone soudano-sahélienne,44.27000427246094,12.625,-13.875,Kolda,Vélingara,4.25,5.75,473.10999999999996,22.591251763982022,22.427274703979492,6.3725750973405475,9.233241081237793,44.27000427246094,18.151121139526367,26.5543212890625,30.95267143249512,33.42156906127929,39.29823226928709,3.9339448652042432,8.137531016741498,80.1526717557252,4.25,5.75,473.10999999999996,294599.4375,306.22528076171875,1924.0701904296875,0.9999999403953552,1.260140299797058,1,393,1.0,0.002544529262086514,393,393,22.614201045574212,3.9339448652042432,0.15847429148635195
3,2000-10-16,CHIRPS,264464.5625,353,78.44444444444444,749.19140625,14.23623261910637,-14.037460768774988,Tambacounda,Koumpentoum,Zone soudano-sahélienne,30.393627166748047,12.375,-11.625,Kédougou,Saraya,4.25,5.75,473.10999999999996,11.744859110532333,11.189492225646973,5.203939710239283,1.9914779663085938,30.393627166748047,7.801856517791748,14.942068099975586,19.071123504638674,21.423899078369136,25.655822753906254,5.802498657160925,15.633331138014398,89.80169971671388,4.25,5.75,473.10999999999996,264464.5625,290.14080810546875,1823.008544921875,0.9999998211860657,1.3070365190505981,1,353,1.0,0.0028328611898017,353,353,11.766067690727875,5.802498657160925,0.24745838480358495
4,2022-05-27,CHIRPS,255883.765625,341,75.77777777777777,750.3922729492188,13.593089321819056,-13.498711192033525,Tambacounda,Tambacounda,Zone soudano-sahélienne,37.51918411254883,12.625,-12.875,Kédougou,Salémata,4.25,5.5,473.10999999999996,11.892646142114991,8.187189102172852,10.029765354579498,0.3271494209766388,37.51918411254883,3.071737766265869,18.346710205078125,27.193378448486328,30.67117691040039,35.50945816040041,9.866616912475576,20.0,95.01466275659824,4.25,5.5,473.10999999999996,255883.765625,285.3950500488281,1793.1900634765625,0.9999999403953552,1.2522958517074585,1,341,1.0,0.002932551319648094,341,341,11.929285493338428,9.866616912475576,0.46996021332409854
5,2022-10-24,CHIRPS,252199.9375,336,74.66666666666667,750.5950317382812,13.517077886833732,-14.38909506648451,Tambacounda,Tambacounda,Zone soudano-sahélienne,51.16484069824219,12.375,-15.625,Sédhiou,Goudomp,4.25,5.75,473.10999999999996,13.084106622707276,11.241830825805664,9.958675360559575,1.0152736902236938,51.16484069824219,4.933579325675964,17.830261707305908,24.233224868774414,32.58363437652588,48.280243492126424,5.725114265718272,11.945029984097898,90.17857142857143,4.25,5.75,473.10999999999996,252199.9375,283.333251953125,1780.2353515625,1.0,1.3109935522079468,2,335,0.9970238095238095,0.005952380952380952,336,336,13.124821786938556,5.725114265718272,0.40308522050219797
6,2018-06-27,CHIRPS,254586.453125,340,75.55555555555556,748.78369140625,14.549627684059427,-13.523954486316743,Tambacounda,Tambacounda,Zone soudano-sahélienne,37.518516540527344,14.125,-12.875,Tambacounda,Goudiry,4.25,5.75,473.10999999999996,19.90768534295699,19.717278480529785,6.693962275780107,1.590912103652954,37.518516540527344,16.529174327850342,24.593478679656982,28.286651420593266,30.7498405456543,35.77973796844483,4.740870910186111,10.90709087100438,85.58823529411765,4.25,5.75,473.10999999999996,254586.453125,284.670654296875,1788.6385498046875,1.0,1.4131896495819092,2,339,0.9970588235294118,0.0058823529411764705,340,340,19.92671718518512,4.740870910186111,0.18889453064787398
7,2022-06-15,CHIRPS,231789.859375,309,68.66666666666667,750.1289672851562,13.867305729309011,-13.602444693753833,Tambacounda,Tambacounda,Zone soudano-sahélienne,46.854888916015625,13.875,-13.125,Tambacounda,Goudiry,4.25,5.5,473.10999999999996,20.87554252707071,20.28733253479004,11.33296501376429,0.8063054084777832,46.854888916015625,11.037484169006348,30.8801326751709,36.29389495849609,38.26682205200195,43.78519577026369,4.809025868479853,9.579009542860367,86.08414239482201,4.25,5.5,473.10999999999996,231789.859375,271.6265869140625,1706.68017578125,1.0,1.1217554807662964,7,301,0.9741100323624595,0.022653721682847898,309,309,20.92224629659657,4.809025868479853,0.3126264733172408
8,1992-06-08,CHIRPS,227230.921875,303,67.33333333333333,749.93701171875,13.697306849648083,-14.142430750640086,Tambacounda,Tambacounda,Zone soudano-sahélienne,42.3782958984375,12.625,-15.125,Kolda,Kolda,4.25,5.75,473.10999999999996,14.228678733700573,13.35359001159668,9.62710346170229,0.38204148411750793,42.3782958984375,5.312295436859131,21.11334800720215,27.02662811279297,32.05815277099606,40.01245414733888,4.099282261913572,10.756561409775042,68.31683168316832,4.25,5.75,473.10999999999996,227230.921875,268.94207763671875,1689.81298828125,1.0,1.2078603506088257,6,273,0.900990099009901,0.019801980198019802,303,303,14.274469237383416,4.099282261913572,0.3791787349478024
9,2022-07-24,CHIRPS,252467.6875,337,74.88888888888889,749.1622924804688,14.435908667580076,-14.030250783978566,Tambacounda,Koumpentoum,Zone soudano-sahélienne,40.76875305175781,12.625,-14.375,Kolda,Médina Yoro Foulah,4.25,5.75,473.10999999999996,23.510525111982307,22.94470977783203,6.077466110964669,9.718354225158691,40.76875305175781,18.967897415161133,27.65311050415039,31.45003089904786,34.006282806396484,38.44079452514648,2.9689722933344616,6.406748649322619,47.774480712166174,4.25,5.75,473.10999999999996,252467.6875,283.4836120605469,1781.18017578125,0.9999999403953552,1.1294710636138916,3,334,0.9910979228486647,0.008902077151335312,337,337,23.5319547395945,2.9689722933344616,0.14666970553730496
10,2010-07-20,CHIRPS,252611.78125,337,74.88888888888889,749.58984375,14.123056406885448,-13.831085454023953,Tambacounda,Tambacounda,Zone soudano-sahélienne,45.76051712036133,12.625,-12.125,Kédougou,Kédougou,4.25,5.75,473.10999999999996,21.556315928609152,20.565446853637695,7.841120306095672,5.096909046173096,45.76051712036133,15.998950958251953,24.94692039489746,32.39942703247074,38.76644744873047,42.069408874511716,2.630676230691301,4.491141417609606,21.068249258160236,4.25,5.75,473.10999999999996,252611.78125,283.56451416015625,1781.6884765625,0.9999998211860657,1.1892377138137817,2,335,0.9940652818991098,0.005934718100890208,337,337,21.593648763410567,2.630676230691301,0.19959523763436104
