Date,   NINA34 
1981-01-01,   -0.450
1981-02-01,   -0.450
1981-03-01,   -0.020
1981-04-01,   -0.170
1981-05-01,   -0.110
1981-06-01,   -0.150
1981-07-01,   -0.430
1981-08-01,   -0.180
1981-09-01,   -0.070
1981-10-01,   -0.030
1981-11-01,   -0.270
1981-12-01,    0.070
1982-01-01,   -0.040
1982-02-01,   -0.130
1982-03-01,   -0.020
1982-04-01,    0.240
1982-05-01,    0.650
1982-06-01,    0.920
1982-07-01,    0.640
1982-08-01,    0.930
1982-09-01,    1.390
1982-10-01,    2.000
1982-11-01,    2.070
1982-12-01,    2.330
1983-01-01,    2.430
1983-02-01,    2.220
1983-03-01,    1.690
1983-04-01,    1.120
1983-05-01,    1.120
1983-06-01,    0.620
1983-07-01,   -0.110
1983-08-01,   -0.130
1983-09-01,   -0.500
1983-10-01,   -1.030
1983-11-01,   -1.130
1983-12-01,   -0.950
1984-01-01,   -0.800
1984-02-01,   -0.530
1984-03-01,   -0.480
1984-04-01,   -0.600
1984-05-01,   -0.640
1984-06-01,   -0.900
1984-07-01,   -0.400
1984-08-01,   -0.400
1984-09-01,   -0.350
1984-10-01,   -0.830
1984-11-01,   -1.180
1984-12-01,   -1.530
1985-01-01,   -0.890
1985-02-01,   -0.910
1985-03-01,   -0.960
1985-04-01,   -0.980
1985-05-01,   -0.900
1985-06-01,   -0.760
1985-07-01,   -0.610
1985-08-01,   -0.490
1985-09-01,   -0.570
1985-10-01,   -0.640
1985-11-01,   -0.430
1985-12-01,   -0.400
1986-01-01,   -0.790
1986-02-01,   -0.640
1986-03-01,   -0.510
1986-04-01,   -0.410
1986-05-01,   -0.470
1986-06-01,   -0.080
1986-07-01,    0.160
1986-08-01,    0.240
1986-09-01,    0.590
1986-10-01,    0.900
1986-11-01,    1.040
1986-12-01,    0.980
1987-01-01,    1.190
1987-02-01,    1.170
1987-03-01,    1.240
1987-04-01,    0.890
1987-05-01,    0.910
1987-06-01,    1.240
1987-07-01,    1.340
1987-08-01,    1.480
1987-09-01,    1.530
1987-10-01,    1.360
1987-11-01,    1.290
1987-12-01,    1.050
1988-01-01,    0.690
1988-02-01,    0.350
1988-03-01,    0.290
1988-04-01,   -0.490
1988-05-01,   -1.050
1988-06-01,   -1.460
1988-07-01,   -1.540
1988-08-01,   -1.440
1988-09-01,   -1.330
1988-10-01,   -2.090
1988-11-01,   -2.180
1988-12-01,   -1.980
1989-01-01,   -1.950
1989-02-01,   -1.370
1989-03-01,   -1.330
1989-04-01,   -1.110
1989-05-01,   -0.800
1989-06-01,   -0.640
1989-07-01,   -0.470
