Date,   TNAa
1981-01-01,    0.270
1981-02-01,    0.160
1981-03-01,    0.600
1981-04-01,    0.340
1981-05-01,    0.360
1981-06-01,    0.180
1981-07-01,    0.150
1981-08-01,    0.090
1981-09-01,    0.140
1981-10-01,    0.040
1981-11-01,    0.130
1981-12-01,    0.270
1982-01-01,    0.190
1982-02-01,   -0.070
1982-03-01,   -0.070
1982-04-01,   -0.160
1982-05-01,   -0.030
1982-06-01,   -0.150
1982-07-01,   -0.270
1982-08-01,   -0.300
1982-09-01,   -0.280
1982-10-01,   -0.340
1982-11-01,   -0.460
1982-12-01,   -0.500
1983-01-01,   -0.360
1983-02-01,   -0.020
1983-03-01,    0.440
1983-04-01,    0.450
1983-05-01,    0.170
1983-06-01,    0.350
1983-07-01,    0.230
1983-08-01,    0.010
1983-09-01,   -0.180
1983-10-01,   -0.150
1983-11-01,    0.050
1983-12-01,    0.230
1984-01-01,   -0.050
1984-02-01,   -0.200
1984-03-01,   -0.100
1984-04-01,   -0.190
1984-05-01,   -0.160
1984-06-01,   -0.370
1984-07-01,   -0.350
1984-08-01,   -0.280
1984-09-01,   -0.240
1984-10-01,   -0.490
1984-11-01,   -0.460
1984-12-01,   -0.500
1985-01-01,   -0.430
1985-02-01,   -0.370
1985-03-01,   -0.620
1985-04-01,   -0.650
1985-05-01,   -0.700
1985-06-01,   -0.300
1985-07-01,   -0.050
1985-08-01,   -0.080
1985-09-01,   -0.160
1985-10-01,   -0.140
1985-11-01,   -0.080
1985-12-01,   -0.250
1986-01-01,   -0.620
1986-02-01,   -0.630
1986-03-01,   -0.610
1986-04-01,   -0.640
1986-05-01,   -0.540
1986-06-01,   -0.590
1986-07-01,   -0.380
1986-08-01,   -0.410
1986-09-01,    0.040
1986-10-01,   -0.200
1986-11-01,   -0.600
1986-12-01,   -0.690
1987-01-01,   -0.320
1987-02-01,   -0.170
1987-03-01,    0.220
1987-04-01,    0.330
1987-05-01,    0.370
1987-06-01,    0.620
1987-07-01,    0.480
1987-08-01,    0.560
1987-09-01,    0.400
1987-10-01,    0.450
1987-11-01,    0.360
1987-12-01,    0.520
1988-01-01,    0.150
1988-02-01,   -0.020
1988-03-01,    0.270
1988-04-01,    0.380
1988-05-01,    0.290
1988-06-01,    0.340
1988-07-01,    0.270
1988-08-01,    0.030
1988-09-01,    0.060
1988-10-01,   -0.200
1988-11-01,   -0.230
1988-12-01,   -0.230
1989-01-01,   -0.420
1989-02-01,   -0.480
1989-03-01,   -0.660
1989-04-01,   -0.890
1989-05-01,   -0.660
1989-06-01,   -0.170
1989-07-01,    0.250
1989-08-01,    0.390
1989-09-01,    0.060
1989-10-01,    0.120
1989-11-01,   -0.040
1989-12-01,    0.220
1990-01-01,   -0.080
1990-02-01,   -0.100
1990-03-01,   -0.040
1990-04-01,    0.060
1990-05-01,    0.130
1990-06-01,   -0.020
1990-07-01,    0.060
1990-08-01,    0.300
1990-09-01,    0.400
1990-10-01,    0.410
1990-11-01,    0.330
1990-12-01,    0.170
1991-01-01,   -0.140
1991-02-01,   -0.110
1991-03-01,   -0.220
1991-04-01,   -0.390
1991-05-01,   -0.420
1991-06-01,   -0.430
1991-07-01,   -0.390
1991-08-01,   -0.290
1991-09-01,   -0.140
1991-10-01,   -0.110
1991-11-01,   -0.150
1991-12-01,   -0.180
1992-01-01,    0.000
1992-02-01,    0.040
1992-03-01,   -0.180
1992-04-01,   -0.290
1992-05-01,   -0.180
1992-06-01,   -0.110
1992-07-01,   -0.010
1992-08-01,   -0.230
1992-09-01,   -0.210
1992-10-01,   -0.060
1992-11-01,   -0.300
1992-12-01,   -0.230
1993-01-01,   -0.250
1993-02-01,   -0.250
1993-03-01,   -0.230
1993-04-01,   -0.070
1993-05-01,   -0.040
1993-06-01,    0.070
1993-07-01,   -0.170
1993-08-01,   -0.110
1993-09-01,   -0.120
1993-10-01,   -0.130
1993-11-01,   -0.340
1993-12-01,   -0.410
1994-01-01,   -0.590
1994-02-01,   -0.610
1994-03-01,   -0.600
1994-04-01,   -0.460
1994-05-01,   -0.500
1994-06-01,   -0.430
1994-07-01,   -0.390
1994-08-01,   -0.290
1994-09-01,   -0.240
1994-10-01,   -0.080
1994-11-01,   -0.030
1994-12-01,   -0.130
1995-01-01,   -0.050
1995-02-01,   -0.040
1995-03-01,   -0.050
1995-04-01,    0.110
1995-05-01,    0.300
1995-06-01,    0.480
1995-07-01,    0.580
1995-08-01,    0.590
1995-09-01,    0.400
1995-10-01,    0.370
1995-11-01,    0.510
1995-12-01,    0.470
1996-01-01,    0.740
1996-02-01,    0.400
1996-03-01,    0.220
1996-04-01,    0.310
1996-05-01,    0.360
1996-06-01,    0.180
1996-07-01,    0.120
1996-08-01,   -0.030
1996-09-01,    0.150
1996-10-01,    0.080
1996-11-01,    0.030
1996-12-01,    0.140
1997-01-01,    0.310
1997-02-01,    0.340
1997-03-01,    0.150
1997-04-01,    0.270
1997-05-01,    0.430
1997-06-01,    0.540
1997-07-01,    0.340
1997-08-01,    0.160
1997-09-01,    0.260
1997-10-01,    0.590
1997-11-01,    0.580
1997-12-01,    0.440
1998-01-01,    0.430
1998-02-01,    0.770
1998-03-01,    0.750
1998-04-01,    0.590
1998-05-01,    0.590
1998-06-01,    0.660
1998-07-01,    0.560
1998-08-01,    0.670
1998-09-01,    0.510
1998-10-01,    0.490
1998-11-01,    0.430
1998-12-01,    0.290
1999-01-01,   -0.100
1999-02-01,   -0.200
1999-03-01,   -0.230
1999-04-01,   -0.130
1999-05-01,    0.110
1999-06-01,    0.150
1999-07-01,    0.170
1999-08-01,    0.340
1999-09-01,    0.380
1999-10-01,    0.250
1999-11-01,    0.130
1999-12-01,    0.270
2000-01-01,   -0.180
2000-02-01,   -0.100
2000-03-01,    0.060
2000-04-01,   -0.010
2000-05-01,   -0.060
2000-06-01,   -0.160
2000-07-01,    0.010
2000-08-01,    0.150
2000-09-01,    0.020
2000-10-01,    0.000
2000-11-01,   -0.120
2000-12-01,   -0.190
2001-01-01,   -0.130
2001-02-01,   -0.150
2001-03-01,    0.150
2001-04-01,    0.050
2001-05-01,    0.060
2001-06-01,    0.240
2001-07-01,    0.300
2001-08-01,    0.340
2001-09-01,    0.510
2001-10-01,    0.480
2001-11-01,    0.620
2001-12-01,    0.660
2002-01-01,    0.780
2002-02-01,    0.530
2002-03-01,    0.370
2002-04-01,   -0.020
2002-05-01,   -0.190
2002-06-01,   -0.130
2002-07-01,   -0.060
2002-08-01,   -0.050
2002-09-01,    0.070
2002-10-01,    0.360
2002-11-01,    0.220
2002-12-01,    0.200
2003-01-01,    0.270
2003-02-01,    0.000
2003-03-01,    0.040
2003-04-01,    0.000
2003-05-01,    0.060
2003-06-01,    0.220
2003-07-01,    0.360
2003-08-01,    0.590
2003-09-01,    0.660
2003-10-01,    0.800
2003-11-01,    0.480
2003-12-01,    0.490
2004-01-01,    0.500
2004-02-01,    0.510
2004-03-01,    0.360
2004-04-01,    0.460
2004-05-01,    0.170
2004-06-01,    0.270
2004-07-01,    0.460
2004-08-01,    0.680
2004-09-01,    0.590
2004-10-01,    0.620
2004-11-01,    0.630
2004-12-01,    0.530
2005-01-01,    0.460
2005-02-01,    0.380
2005-03-01,    0.680
2005-04-01,    0.810
2005-05-01,    1.010
2005-06-01,    0.920
2005-07-01,    0.840
2005-08-01,    0.740
2005-09-01,    0.730
2005-10-01,    0.540
2005-11-01,    0.400
2005-12-01,    0.550
2006-01-01,    0.410
2006-02-01,    0.190
2006-03-01,    0.180
2006-04-01,    0.410
2006-05-01,    0.430
2006-06-01,    0.520
2006-07-01,    0.360
2006-08-01,    0.530
2006-09-01,    0.690
2006-10-01,    0.740
2006-11-01,    0.710
2006-12-01,    0.470
2007-01-01,    0.460
2007-02-01,    0.560
2007-03-01,    0.330
2007-04-01,    0.400
2007-05-01,    0.210
2007-06-01,    0.160
2007-07-01,    0.090
2007-08-01,    0.010
2007-09-01,    0.110
2007-10-01,    0.240
2007-11-01,    0.240
2007-12-01,    0.090
2008-01-01,    0.140
2008-02-01,    0.180
2008-03-01,    0.270
2008-04-01,    0.090
2008-05-01,    0.280
2008-06-01,    0.390
2008-07-01,    0.450
2008-08-01,    0.450
2008-09-01,    0.570
2008-10-01,    0.430
2008-11-01,    0.270
2008-12-01,    0.260
2009-01-01,    0.070
2009-02-01,   -0.370
2009-03-01,   -0.340
2009-04-01,   -0.310
2009-05-01,   -0.230
2009-06-01,    0.050
2009-07-01,    0.450
2009-08-01,    0.410
2009-09-01,    0.350
2009-10-01,    0.630
2009-11-01,    0.510
2009-12-01,    0.540
2010-01-01,    0.800
2010-02-01,    1.070
2010-03-01,    1.270
2010-04-01,    1.400
2010-05-01,    1.350
2010-06-01,    1.110
2010-07-01,    1.010
2010-08-01,    0.970
2010-09-01,    0.750
2010-10-01,    0.770
2010-11-01,    0.700
2010-12-01,    0.960
2011-01-01,    0.970
2011-02-01,    0.530
2011-03-01,    0.410
2011-04-01,    0.330
2011-05-01,    0.410
2011-06-01,    0.590
2011-07-01,    0.430
2011-08-01,    0.490
2011-09-01,    0.360
2011-10-01,    0.440
2011-11-01,    0.210
2011-12-01,    0.230
2012-01-01,    0.160
2012-02-01,   -0.020
2012-03-01,   -0.260
2012-04-01,   -0.170
2012-05-01,    0.090
2012-06-01,    0.310
2012-07-01,    0.300
2012-08-01,    0.520
2012-09-01,    0.720
2012-10-01,    0.780
2012-11-01,    0.750
2012-12-01,    0.550
2013-01-01,    0.440
2013-02-01,    0.400
2013-03-01,    0.700
2013-04-01,    0.530
2013-05-01,    0.640
2013-06-01,    0.320
2013-07-01,    0.340
2013-08-01,    0.560
2013-09-01,    0.610
2013-10-01,    0.660
2013-11-01,    0.320
2013-12-01,    0.270
2014-01-01,    0.130
2014-02-01,   -0.080
2014-03-01,   -0.350
