date,AMO
1983-01-01,-0.3714
1983-01-02,-0.33
1983-01-03,-0.2953
1983-01-04,-0.2891
1983-01-05,-0.303
1983-01-06,-0.2913
1983-01-07,-0.3058
1983-01-08,-0.3269
1983-01-09,-0.3414
1983-01-10,-0.3468
1983-01-11,-0.3531
1983-01-12,-0.3556
1983-01-13,-0.3883
1983-01-14,-0.378
1983-01-15,-0.341
1983-01-16,-0.3377
1983-01-17,-0.3394
1983-01-18,-0.2936
1983-01-19,-0.2521
1983-01-20,-0.2326
1983-01-21,-0.2093
1983-01-22,-0.2292
1983-01-23,-0.2549
1983-01-24,-0.2645
1983-01-25,-0.2548
1983-01-26,-0.2469
1983-01-27,-0.2731
1983-01-28,-0.3076
1983-01-29,-0.347
1983-01-30,-0.3675
1983-01-31,-0.3174
1983-02-01,-0.2697
1983-02-02,-0.2737
1983-02-03,-0.2805
1983-02-04,-0.2291
1983-02-05,-0.2024
1983-02-06,-0.1819
1983-02-07,-0.1557
1983-02-08,-0.112
1983-02-09,-0.0586
1983-02-10,-0.0473
1983-02-11,-0.0737
1983-02-12,-0.0685
1983-02-13,-0.0533
1983-02-14,-0.0484
1983-02-15,-0.0779
1983-02-16,-0.0969
1983-02-17,-0.1008
1983-02-18,-0.1065
1983-02-19,-0.1374
1983-02-20,-0.1365
1983-02-21,-0.117
1983-02-22,-0.0624
1983-02-23,-0.0326
1983-02-24,0.0071
1983-02-25,0.0062
1983-02-26,-0.0311
1983-02-27,-0.042
1983-02-28,-0.0831
1983-03-01,-0.0854
1983-03-02,-0.0647
1983-03-03,-0.0368
1983-03-04,-0.036
1983-03-05,-0.0424
1983-03-06,-0.0287
1983-03-07,-0.001
1983-03-08,0.0286
1983-03-09,0.0569
1983-03-10,0.0934
1983-03-11,0.1289
1983-03-12,0.1353
1983-03-13,0.118
1983-03-14,0.1401
1983-03-15,0.1786
1983-03-16,0.2102
1983-03-17,0.1894
1983-03-18,0.1681
1983-03-19,0.1511
1983-03-20,0.1614
1983-03-21,0.1604
1983-03-22,0.1503
1983-03-23,0.154
1983-03-24,0.1215
1983-03-25,0.0532
1983-03-26,-0.0237
1983-03-27,-0.075
1983-03-28,-0.0901
1983-03-29,-0.0273
1983-03-30,0.013
1983-03-31,0.0226
1983-04-01,0.0169
1983-04-02,0.0993
1983-04-03,0.1522
1983-04-04,0.147
1983-04-05,0.0951
1983-04-06,0.0475
1983-04-07,0.0119
1983-04-08,-0.0923
1983-04-09,-0.1315
1983-04-10,-0.1423
1983-04-11,-0.0448
1983-04-12,0.0289
1983-04-13,0.0531
1983-04-14,0.0342
1983-04-15,-0.0284
1983-04-16,-0.0817
1983-04-17,-0.0971
1983-04-18,-0.1117
1983-04-19,-0.1077
1983-04-20,-0.0854
1983-04-21,-0.0843
1983-04-22,-0.0614
1983-04-23,-0.0684
1983-04-24,-0.1005
1983-04-25,-0.1227
1983-04-26,-0.0928
1983-04-27,-0.0701
1983-04-28,-0.061
1983-04-29,-0.0623
1983-04-30,-0.0672
1983-05-01,-0.0504
1983-05-02,-0.0486
1983-05-03,-0.0625
1983-05-04,-0.063
1983-05-05,-0.0509
1983-05-06,-0.0193
1983-05-07,-0.027
1983-05-08,-0.0067
1983-05-09,-0.0046
1983-05-10,-0.0272
1983-05-11,-0.0616
1983-05-12,-0.0985
1983-05-13,-0.1165
1983-05-14,-0.1453
1983-05-15,-0.1887
1983-05-16,-0.1954
1983-05-17,-0.2339
1983-05-18,-0.2476
1983-05-19,-0.2333
1983-05-20,-0.2278
1983-05-21,-0.2438
1983-05-22,-0.2278
1983-05-23,-0.2244
1983-05-24,-0.2548
1983-05-25,-0.2615
1983-05-26,-0.2307
1983-05-27,-0.1823
1983-05-28,-0.2105
1983-05-29,-0.2526
1983-05-30,-0.2092
1983-05-31,-0.1865
1983-06-01,-0.1895
1983-06-02,-0.1878
1983-06-03,-0.193
1983-06-04,-0.185
1983-06-05,-0.1697
1983-06-06,-0.1539
1983-06-07,-0.1115
1983-06-08,-0.0743
1983-06-09,-0.0743
1983-06-10,-0.1147
1983-06-11,-0.1872
1983-06-12,-0.1609
1983-06-13,-0.17
1983-06-14,-0.2132
1983-06-15,-0.2749
1983-06-16,-0.2788
1983-06-17,-0.2676
1983-06-18,-0.2188
1983-06-19,-0.1434
1983-06-20,-0.0975
1983-06-21,-0.0845
1983-06-22,-0.1018
1983-06-23,-0.0766
1983-06-24,-0.0392
1983-06-25,-0.1121
1983-06-26,-0.1494
1983-06-27,-0.2093
1983-06-28,-0.2239
1983-06-29,-0.221
1983-06-30,-0.2104
1983-07-01,-0.2139
1983-07-02,-0.2072
1983-07-03,-0.2352
1983-07-04,-0.2485
1983-07-05,-0.2264
1983-07-06,-0.1858
1983-07-07,-0.1904
1983-07-08,-0.1795
1983-07-09,-0.1494
1983-07-10,-0.0939
1983-07-11,-0.0548
1983-07-12,-0.0347
1983-07-13,-0.0057
1983-07-14,0.0384
1983-07-15,0.0425
1983-07-16,-0.012
1983-07-17,-0.0085
1983-07-18,-0.0491
1983-07-19,-0.0763
1983-07-20,-0.1488
1983-07-21,-0.2175
1983-07-22,-0.2742
1983-07-23,-0.2924
1983-07-24,-0.2423
1983-07-25,-0.2418
1983-07-26,-0.1786
1983-07-27,-0.1178
1983-07-28,-0.0644
1983-07-29,-0.0505
1983-07-30,-0.0414
1983-07-31,-0.0365
1983-08-01,-0.0884
1983-08-02,-0.055
1983-08-03,-0.0876
1983-08-04,-0.1472
1983-08-05,-0.1727
1983-08-06,-0.1874
1983-08-07,-0.0483
1983-08-08,-0.0434
1983-08-09,-0.0234
1983-08-10,-0.0259
1983-08-11,-0.0316
1983-08-12,-0.0152
1983-08-13,-0.0668
1983-08-14,-0.1364
1983-08-15,-0.1862
1983-08-16,-0.2752
1983-08-17,-0.3631
1983-08-18,-0.3365
1983-08-19,-0.2828
1983-08-20,-0.2275
1983-08-21,-0.2863
1983-08-22,-0.2947
1983-08-23,-0.2885
1983-08-24,-0.1213
1983-08-25,-0.1034
1983-08-26,-0.055
1983-08-27,-0.0145
1983-08-28,0.0094
1983-08-29,0.0008
1983-08-30,-0.0466
1983-08-31,-0.0752
1983-09-01,-0.1317
1983-09-02,-0.2288
1983-09-03,-0.2848
1983-09-04,-0.2661
1983-09-05,-0.2018
1983-09-06,-0.1776
1983-09-07,-0.1056
1983-09-08,-0.042
1983-09-09,-0.0246
1983-09-10,-0.0196
1983-09-11,-0.0266
1983-09-12,-0.0128
1983-09-13,0.0133
1983-09-14,0.0144
1983-09-15,-0.1131
1983-09-16,-0.1596
1983-09-17,-0.131
1983-09-18,-0.089
1983-09-19,-0.0646
1983-09-20,-0.0497
1983-09-21,-0.0316
1983-09-22,-0.0379
1983-09-23,-0.0703
1983-09-24,-0.093
1983-09-25,-0.1018
1983-09-26,-0.1067
1983-09-27,-0.1572
1983-09-28,-0.1759
1983-09-29,-0.1898
1983-09-30,-0.1747
1983-10-01,-0.1947
1983-10-02,-0.2337
1983-10-03,-0.2518
1983-10-04,-0.2184
1983-10-05,-0.1241
1983-10-06,-0.0442
1983-10-07,-0.0142
1983-10-08,-0.0403
1983-10-09,-0.0218
1983-10-10,-0.0444
1983-10-11,-0.0998
1983-10-12,-0.1485
1983-10-13,-0.1706
1983-10-14,-0.1862
1983-10-15,-0.1532
1983-10-16,-0.1426
1983-10-17,-0.1254
1983-10-18,-0.1142
1983-10-19,-0.097
1983-10-20,-0.1183
1983-10-21,-0.1397
1983-10-22,-0.1326
1983-10-23,-0.1106
1983-10-24,-0.1279
1983-10-25,-0.1361
1983-10-26,-0.1628
1983-10-27,-0.1584
1983-10-28,-0.1819
1983-10-29,-0.1679
1983-10-30,-0.1308
1983-10-31,-0.1191
1983-11-01,-0.1279
1983-11-02,-0.1607
1983-11-03,-0.1524
1983-11-04,-0.158
1983-11-05,-0.1925
1983-11-06,-0.1978
1983-11-07,-0.1879
1983-11-08,-0.1961
1983-11-09,-0.1468
1983-11-10,-0.1294
1983-11-11,-0.1351
1983-11-12,-0.1374
1983-11-13,-0.0968
1983-11-14,-0.0791
1983-11-15,-0.092
1983-11-16,-0.0842
1983-11-17,-0.0625
1983-11-18,-0.0311
1983-11-19,-0.0386
1983-11-20,-0.0266
1983-11-21,-0.017
1983-11-22,-0.0533
1983-11-23,-0.0266
1983-11-24,-0.0289
1983-11-25,-0.0707
1983-11-26,-0.0835
1983-11-27,-0.0339
1983-11-28,0.0223
1983-11-29,0.0255
1983-11-30,0.0283
1983-12-01,0.0248
1983-12-02,0.0289
1983-12-03,-0.0011
1983-12-04,-0.0204
1983-12-05,-0.0165
1983-12-06,0.0287
1983-12-07,0.0526
1983-12-08,0.0307
1983-12-09,0.0219
1983-12-10,0.0337
1983-12-11,0.0554
1983-12-12,0.0477
1983-12-13,0.0145
1983-12-14,0.018
1983-12-15,-0.0157
1983-12-16,-0.0374
1983-12-17,-0.0607
1983-12-18,-0.0507
1983-12-19,-0.0696
1983-12-20,-0.0947
1983-12-21,-0.0874
1983-12-22,-0.0855
1983-12-23,-0.0647
1983-12-24,-0.056
1983-12-25,-0.0771
1983-12-26,-0.1484
1983-12-27,-0.2319
1983-12-28,-0.2826
1983-12-29,-0.2704
1983-12-30,-0.2544
1983-12-31,-0.24
1984-01-01,-0.2278
1984-01-02,-0.1782
1984-01-03,-0.1325
1984-01-04,-0.1264
1984-01-05,-0.115
1984-01-06,-0.1363
