longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1992-06-08,C1_plus_grande_couverture,1992-06-08_000_003,11.80006217956543,0.9793233871459961,3.458481788635254,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,95.14188
-16.375,12.375,1992-06-08,C1_plus_grande_couverture,1992-06-08_000_004,11.670306205749512,0.8788014054298401,4.110024929046631,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,122.32527
-12.375,12.375,1992-06-08,C1_plus_grande_couverture,1992-06-08_000_020,30.190980911254883,3.202272653579712,6.229651927947998,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,557.2596
-16.625,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_003,13.35359001159668,1.130165934562683,3.7180683612823486,False,False,moderee,humide,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,95.04989
-16.375,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_004,15.977703094482422,1.3540326356887817,3.9662795066833496,False,False,moderee,humide,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,122.20701
-16.125,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_005,15.47791862487793,1.4122965335845947,3.7491202354431152,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,149.36412
-15.875,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_006,17.372095108032227,1.7528653144836426,3.774235486984253,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,176.52124
-15.625,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_007,22.554824829101562,2.131087303161621,4.39365816116333,True,True,forte,tres humide,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,203.67834
-15.375,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_008,28.915403366088867,3.217170238494873,4.46208381652832,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,230.83545
-12.875,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_018,39.25837707519531,3.421182870864868,6.468666076660156,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,502.40656
-12.625,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_019,40.142822265625,3.8783037662506104,6.554370880126953,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,529.56366
-12.375,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_020,32.214107513427734,3.2531535625457764,6.265355110168457,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,556.7208
-12.125,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_021,26.389541625976562,3.09000301361084,5.575616359710693,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,583.87787
-11.875,12.625,1992-06-08,C1_plus_grande_couverture,1992-06-08_001_022,22.428346633911133,2.6872692108154297,5.376169204711914,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),1992,6,8,160,611.03503
