longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2015-08-07,C1_plus_intense,2015-08-07_000_003,0.0,-0.7363199591636658,10.20748519897461,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,95.14188
-16.375,12.375,2015-08-07,C1_plus_intense,2015-08-07_000_004,0.0,-0.7733389139175415,9.068421363830566,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,122.32527
-12.375,12.375,2015-08-07,C1_plus_intense,2015-08-07_000_020,3.062025547027588,-0.6047184467315674,11.248262405395508,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,557.2596
-16.625,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_003,0.0,-0.694940447807312,10.229269981384277,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,95.04989
-16.375,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_004,0.0,-0.692923367023468,9.128142356872559,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,122.20701
-16.125,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_005,0.0,-0.7624192833900452,8.442940711975098,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,149.36412
-15.875,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_006,0.0,-0.7113374471664429,6.790169715881348,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,176.52124
-15.625,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_007,0.41952627897262573,-0.7071393132209778,6.054901599884033,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,203.67834
-15.375,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_008,0.4934748113155365,-0.6640746593475342,7.046703338623047,False,False,trace,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,230.83545
-12.875,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_018,19.397281646728516,0.940955400466919,8.630192756652832,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,502.40656
-12.625,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_019,29.778474807739258,1.561578392982483,9.386673927307129,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,529.56366
-12.375,12.625,2015-08-07,C1_plus_intense,2015-08-07_001_020,37.59121322631836,2.0403332710266113,9.527127265930176,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2015,8,7,219,556.7208
