event_date,selection_label,pixel_id,longitude,latitude,precipitation_mm,climatology_mm,anomaly_standardized,anomaly_mm,is_extreme,is_intense,intensity_category,anomaly_category,year,month,day,day_of_year,season_phase,phase_description,region,climate_zone,distance_to_coast_km,cluster,criterion,phase
2022-08-03,C5_plus_intense,2022-08-03_000_003,-16.625,12.375,43.39264678955078,14.249165534973145,1.6642436981201172,29.143481254577637,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.14188,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_000_004,-16.375,12.375,50.92848205566406,14.205452919006348,2.0791423320770264,36.723029136657715,True,True,tres forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.32527,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_000_020,-12.375,12.375,0.0,10.13415241241455,-0.9279365539550781,-10.13415241241455,False,False,trace,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,557.2596,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_003,-16.625,12.625,52.39495086669922,14.518220901489258,2.0574240684509277,37.87672996520996,True,True,tres forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.04989,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_004,-16.375,12.625,47.908119201660156,13.412155151367188,2.0488884449005127,34.49596405029297,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.20701,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_005,-16.125,12.625,45.94513702392578,13.043959617614746,2.0800130367279053,32.901177406311035,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,149.36412,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_006,-15.875,12.625,47.684940338134766,11.295295715332031,2.343839406967163,36.389644622802734,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,176.52124,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_007,-15.625,12.625,40.272796630859375,10.122929573059082,2.1583571434020996,30.149867057800293,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,203.67834,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_008,-15.375,12.625,46.17070388793945,10.12425708770752,2.3030495643615723,36.046446800231934,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,230.83545,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_018,-12.875,12.625,26.12798309326172,9.430961608886719,1.3663175106048584,16.697021484375,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,502.40656,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_019,-12.625,12.625,24.686416625976562,8.620126724243164,1.5266591310501099,16.0662899017334,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,529.56366,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_020,-12.375,12.625,13.1817045211792,7.816842555999756,0.5514562129974365,5.364861965179443,False,False,moderee,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,556.7208,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_021,-12.125,12.625,8.10857105255127,7.348715782165527,0.08144941926002502,0.7598552703857422,False,False,moderee,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,583.87787,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_022,-11.875,12.625,2.629378080368042,6.392016887664795,-0.4418303370475769,-3.762638807296753,False,False,faible,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,611.03503,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_001_023,-11.625,12.625,0.25523242354393005,6.657227039337158,-0.7124999761581421,-6.401994615793228,False,False,trace,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,638.19214,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_003,-16.625,12.875,56.38326644897461,15.887386322021484,1.9279065132141113,40.495880126953125,False,True,tres forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,94.95609,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_004,-16.375,12.875,42.222877502441406,12.542257308959961,1.8299570083618164,29.680620193481445,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.08641,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_005,-16.125,12.875,36.75688552856445,10.001203536987305,2.0648646354675293,26.75568199157715,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,149.21672,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_006,-15.875,12.875,38.22917556762695,8.896687507629395,2.17197847366333,29.33248805999756,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,176.34703,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_007,-15.625,12.875,48.34733963012695,9.376758575439453,2.5973236560821533,38.9705810546875,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,203.47736,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_008,-15.375,12.875,46.801239013671875,9.865931510925293,2.279453992843628,36.93530750274658,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,230.60765,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_009,-15.125,12.875,55.883567810058594,10.571795463562012,2.5343422889709473,45.31177234649658,True,True,tres forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,257.73798,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_010,-14.875,12.875,55.685203552246094,11.372698783874512,2.4472756385803223,44.31250476837158,True,True,tres forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,284.8683,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_011,-14.625,12.875,67.45545196533203,11.264410018920898,3.294332504272461,56.19104194641113,True,True,tres forte,exceptionnelle,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,311.9986,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_012,-14.375,12.875,89.7369155883789,10.462539672851562,4.4465179443359375,79.27437591552734,True,True,tres forte,exceptionnelle,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,339.1289,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_013,-14.125,12.875,70.20613098144531,8.363911628723145,4.234954833984375,61.84221935272217,True,True,tres forte,exceptionnelle,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,366.25922,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_014,-13.875,12.875,49.010337829589844,9.215343475341797,2.8890726566314697,39.79499435424805,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Tambacounda,Zone soudanienne,393.38953,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_015,-13.625,12.875,38.718997955322266,8.582274436950684,2.407594919204712,30.136723518371582,True,True,forte,tres humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Tambacounda,Zone soudanienne,420.51984,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_016,-13.375,12.875,32.038883209228516,8.07670783996582,1.7979834079742432,23.962175369262695,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Tambacounda,Zone soudanienne,447.65018,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_017,-13.125,12.875,27.172334671020508,8.982643127441406,1.362577199935913,18.1896915435791,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,474.78046,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_018,-12.875,12.875,21.776321411132812,8.036678314208984,1.2021936178207397,13.739643096923828,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,501.91077,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_019,-12.625,12.875,25.755943298339844,7.891218185424805,1.648768663406372,17.86472511291504,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,529.0411,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_020,-12.375,12.875,20.59576416015625,7.823851108551025,1.1432075500488281,12.771913051605225,False,True,forte,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,556.17145,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_021,-12.125,12.875,18.23790740966797,7.12929105758667,1.0682880878448486,11.108616352081299,False,False,moderee,humide,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,583.3017,5,plus_intense,All_phases
2022-08-03,C5_plus_intense,2022-08-03_002_022,-11.875,12.875,13.316554069519043,7.445235252380371,0.5860903263092041,5.871318817138672,False,False,moderee,normale,2022,8,3,215,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,610.432,5,plus_intense,All_phases
