longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1989-10-31,C5_moins_intense,1989-10-31_000_003,0.0,-0.38105860352516174,1.0649555921554565,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,95.14188
-16.375,12.375,1989-10-31,C5_moins_intense,1989-10-31_000_004,0.0,-0.38626161217689514,1.4439287185668945,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,122.32527
-12.375,12.375,1989-10-31,C5_moins_intense,1989-10-31_000_020,0.0,-0.6552213430404663,1.888237476348877,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,557.2596
-16.625,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_003,0.0,-0.3871493935585022,1.1091357469558716,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,95.04989
-16.375,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_004,0.0,-0.4127092957496643,1.2367303371429443,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,122.20701
-16.125,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_005,0.0,-0.4241284430027008,1.2510355710983276,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,149.36412
-15.875,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_006,0.0,-0.40775924921035767,1.2844120264053345,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,176.52124
-15.625,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_007,0.0,-0.4321860074996948,1.3318722248077393,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,203.67834
-15.375,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_008,0.0,-0.4297288656234741,1.2501167058944702,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,230.83545
-12.875,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_018,0.0,-0.526853621006012,1.2825947999954224,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,502.40656
-12.625,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_019,0.38050365447998047,-0.3255918323993683,1.2266806364059448,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,529.56366
-12.375,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_020,2.03359055519104,0.49972161650657654,1.0631123781204224,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,556.7208
-12.125,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_021,0.0,-0.5720494985580444,1.4225618839263916,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,583.87787
-11.875,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_022,0.0,-0.4767429232597351,1.249937891960144,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,611.03503
-11.625,12.625,1989-10-31,C5_moins_intense,1989-10-31_001_023,2.317856788635254,0.6503900289535522,1.0242459774017334,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,638.19214
-16.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_003,0.0,-0.40085771679878235,1.221968412399292,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,94.95609
-16.375,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_004,0.0,-0.42185962200164795,1.0246285200119019,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,122.08641
-16.125,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_005,0.0,-0.47698739171028137,1.0705517530441284,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,149.21672
-15.875,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_006,0.0,-0.4160709083080292,1.0047070980072021,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,176.34703
-15.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_007,0.0,-0.387347549200058,0.7377266883850098,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,203.47736
-15.375,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_008,0.0,-0.3847103714942932,0.7972333431243896,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,230.60765
-15.125,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_009,2.984659194946289,1.310849666595459,0.7804087400436401,False,False,faible,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,257.73798
-14.875,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_010,1.5095945596694946,0.3843837380409241,0.8309433460235596,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,284.8683
-14.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_011,1.8603514432907104,0.3438813388347626,1.0413587093353271,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,311.9986
-14.375,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_012,0.6701981425285339,-0.03899900242686272,0.7472314834594727,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,339.1289
-14.125,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_013,0.0,-0.3597310781478882,0.852408766746521,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,366.25922
-13.875,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_014,0.0,-0.3883127272129059,1.008928656578064,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,393.38953
-13.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_015,0.0,-0.4390374422073364,1.0366935729980469,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,420.51984
-13.375,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_016,0.0,-0.426887571811676,0.5731250643730164,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,447.65018
-13.125,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_017,0.0,-0.4614742696285248,0.7304167747497559,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,474.78046
-12.875,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_018,1.1259158849716187,0.02346566505730152,1.0774643421173096,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,501.91077
-12.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_019,0.9580492973327637,-0.0310633834451437,1.030516505241394,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,529.0411
-12.375,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_020,0.0,-0.4332004189491272,0.9132628440856934,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,556.17145
-12.125,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_021,0.0,-0.4110851585865021,0.7916935682296753,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,583.3017
-11.875,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_022,0.0,-0.3984106481075287,1.0001771450042725,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,610.432
-11.625,12.875,1989-10-31,C5_moins_intense,1989-10-31_002_023,0.9338593482971191,0.056647539138793945,0.8199293613433838,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,637.5624
-16.625,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_003,0.0,-0.37292733788490295,0.6767906546592712,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,94.86048
-16.375,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_004,0.0,-0.42063838243484497,0.6854420304298401,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,121.96348
-16.125,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_005,0.0,-0.3922484517097473,0.887188196182251,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,149.06648
-15.875,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_006,0.0,-0.40786874294281006,0.704196572303772,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,176.16948
-15.625,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_007,0.0,-0.41442903876304626,0.670945942401886,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,203.27248
-15.375,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_008,0.26669609546661377,-0.22210921347141266,0.836448073387146,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,230.37546
-15.125,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_009,0.8945844173431396,0.041204240173101425,0.8120187520980835,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,257.47845
-14.875,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_010,5.401045322418213,2.413587808609009,0.9206477403640747,True,False,moderee,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,284.58145
-14.625,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_011,5.03939962387085,2.041571617126465,0.9746745824813843,True,False,moderee,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,311.68445
-14.375,13.125,1989-10-31,C5_moins_intense,1989-10-31_003_012,0.6242566704750061,0.024544553831219673,0.5908252000808716,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1989,10,31,304,338.78745
