longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2012-06-20,C0_plus_petite_couverture,2012-06-20_000_003,8.44253921508789,0.9475085735321045,2.9937846660614014,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,95.14188
-16.375,12.375,2012-06-20,C0_plus_petite_couverture,2012-06-20_000_004,7.371699333190918,0.497344434261322,4.0316619873046875,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,122.32527
-12.375,12.375,2012-06-20,C0_plus_petite_couverture,2012-06-20_000_020,7.446690559387207,0.3083629012107849,5.428211212158203,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,557.2596
-16.625,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_003,6.014946460723877,0.45143041014671326,3.2544004917144775,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,95.04989
-16.375,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_004,7.792937755584717,0.48521164059638977,4.1248087882995605,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,122.20701
-16.125,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_005,10.788396835327148,0.9203046560287476,4.261930465698242,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,149.36412
-15.875,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_006,13.1458740234375,1.4035249948501587,4.105846881866455,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,176.52124
-15.625,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_007,16.442054748535156,1.7599033117294312,4.3343939781188965,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,203.67834
-15.375,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_008,20.044105529785156,2.0828776359558105,4.906717300415039,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,230.83545
-12.875,12.625,2012-06-20,C0_plus_petite_couverture,2012-06-20_001_018,4.628188610076904,-0.022897763177752495,4.756255149841309,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2012,6,20,172,502.40656
