longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2005-05-12,C2_moins_intense,2005-05-12_000_003,0.0,0.0,0.0,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,95.14188
-16.375,12.375,2005-05-12,C2_moins_intense,2005-05-12_000_004,0.0,0.0,0.0,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,122.32527
-12.375,12.375,2005-05-12,C2_moins_intense,2005-05-12_000_020,0.0,-0.48524209856987,1.450521469116211,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,557.2596
-16.625,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_003,0.0,0.0,0.0,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,95.04989
-16.375,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_004,0.0,-0.003924713935703039,0.0003924714110326022,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,122.20701
-16.125,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_005,0.0,0.0,0.0,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,149.36412
-15.875,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_006,0.0,-0.0015560472384095192,0.00015560472093056887,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,176.52124
-15.625,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_007,0.0,-0.1556495577096939,0.008691729046404362,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,203.67834
-15.375,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_008,0.0,-0.23836223781108856,0.019203107804059982,False,False,trace,normale,Kolda,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,230.83545
-12.875,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_018,0.0,-0.3251434564590454,0.4888738989830017,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,502.40656
-12.625,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_019,0.0,-0.4156280755996704,0.5212779641151428,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,529.56366
-12.375,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_020,0.0,-0.46449142694473267,0.880145251750946,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,556.7208
-12.125,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_021,0.0,-0.3872426450252533,1.415197491645813,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,583.87787
-11.875,12.625,2005-05-12,C2_moins_intense,2005-05-12_001_022,0.0,-0.45858797430992126,1.4657940864562988,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2005,5,12,132,611.03503
