longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2020-06-11,C3_plus_intense,2020-06-11_000_003,16.815593719482422,2.9796717166900635,1.9451130628585815,True,False,moderee,tres humide,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,95.14188
-16.375,12.375,2020-06-11,C3_plus_intense,2020-06-11_000_004,22.115373611450195,3.385169267654419,2.4965567588806152,True,True,forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,122.32527
-12.375,12.375,2020-06-11,C3_plus_intense,2020-06-11_000_020,17.25048828125,1.076364278793335,7.829582214355469,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,557.2596
-16.625,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_003,19.91322135925293,2.978011131286621,2.144940137863159,True,False,moderee,tres humide,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,95.04989
-16.375,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_004,26.03557586669922,3.537602424621582,2.710231304168701,True,True,forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,122.20701
-16.125,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_005,29.11463165283203,4.6195387840271,2.7447216510772705,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,149.36412
-15.875,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_006,32.355533599853516,4.692322731018066,3.2970829010009766,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,176.52124
-15.625,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_007,35.329368591308594,4.517389297485352,3.9993512630462646,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,203.67834
-15.375,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_008,37.379180908203125,4.684370040893555,4.19577169418335,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,230.83545
-12.875,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_018,27.768020629882812,2.7448296546936035,6.845540523529053,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,502.40656
-12.625,12.625,2020-06-11,C3_plus_intense,2020-06-11_001_019,27.892553329467773,2.383430242538452,7.494478225708008,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_1_debut,Debut de saison (Mai-Juin),2020,6,11,163,529.56366
