longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1993-07-12,C0_moins_intense,1993-07-12_000_003,1.420411229133606,-0.680785596370697,9.843642234802246,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,95.14188
-16.375,12.375,1993-07-12,C0_moins_intense,1993-07-12_000_004,16.28331756591797,0.5675517320632935,9.751412391662598,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,122.32527
-12.375,12.375,1993-07-12,C0_moins_intense,1993-07-12_000_020,6.620616912841797,-0.248750239610672,8.924542427062988,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,557.2596
-16.625,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_003,3.3691396713256836,-0.5615053176879883,9.89055347442627,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,95.04989
-16.375,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_004,3.623206377029419,-0.5291835069656372,9.424814224243164,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,122.20701
-16.125,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_005,7.475006103515625,-0.16656593978405,9.200382232666016,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,149.36412
-15.875,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_006,11.209817886352539,0.30899307131767273,8.249266624450684,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,176.52124
-15.625,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_007,7.227264404296875,-0.06281518936157227,7.765982627868652,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,203.67834
-15.375,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_008,3.8478102684020996,-0.40530267357826233,7.386366844177246,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,230.83545
-12.875,12.625,1993-07-12,C0_moins_intense,1993-07-12_001_018,7.193417549133301,0.23893043398857117,5.60080099105835,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,12,193,502.40656
