longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1993-07-22,C0_plus_petite_couverture,1993-07-22_000_003,8.735809326171875,-0.18630337715148926,11.701412200927734,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,95.14188
-16.375,12.375,1993-07-22,C0_plus_petite_couverture,1993-07-22_000_004,10.669059753417969,-0.06880667805671692,11.698624610900879,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,122.32527
-12.375,12.375,1993-07-22,C0_plus_petite_couverture,1993-07-22_000_020,0.07676447927951813,-0.9009400606155396,8.349674224853516,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,557.2596
-16.625,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_003,9.36916732788086,-0.13842226564884186,11.590494155883789,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,95.04989
-16.375,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_004,10.945484161376953,-0.021598780527710915,11.266677856445312,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,122.20701
-16.125,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_005,14.9058198928833,0.5167114734649658,9.083683013916016,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,149.36412
-15.875,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_006,13.517441749572754,0.44690579175949097,8.744574546813965,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,176.52124
-15.625,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_007,12.938813209533691,0.43619197607040405,8.089152336120605,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,203.67834
-15.375,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_008,15.044020652770996,0.48644042015075684,9.20396900177002,False,False,moderee,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,230.83545
-12.875,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_018,1.3627381324768066,-0.7072407603263855,7.299210548400879,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,502.40656
-12.625,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_019,1.1893330812454224,-0.6975818872451782,7.065690040588379,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,529.56366
-12.375,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_020,0.9845714569091797,-0.746452271938324,7.606164932250977,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,556.7208
-12.125,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_021,0.8209149241447449,-0.7930580973625183,7.9170098304748535,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,583.87787
-11.875,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_022,0.7769788503646851,-0.7811267971992493,7.1017632484436035,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,611.03503
-11.625,12.625,1993-07-22,C0_plus_petite_couverture,1993-07-22_001_023,1.9567822217941284,-0.6300941109657288,7.920860767364502,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,638.19214
-16.625,12.875,1993-07-22,C0_plus_petite_couverture,1993-07-22_002_003,15.333988189697266,0.31224924325942993,11.075082778930664,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,94.95609
-16.375,12.875,1993-07-22,C0_plus_petite_couverture,1993-07-22_002_004,16.332059860229492,0.7199592590332031,8.469270706176758,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,122.08641
-16.125,12.875,1993-07-22,C0_plus_petite_couverture,1993-07-22_002_005,19.39687156677246,1.2143771648406982,7.521490097045898,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,149.21672
-15.875,12.875,1993-07-22,C0_plus_petite_couverture,1993-07-22_002_006,20.479230880737305,1.4309167861938477,7.18361234664917,False,True,forte,humide,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),1993,7,22,203,176.34703
