longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2003-07-07,C1_plus_grande_couverture,2003-07-07_000_003,46.90925216674805,3.1995697021484375,8.865143775939941,True,True,forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,95.14188
-16.375,12.375,2003-07-07,C1_plus_grande_couverture,2003-07-07_000_004,28.576887130737305,1.9758039712905884,8.8317232131958,False,True,forte,humide,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,122.32527
-12.375,12.375,2003-07-07,C1_plus_grande_couverture,2003-07-07_000_020,31.343666076660156,2.5150833129882812,8.179483413696289,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,557.2596
-16.625,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_003,36.05281448364258,2.728804349899292,8.015843391418457,True,True,forte,tres humide,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,95.04989
-16.375,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_004,30.750993728637695,2.2120938301086426,8.216784477233887,True,True,forte,tres humide,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,122.20701
-16.125,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_005,45.56517028808594,3.5137641429901123,7.990560054779053,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,149.36412
-15.875,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_006,50.07627868652344,4.159460544586182,6.972785472869873,True,True,tres forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,176.52124
-15.625,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_007,43.95598602294922,4.136011600494385,6.121685028076172,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,203.67834
-15.375,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_008,39.20935821533203,3.2072691917419434,7.046926975250244,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,230.83545
-12.875,12.625,2003-07-07,C1_plus_grande_couverture,2003-07-07_001_018,36.19377136230469,2.881216287612915,7.887506484985352,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2003,7,7,188,502.40656
