longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2012-08-26,C3_plus_intense,2012-08-26_000_003,20.248279571533203,0.13295835256576538,18.134862899780273,False,True,forte,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,95.14188
-16.375,12.375,2012-08-26,C3_plus_intense,2012-08-26_000_004,16.257766723632812,-0.03851482272148132,16.914934158325195,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,122.32527
-12.375,12.375,2012-08-26,C3_plus_intense,2012-08-26_000_020,7.382324695587158,-0.5374698638916016,15.341691970825195,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,557.2596
-16.625,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_003,17.022897720336914,-0.0895262137055397,18.649913787841797,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,95.04989
-16.375,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_004,15.58011245727539,-0.011286614462733269,15.751954078674316,False,False,moderee,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,122.20701
-16.125,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_005,15.507495880126953,0.08443187922239304,14.276689529418945,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,149.36412
-15.875,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_006,9.106071472167969,-0.3044595718383789,12.945608139038086,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,176.52124
-15.625,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_007,8.582527160644531,-0.23920971155166626,10.973730087280273,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,203.67834
-15.375,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_008,2.219460964202881,-0.7152987718582153,9.250306129455566,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,230.83545
-12.875,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_018,1.142642617225647,-0.9264235496520996,13.370555877685547,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,502.40656
-12.625,12.625,2012-08-26,C3_plus_intense,2012-08-26_001_019,0.0,-1.0689698457717896,12.604959487915039,False,False,trace,seche,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Aout),2012,8,26,239,529.56366
