event_date,selection_label,pixel_id,longitude,latitude,precipitation_mm,climatology_mm,anomaly_standardized,anomaly_mm,is_extreme,is_intense,intensity_category,anomaly_category,year,month,day,day_of_year,season_phase,phase_description,region,climate_zone,distance_to_coast_km,cluster,criterion,phase
1998-08-21,C5_plus_intense,1998-08-21_000_003,-16.625,12.375,35.615806579589844,14.903055191040039,1.613566279411316,20.712751388549805,False,True,forte,humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.14188,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_000_004,-16.375,12.375,40.39977264404297,15.24576473236084,1.823630928993225,25.15400791168213,False,True,forte,humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.32527,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_000_020,-12.375,12.375,73.68966674804688,19.724056243896484,2.418637752532959,53.96561050415039,True,True,tres forte,tres humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,557.2596,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_003,-16.625,12.625,24.117124557495117,14.27596664428711,0.7529914379119873,9.841157913208008,False,True,forte,normale,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.04989,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_004,-16.375,12.625,29.69207000732422,13.504562377929688,1.2369964122772217,16.18750762939453,False,True,forte,humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.20701,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_005,-16.125,12.625,28.356019973754883,11.671062469482422,1.4758331775665283,16.68495750427246,False,True,forte,humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,149.36412,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_006,-15.875,12.625,8.145699501037598,10.633804321289062,-0.23921333253383636,-2.488104820251465,False,False,moderee,normale,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,176.52124,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_007,-15.625,12.625,6.093904972076416,10.449538230895996,-0.40125101804733276,-4.35563325881958,False,False,moderee,normale,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,203.67834,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_008,-15.375,12.625,5.095804214477539,10.384195327758789,-0.45495980978012085,-5.28839111328125,False,False,moderee,normale,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,230.83545,5,plus_intense,Phase_2_pleine
1998-08-21,C5_plus_intense,1998-08-21_001_018,-12.875,12.625,46.454402923583984,17.159475326538086,1.66937255859375,29.2949275970459,False,True,forte,humide,1998,8,21,233,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,502.40656,5,plus_intense,Phase_2_pleine
