longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1994-09-21,C1_plus_intense,1994-09-21_000_003,78.88785552978516,4.609821796417236,9.75857925415039,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,95.14188
-16.375,12.375,1994-09-21,C1_plus_intense,1994-09-21_000_004,72.47795104980469,4.258401870727539,10.119791030883789,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,122.32527
-12.375,12.375,1994-09-21,C1_plus_intense,1994-09-21_000_020,5.153728008270264,-0.23608721792697906,7.155056476593018,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,557.2596
-16.625,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_003,94.9684066772461,5.089241027832031,10.472733497619629,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,95.04989
-16.375,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_004,73.41586303710938,4.4520745277404785,9.79525089263916,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,122.20701
-16.125,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_005,57.9570426940918,4.684790134429932,8.551298141479492,True,True,tres forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,149.36412
-15.875,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_006,37.247764587402344,3.277712345123291,8.704730033874512,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,176.52124
-15.625,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_007,20.528322219848633,1.8278833627700806,7.39829683303833,False,True,forte,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,203.67834
-15.375,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_008,12.842262268066406,0.9881263375282288,6.270936489105225,False,False,moderee,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,230.83545
-12.875,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_018,13.620039939880371,0.9582267999649048,6.159647464752197,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,502.40656
-12.625,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_019,12.23466682434082,0.8791287541389465,6.015395164489746,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,529.56366
-12.375,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_020,4.8012285232543945,-0.14514730870723724,5.808509826660156,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,556.7208
-12.125,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_021,12.403392791748047,0.6405658721923828,6.849306106567383,False,False,moderee,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,583.87787
-11.875,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_022,15.903251647949219,1.3081769943237305,6.52827262878418,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,611.03503
-11.625,12.625,1994-09-21,C1_plus_intense,1994-09-21_001_023,14.35190200805664,1.3918877840042114,6.0319108963012695,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,638.19214
-16.625,12.875,1994-09-21,C1_plus_intense,1994-09-21_002_003,101.28107452392578,5.508149147033691,9.481534957885742,True,True,extreme,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,94.95609
-16.375,12.875,1994-09-21,C1_plus_intense,1994-09-21_002_004,70.75189971923828,4.859587669372559,8.490910530090332,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,122.08641
-16.125,12.875,1994-09-21,C1_plus_intense,1994-09-21_002_005,56.158634185791016,4.901042938232422,6.826109409332275,True,True,tres forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,149.21672
-15.875,12.875,1994-09-21,C1_plus_intense,1994-09-21_002_006,33.990013122558594,3.5399863719940186,6.627277374267578,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1994,9,21,264,176.34703
