longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_000_003,50.320587158203125,2.4588136672973633,13.215826034545898,True,True,tres forte,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,95.14188
-16.375,12.375,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_000_004,55.815452575683594,2.675894021987915,14.035004615783691,True,True,tres forte,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,122.32527
-12.375,12.375,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_000_020,49.40272521972656,2.8970444202423096,12.621654510498047,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,557.2596
-16.625,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_003,53.22517395019531,2.624427080154419,13.928275108337402,True,True,tres forte,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,95.04989
-16.375,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_004,59.923492431640625,2.851910352706909,14.70717716217041,True,True,tres forte,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,122.20701
-16.125,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_005,67.87049865722656,4.063530921936035,12.395309448242188,True,True,tres forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,149.36412
-15.875,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_006,64.15264892578125,4.229051113128662,10.65737533569336,True,True,tres forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,176.52124
-15.625,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_007,46.210540771484375,3.362090826034546,10.01484489440918,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,203.67834
-15.375,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_008,46.922725677490234,3.7934741973876953,9.125456809997559,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,230.83545
-12.875,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_018,45.762855529785156,2.7772998809814453,12.069117546081543,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,502.40656
-12.625,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_019,45.606536865234375,2.8303680419921875,11.217567443847656,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,529.56366
-12.375,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_020,55.41816329956055,3.2887651920318604,12.084754943847656,True,True,tres forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,556.7208
-12.125,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_021,47.199058532714844,2.81423282623291,11.50149154663086,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,583.87787
-11.875,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_022,34.044708251953125,2.185473680496216,9.997681617736816,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,611.03503
-11.625,12.625,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_001_023,33.35053634643555,2.231902599334717,9.68020248413086,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,638.19214
-16.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_003,60.090328216552734,3.1042943000793457,12.618213653564453,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,94.95609
-16.375,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_004,44.7172737121582,2.624422788619995,11.318588256835938,True,True,forte,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,122.08641
-16.125,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_005,46.1253662109375,3.4183454513549805,9.422406196594238,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,149.21672
-15.875,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_006,38.372276306152344,3.046403646469116,8.66666030883789,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,176.34703
-15.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_007,42.587032318115234,3.290592670440674,9.135272979736328,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,203.47736
-15.375,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_008,40.41919708251953,3.2068827152252197,9.322965621948242,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,230.60765
-15.125,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_009,39.158241271972656,2.8364529609680176,9.915563583374023,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,257.73798
-14.875,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_010,40.07918930053711,2.9492318630218506,9.576432228088379,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,284.8683
-14.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_011,37.169960021972656,2.950049638748169,8.888275146484375,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,311.9986
-14.375,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_012,34.59337615966797,2.629504680633545,9.631868362426758,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,339.1289
-14.125,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_013,30.097654342651367,1.9869238138198853,9.865067481994629,False,True,forte,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,366.25922
-13.875,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_014,25.305213928222656,1.44898521900177,10.316760063171387,False,True,forte,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,393.38953
-13.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_015,29.8287410736084,2.141242027282715,9.789843559265137,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,420.51984
-13.375,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_016,29.967866897583008,2.661543846130371,8.61419677734375,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,447.65018
-13.125,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_017,41.83845138549805,3.073486566543579,9.962594985961914,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,474.78046
-12.875,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_018,48.101375579833984,3.181854724884033,11.205574035644531,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,501.91077
-12.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_019,48.446983337402344,3.0715813636779785,11.06006145477295,True,True,forte,exceptionnelle,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,529.0411
-12.375,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_020,44.334197998046875,2.560622453689575,11.348231315612793,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,556.17145
-12.125,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_021,43.528564453125,2.7684338092803955,10.490406036376953,True,True,forte,tres humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,583.3017
-11.875,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_022,27.585372924804688,1.6154717206954956,9.819367408752441,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,610.432
-11.625,12.875,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_002_023,17.964515686035156,1.0232573747634888,8.204302787780762,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,637.5624
-16.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_003,52.95595169067383,3.645036220550537,9.625643730163574,True,True,tres forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,94.86048
-16.375,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_004,45.752662658691406,3.3954741954803467,8.982630729675293,True,True,forte,exceptionnelle,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,121.96348
-16.125,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_005,31.64238929748535,2.628824472427368,8.173090934753418,True,True,forte,tres humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,149.06648
-15.875,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_006,38.6241340637207,3.048464059829712,8.132619857788086,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,176.16948
-15.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_007,37.361000061035156,3.0222535133361816,8.470243453979492,True,True,forte,exceptionnelle,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,203.27248
-15.375,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_008,31.785072326660156,2.850405216217041,8.417863845825195,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,230.37546
-15.125,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_009,35.839317321777344,3.1251349449157715,8.752577781677246,True,True,forte,exceptionnelle,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,257.47845
-14.875,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_010,36.0577278137207,2.9187114238739014,9.179935455322266,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,284.58145
-14.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_011,34.37589645385742,2.9531285762786865,8.924769401550293,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,311.68445
-14.375,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_012,33.112430572509766,2.8360772132873535,9.075881958007812,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,338.78745
-14.125,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_013,29.823139190673828,2.6377100944519043,8.528609275817871,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,365.89044
-13.875,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_014,29.1199951171875,2.5386581420898438,8.499649047851562,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,392.99344
-13.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_015,30.424755096435547,2.42368221282959,9.103168487548828,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,420.09644
-13.375,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_016,30.385461807250977,2.4293346405029297,8.466161727905273,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,447.19943
-13.125,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_017,43.42744445800781,3.193239212036133,9.347931861877441,True,True,forte,exceptionnelle,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,474.30243
-12.875,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_018,42.02375793457031,2.8987362384796143,9.896169662475586,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,501.4054
-12.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_019,44.285301208496094,2.9407012462615967,9.996960639953613,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,528.5084
-12.375,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_020,40.43257141113281,2.401508331298828,10.044082641601562,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,555.61145
-12.125,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_021,36.813907623291016,2.2336721420288086,9.283056259155273,True,True,forte,tres humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,582.71436
-11.875,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_022,21.64736557006836,1.435804009437561,7.898181915283203,False,True,forte,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,609.8174
-11.625,13.125,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_003_023,13.964015007019043,0.8176885843276978,6.896366596221924,False,False,moderee,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,636.9204
-15.125,13.375,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_004_009,23.9379825592041,2.0830953121185303,7.834567546844482,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,257.21408
-14.875,13.375,2010-09-11,C2_plus_grande_couverture + C2_plus_intense,2010-09-11_004_010,26.656309127807617,2.4805033206939697,7.041085720062256,True,True,forte,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2010,9,11,254,284.2892
