longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_000_003,0.0,-0.2690678536891937,1.6215426921844482,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,95.14188
-16.375,12.375,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_000_004,0.0,-0.3353714346885681,1.5117833614349365,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,122.32527
-12.375,12.375,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_000_020,7.631251811981201,1.923934817314148,2.0914976596832275,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,557.2596
-16.625,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_003,0.0,-0.3033257722854614,1.7869306802749634,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,95.04989
-16.375,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_004,1.1382966041564941,-0.08863279968500137,1.5602892637252808,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,122.20701
-16.125,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_005,5.004512786865234,0.7355193495750427,1.85400390625,False,False,moderee,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,149.36412
-15.875,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_006,1.6338351964950562,-0.049164317548274994,1.868415355682373,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,176.52124
-15.625,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_007,1.38948655128479,-0.08582513779401779,1.6729964017868042,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,203.67834
-15.375,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_008,0.0,-0.5439059734344482,2.0974748134613037,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,230.83545
-12.875,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_018,4.399016857147217,1.0432097911834717,1.6808369159698486,False,False,faible,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,502.40656
-12.625,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_019,2.515535593032837,0.39603251218795776,1.5852714776992798,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,529.56366
-12.375,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_020,4.085074424743652,1.1381646394729614,1.4339443445205688,False,False,faible,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,556.7208
-12.125,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_021,7.367649078369141,1.7992396354675293,1.8435134887695312,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,583.87787
-11.875,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_022,5.5780415534973145,1.1306147575378418,1.8804343938827515,False,False,moderee,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,611.03503
-11.625,12.625,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_001_023,2.8990442752838135,0.5368612408638,1.4991759061813354,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,638.19214
-16.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_003,0.0,-0.3493174910545349,1.3693374395370483,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,94.95609
-16.375,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_004,0.0,-0.3335471451282501,1.2013338804244995,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,122.08641
-16.125,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_005,1.765855312347412,0.11799503862857819,1.304513931274414,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,149.21672
-15.875,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_006,0.0,-0.3279053568840027,1.4596585035324097,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,176.34703
-15.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_007,0.0,-0.39094704389572144,1.2206885814666748,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,203.47736
-15.375,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_008,0.0,-0.44624170660972595,1.3513848781585693,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,230.60765
-15.125,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_009,0.0,-0.480018675327301,1.4906184673309326,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,257.73798
-14.875,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_010,0.0,-0.5306721329689026,1.717803955078125,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,284.8683
-14.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_011,0.0,-0.5447966456413269,1.6166678667068481,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,311.9986
-14.375,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_012,0.36252257227897644,-0.35407280921936035,1.6094733476638794,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,339.1289
-14.125,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_013,4.907542705535889,1.1690562963485718,1.7048194408416748,False,False,faible,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,366.25922
-13.875,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_014,3.8258368968963623,0.6570526957511902,1.786085844039917,False,False,faible,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,393.38953
-13.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_015,0.0,-0.5282300710678101,1.6096851825714111,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,420.51984
-13.375,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_016,0.0,-0.49269047379493713,0.955544114112854,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,447.65018
-13.125,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_017,0.0,-0.4860476553440094,1.1566884517669678,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,474.78046
-12.875,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_018,3.137436866760254,0.7150295972824097,1.375346302986145,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,501.91077
-12.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_019,2.4297053813934326,0.4936197102069855,1.36351478099823,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,529.0411
-12.375,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_020,0.0,-0.5212494730949402,1.0793839693069458,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,556.17145
-12.125,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_021,2.229325532913208,0.3209545910358429,1.3493833541870117,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,583.3017
-11.875,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_022,4.333226680755615,0.9975660443305969,1.579290747642517,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,610.432
-11.625,12.875,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_002_023,2.5094528198242188,0.6443055868148804,1.175191879272461,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,637.5624
-16.625,13.125,2008-10-22,C2_moins_intense + C2_plus_petite_couverture,2008-10-22_003_003,0.0,-0.31819432973861694,0.9701134562492371,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2008,10,22,296,94.86048
