longitude,latitude,event_date,selection_label,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,distance_to_coast_km
-16.625,12.375,1998-10-31,C4_moins_intense,1998-10-31_000_003,6.340433597564697,1.8876526355743408,1.0649555921554565,False,False,moderee,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,95.14188
-16.375,12.375,1998-10-31,C4_moins_intense,1998-10-31_000_004,2.924478769302368,0.3960580825805664,1.4439287185668945,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,122.32527
-12.375,12.375,1998-10-31,C4_moins_intense,1998-10-31_000_020,3.6008048057556152,0.5942635536193848,1.888237476348877,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,557.2596
-16.625,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_003,7.26224422454834,2.147773265838623,1.1091357469558716,True,False,moderee,tres humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,95.04989
-16.375,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_004,5.840089321136475,1.536186933517456,1.2367303371429443,False,False,moderee,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,122.20701
-16.125,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_005,4.248012542724609,1.0160408020019531,1.2510355710983276,False,False,faible,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,149.36412
-15.875,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_006,5.246616363525391,1.2578716278076172,1.2844120264053345,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,176.52124
-15.625,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_007,8.420372009277344,2.3001835346221924,1.3318722248077393,True,False,moderee,tres humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,203.67834
-15.375,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_008,7.040799617767334,1.9905530214309692,1.2501167058944702,False,False,moderee,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,230.83545
-12.875,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_018,2.910006523132324,0.668494701385498,1.2825947999954224,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,502.40656
-12.625,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_019,2.9502408504486084,0.6631911993026733,1.2266806364059448,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,529.56366
-12.375,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_020,3.776618719100952,1.397247076034546,1.0631123781204224,False,False,faible,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,556.7208
-12.125,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_021,3.535268545150757,0.849574863910675,1.4225618839263916,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,583.87787
-11.875,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_022,1.244441270828247,-0.0020964844152331352,1.249937891960144,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,611.03503
-11.625,12.625,1998-10-31,C4_moins_intense,1998-10-31_001_023,0.23814362287521362,-0.3952294886112213,1.0242459774017334,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,638.19214
-16.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_003,6.860504627227783,1.8496801853179932,1.221968412399292,False,False,moderee,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,94.95609
-16.375,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_004,4.807663440704346,1.5575495958328247,1.0246285200119019,False,False,faible,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,122.08641
-16.125,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_005,5.35158634185791,1.907427191734314,1.0705517530441284,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,149.21672
-15.875,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_006,5.439008712768555,1.836340069770813,1.0047070980072021,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,176.34703
-15.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_007,2.679084062576294,1.0193206071853638,0.7377266883850098,False,False,faible,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,203.47736
-15.375,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_008,0.8931339979171753,0.04627751186490059,0.7972333431243896,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,230.60765
-15.125,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_009,1.203291416168213,0.25148484110832214,0.7804087400436401,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,257.73798
-14.875,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_010,2.2678771018981934,0.8138701319694519,0.8309433460235596,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,284.8683
-14.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_011,5.9278483390808105,2.05175518989563,1.0413587093353271,True,False,moderee,tres humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,311.9986
-14.375,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_012,3.091587543487549,1.1868568658828735,0.7472314834594727,False,False,faible,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,339.1289
-14.125,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_013,2.680523633956909,0.7714957594871521,0.852408766746521,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,366.25922
-13.875,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_014,2.952054023742676,0.7478628754615784,1.008928656578064,False,False,faible,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,393.38953
-13.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_015,2.5720858573913574,0.6502352356910706,1.0366935729980469,False,False,faible,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,420.51984
-13.375,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_016,1.829336404800415,0.9356788992881775,0.5731250643730164,False,False,faible,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,447.65018
-13.125,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_017,2.586585760116577,1.1727198362350464,0.7304167747497559,False,False,faible,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,474.78046
-12.875,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_018,3.147198438644409,1.0023971796035767,1.0774643421173096,False,False,faible,humide,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,501.91077
-12.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_019,1.7227479219436646,0.2967280149459839,1.030516505241394,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,529.0411
-12.375,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_020,0.5655055642127991,-0.1649564504623413,0.9132628440856934,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,556.17145
-12.125,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_021,0.0,-0.4110851585865021,0.7916935682296753,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,583.3017
-11.875,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_022,0.0,-0.3984106481075287,1.0001771450042725,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,610.432
-11.625,12.875,1998-10-31,C4_moins_intense,1998-10-31_002_023,0.0,-0.40768003463745117,0.8199293613433838,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,637.5624
-16.625,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_003,2.9080402851104736,1.2294702529907227,0.6767906546592712,False,False,faible,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,94.86048
-16.375,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_004,3.36088490486145,1.6418514251708984,0.6854420304298401,False,False,faible,humide,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,121.96348
-16.125,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_005,5.333428859710693,1.9657959938049316,0.887188196182251,False,False,moderee,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,149.06648
-15.875,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_006,4.081578254699707,1.9561703205108643,0.704196572303772,False,False,faible,humide,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,176.16948
-15.625,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_007,1.4185137748718262,0.46175676584243774,0.670945942401886,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,203.27248
-15.375,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_008,0.8920028805732727,0.021657204255461693,0.836448073387146,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,230.37546
-15.125,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_009,0.374859094619751,-0.21816371381282806,0.8120187520980835,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,257.47845
-14.875,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_010,2.486809492111206,0.8436904549598694,0.9206477403640747,False,False,faible,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,284.58145
-14.625,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_011,3.8145458698272705,1.4263696670532227,0.9746745824813843,False,False,faible,humide,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,311.68445
-14.375,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_012,1.9707679748535156,1.0131196975708008,0.5908252000808716,False,False,faible,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,338.78745
-14.125,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_013,1.8832120895385742,1.1846221685409546,0.44265004992485046,False,False,faible,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,365.89044
-13.875,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_014,2.6742310523986816,1.2662965059280396,0.7029220461845398,False,False,faible,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,392.99344
-13.625,13.125,1998-10-31,C4_moins_intense,1998-10-31_003_015,2.5876052379608154,1.292445182800293,0.69469153881073,False,False,faible,humide,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),1998,10,31,304,420.09644
