date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2012-09-28,Phase_3_fin,3,44.27,22.584,86.667,8.138,3.949,2012,9,272
2000-10-16,Phase_3_fin,2,30.394,11.745,78.444,15.633,5.802,2000,10,290
2022-05-27,Phase_1_debut,5,37.519,11.893,75.778,20.0,9.867,2022,5,147
2022-10-24,Phase_3_fin,5,51.165,13.084,74.667,11.945,5.725,2022,10,297
2018-06-27,Phase_1_debut,7,37.519,19.892,74.667,10.907,4.775,2018,6,178
2022-06-15,Phase_1_debut,5,46.855,20.876,68.667,9.579,4.809,2022,6,166
1992-06-08,Phase_1_debut,1,42.378,14.229,67.333,10.757,4.099,1992,6,160
2022-07-24,Phase_2_pleine,5,40.769,23.309,67.333,6.407,3.115,2022,7,205
2010-07-20,Phase_2_pleine,8,45.761,21.157,67.111,4.491,2.74,2010,7,201
2002-10-10,Phase_3_fin,7,32.914,14.405,66.889,16.378,5.575,2002,10,283
1985-06-27,Phase_1_debut,2,49.886,18.122,66.667,6.181,3.302,1985,6,178
2005-05-24,Phase_1_debut,7,13.062,2.528,65.556,12.179,5.159,2005,5,144
1999-10-09,Phase_3_fin,0,53.62,15.194,65.111,11.551,4.965,1999,10,282
1995-06-23,Phase_1_debut,7,34.522,17.282,64.889,10.41,4.96,1995,6,174
2021-08-18,Phase_2_pleine,2,79.541,35.429,64.444,6.492,3.481,2021,8,230
2003-07-07,Phase_2_pleine,7,56.312,26.697,64.444,6.459,3.482,2003,7,188
1984-09-30,Phase_3_fin,2,66.691,28.195,64.0,9.84,5.669,1984,9,274
2005-09-27,Phase_3_fin,7,76.163,26.531,64.0,8.467,4.33,2005,9,270
2011-08-17,Phase_2_pleine,8,68.824,35.424,62.889,7.781,3.872,2011,8,229
2019-08-29,Phase_2_pleine,7,88.361,36.602,62.444,8.633,3.849,2019,8,241
1991-09-01,Phase_3_fin,7,62.017,32.833,62.222,5.085,3.033,1991,9,244
2003-05-22,Phase_1_debut,2,17.842,3.747,60.667,10.386,4.138,2003,5,142
2018-07-19,Phase_2_pleine,7,80.501,27.892,60.667,7.305,3.472,2018,7,200
2021-09-19,Phase_3_fin,2,84.359,25.293,60.222,8.022,3.264,2021,9,262
2009-07-05,Phase_2_pleine,7,38.354,18.275,60.0,4.914,2.745,2009,7,186
1998-09-11,Phase_3_fin,6,75.374,31.177,59.556,11.542,4.05,1998,9,254
2021-09-16,Phase_3_fin,2,41.407,25.539,57.111,5.645,3.231,2021,9,259
2006-06-14,Phase_1_debut,7,24.102,10.978,56.889,13.809,4.504,2006,6,165
1998-09-07,Phase_3_fin,6,67.442,36.183,56.889,8.037,4.071,1998,9,250
1999-07-07,Phase_2_pleine,0,41.459,22.67,56.222,9.502,4.067,1999,7,188
2003-10-21,Phase_3_fin,7,22.92,7.294,56.222,9.45,4.451,2003,10,294
2002-07-07,Phase_2_pleine,7,50.702,26.078,55.778,8.778,4.043,2002,7,188
1997-06-09,Phase_1_debut,1,38.632,9.59,55.111,20.0,5.533,1997,6,160
2004-10-24,Phase_3_fin,7,17.663,6.532,54.667,12.089,4.252,2004,10,298
2023-08-15,Phase_2_pleine,4,63.57,28.371,54.667,5.897,3.214,2023,8,227
1989-06-13,Phase_1_debut,5,28.364,12.118,54.222,14.1,5.04,1989,6,164
1986-09-13,Phase_3_fin,7,61.058,29.148,54.0,6.37,3.679,1986,9,256
1984-06-20,Phase_1_debut,2,42.171,16.241,54.0,5.745,3.146,1984,6,172
2008-07-20,Phase_2_pleine,2,51.539,25.488,54.0,5.251,3.27,2008,7,202
1996-06-04,Phase_1_debut,2,45.817,17.7,53.778,9.866,4.5,1996,6,156
2002-08-10,Phase_2_pleine,7,52.213,27.539,53.556,5.287,2.948,2002,8,222
2005-06-28,Phase_1_debut,7,31.74,15.034,53.333,9.513,3.838,2005,6,179
1989-10-09,Phase_3_fin,5,25.318,10.695,53.333,7.401,3.606,1989,10,282
2002-10-11,Phase_3_fin,7,51.243,12.274,52.889,6.363,3.202,2002,10,284
2018-09-06,Phase_3_fin,7,86.332,33.356,52.667,6.305,3.217,2018,9,249
2019-10-13,Phase_3_fin,7,26.476,11.671,52.667,5.722,3.095,2019,10,286
1999-10-19,Phase_3_fin,0,14.733,5.598,52.444,8.346,3.475,1999,10,292
2023-07-03,Phase_2_pleine,4,33.705,16.123,52.222,6.806,3.16,2023,7,184
1994-10-22,Phase_3_fin,7,41.545,12.587,52.0,10.044,4.668,1994,10,295
2009-06-25,Phase_1_debut,7,37.963,19.823,52.0,7.737,4.039,2009,6,176
1995-07-20,Phase_2_pleine,7,75.299,31.652,51.556,11.71,5.054,1995,7,201
2005-06-05,Phase_1_debut,7,36.431,13.348,51.333,7.342,4.122,2005,6,156
2003-10-19,Phase_3_fin,7,21.305,7.482,51.111,7.05,2.918,2003,10,292
2011-06-02,Phase_1_debut,8,15.426,5.281,50.444,19.473,4.926,2011,6,153
2016-09-12,Phase_3_fin,6,62.38,28.452,50.444,7.104,3.515,2016,9,256
2005-07-15,Phase_2_pleine,7,48.145,22.436,50.0,5.997,2.936,2005,7,196
2009-06-15,Phase_1_debut,7,49.654,20.986,49.333,17.134,6.206,2009,6,166
1993-10-27,Phase_3_fin,7,38.816,9.985,49.333,9.194,4.776,1993,10,300
2021-08-30,Phase_2_pleine,2,57.592,28.6,49.333,3.7,2.498,2021,8,242
1997-10-31,Phase_3_fin,4,12.598,3.704,49.111,12.772,4.251,1997,10,304
2015-10-23,Phase_3_fin,1,38.368,9.341,48.667,10.299,4.703,2015,10,296
1997-06-08,Phase_1_debut,1,39.159,14.141,48.444,8.297,3.867,1997,6,159
2014-05-21,Phase_1_debut,7,28.968,8.507,48.222,16.989,7.263,2014,5,141
2022-09-21,Phase_3_fin,5,42.175,23.31,48.222,8.668,3.586,2022,9,264
1985-07-27,Phase_2_pleine,2,62.448,30.239,48.222,6.854,3.52,1985,7,208
2020-09-01,Phase_3_fin,2,48.776,26.732,48.222,5.777,2.949,2020,9,245
1988-06-24,Phase_1_debut,2,25.904,12.367,48.0,7.423,3.416,1988,6,176
2011-06-01,Phase_1_debut,8,14.67,6.006,47.778,18.236,4.615,2011,6,152
2009-10-25,Phase_3_fin,7,17.257,8.217,47.778,8.071,4.186,2009,10,298
2005-10-24,Phase_3_fin,2,58.694,12.265,47.556,10.393,4.507,2005,10,297
1988-06-12,Phase_1_debut,2,50.552,17.386,47.556,6.636,3.269,1988,6,164
2017-07-29,Phase_2_pleine,7,53.288,25.995,47.333,5.277,2.754,2017,7,210
1988-07-28,Phase_2_pleine,2,66.214,32.686,47.111,7.92,3.816,1988,7,210
2021-08-08,Phase_2_pleine,2,78.252,39.389,47.111,6.457,3.647,2021,8,220
1996-07-18,Phase_2_pleine,2,35.75,20.126,46.444,4.92,3.031,1996,7,200
2006-06-02,Phase_1_debut,7,21.872,13.146,46.0,13.278,4.524,2006,6,153
2020-09-09,Phase_3_fin,2,54.4,32.242,46.0,10.902,4.689,2020,9,253
1986-07-10,Phase_2_pleine,7,55.065,23.667,46.0,9.263,4.016,1986,7,191
2012-08-18,Phase_2_pleine,3,53.567,31.124,46.0,7.583,3.854,2012,8,231
1999-10-18,Phase_3_fin,0,45.363,10.862,45.778,8.471,3.796,1999,10,291
1999-08-29,Phase_2_pleine,0,60.727,33.17,45.778,5.934,3.425,1999,8,241
2016-08-20,Phase_2_pleine,6,76.851,38.671,45.556,4.933,3.044,2016,8,233
1988-08-27,Phase_2_pleine,2,72.378,38.724,45.333,8.352,4.071,1988,8,240
2002-08-13,Phase_2_pleine,7,48.383,26.696,45.333,5.95,3.237,2002,8,225
2017-06-27,Phase_1_debut,7,43.823,20.464,45.111,10.803,5.913,2017,6,178
2020-07-30,Phase_2_pleine,2,68.712,32.962,45.111,8.304,3.791,2020,7,212
1994-10-24,Phase_3_fin,7,23.741,7.084,45.111,6.303,3.58,1994,10,297
2014-06-02,Phase_1_debut,7,36.12,16.201,44.889,15.471,5.404,2014,6,153
1989-06-17,Phase_1_debut,5,85.593,32.674,44.889,13.444,7.029,1989,6,168
2022-06-09,Phase_1_debut,5,18.741,8.63,44.889,13.324,5.305,2022,6,160
1998-06-17,Phase_1_debut,6,34.525,15.746,44.889,5.004,2.986,1998,6,168
2019-10-09,Phase_3_fin,7,20.594,11.664,44.667,15.436,6.767,2019,10,282
2004-07-31,Phase_2_pleine,7,101.675,38.614,44.667,7.111,3.433,2004,7,213
1999-08-25,Phase_2_pleine,0,61.695,29.776,44.667,6.169,3.045,1999,8,237
2020-09-06,Phase_3_fin,2,56.054,35.539,44.444,8.567,4.563,2020,9,250
2006-06-03,Phase_1_debut,7,26.38,12.489,44.222,12.044,5.363,2006,6,154
2000-10-18,Phase_3_fin,2,23.62,8.399,44.222,9.689,4.578,2000,10,292
2010-09-11,Phase_3_fin,8,73.443,32.548,44.222,6.384,3.067,2010,9,254
1987-07-20,Phase_2_pleine,4,40.764,21.696,44.222,5.489,3.196,1987,7,201
2023-07-11,Phase_2_pleine,4,37.432,17.735,44.222,4.882,2.735,2023,7,192
1988-09-21,Phase_3_fin,2,69.995,28.598,44.0,13.931,4.81,1988,9,265
2010-08-18,Phase_2_pleine,8,77.826,32.507,44.0,7.297,3.527,2010,8,230
2010-09-19,Phase_3_fin,8,58.972,22.36,44.0,4.677,2.817,2010,9,262
1987-09-30,Phase_3_fin,4,31.555,16.368,43.778,6.271,3.259,1987,9,273
2018-09-18,Phase_3_fin,7,45.557,25.159,43.778,6.16,3.613,2018,9,261
2005-09-03,Phase_3_fin,7,59.049,34.827,43.778,4.873,2.937,2005,9,246
2021-06-26,Phase_1_debut,2,33.989,17.091,43.556,11.237,4.733,2021,6,177
2007-08-02,Phase_2_pleine,2,62.262,35.317,43.556,10.471,5.134,2007,8,214
2022-10-09,Phase_3_fin,5,24.916,12.823,43.333,7.422,3.341,2022,10,282
2009-09-08,Phase_3_fin,7,57.791,27.781,43.333,6.344,3.581,2009,9,251
1987-09-17,Phase_3_fin,4,102.445,43.009,43.111,10.302,4.769,1987,9,260
1994-08-12,Phase_2_pleine,7,56.212,27.452,43.111,6.237,3.66,1994,8,224
2019-10-25,Phase_3_fin,7,14.817,6.511,42.889,15.99,6.853,2019,10,298
2010-07-13,Phase_2_pleine,8,48.96,26.012,42.889,8.53,4.788,2010,7,194
2022-10-08,Phase_3_fin,5,42.853,15.136,42.667,7.381,3.856,2022,10,281
2023-09-04,Phase_3_fin,4,47.095,29.64,42.667,4.655,2.804,2023,9,247
2020-10-04,Phase_3_fin,2,21.33,10.8,42.222,7.769,3.216,2020,10,278
2016-07-21,Phase_2_pleine,6,48.74,24.387,42.222,6.465,3.315,2016,7,203
2013-07-21,Phase_2_pleine,2,37.866,20.246,42.0,6.42,3.252,2013,7,202
