composante,variance_expliquee,variance_cumulee
PC1,0.07951498,0.07951498
PC2,0.034198165,0.113713145
PC3,0.028821822,0.14253497
PC4,0.023733145,0.16626811
PC5,0.022342611,0.18861072
PC6,0.020546718,0.20915744
PC7,0.019349592,0.22850703
PC8,0.01814323,0.24665025
PC9,0.016854512,0.26350477
PC10,0.014052735,0.27755752
PC11,0.0134189995,0.29097652
PC12,0.012370372,0.3033469
PC13,0.012117546,0.31546444
PC14,0.010936462,0.3264009
PC15,0.0105481185,0.33694902
PC16,0.009987126,0.34693614
PC17,0.009792331,0.35672846
PC18,0.009509133,0.3662376
PC19,0.009228626,0.37546623
PC20,0.008727751,0.384194
PC21,0.008520654,0.39271465
PC22,0.008023007,0.40073764
PC23,0.007823201,0.40856084
PC24,0.0075413855,0.41610223
PC25,0.007120708,0.42322293
PC26,0.0068825386,0.43010548
PC27,0.006535416,0.4366409
PC28,0.0064356737,0.44307655
PC29,0.0062414813,0.44931802
PC30,0.005863625,0.45518166
PC31,0.005787547,0.4609692
PC32,0.005728323,0.46669754
PC33,0.005496593,0.47219414
PC34,0.0054085692,0.4776027
PC35,0.00518589,0.4827886
PC36,0.005125425,0.48791403
PC37,0.00500716,0.49292117
PC38,0.004863229,0.4977844
PC39,0.004849878,0.5026343
PC40,0.0046811546,0.50731546
PC41,0.0045427075,0.51185817
PC42,0.004505687,0.51636386
PC43,0.0043159965,0.52067983
PC44,0.0041952715,0.5248751
PC45,0.004106758,0.52898186
PC46,0.0040593,0.5330412
PC47,0.003989102,0.5370303
PC48,0.0038657198,0.540896
PC49,0.003736177,0.5446322
PC50,0.0036749998,0.5483072
PC51,0.00365244,0.55195963
PC52,0.003535521,0.55549514
PC53,0.003443706,0.55893886
PC54,0.0034148626,0.56235373
PC55,0.0033653413,0.56571907
PC56,0.0033358375,0.5690549
PC57,0.003270424,0.57232535
PC58,0.0032462683,0.5755716
PC59,0.0031475995,0.5787192
PC60,0.0031007528,0.58181995
PC61,0.0030421452,0.5848621
PC62,0.0029837755,0.58784586
PC63,0.0029674324,0.5908133
PC64,0.0029415332,0.5937548
PC65,0.0028548124,0.59660965
PC66,0.002813473,0.5994231
PC67,0.0027900948,0.6022132
PC68,0.0027745045,0.6049877
PC69,0.002726859,0.60771453
PC70,0.00269481,0.6104093
PC71,0.0026393773,0.6130487
PC72,0.0026133994,0.6156621
PC73,0.002562281,0.6182244
PC74,0.002497374,0.62072176
PC75,0.0024755083,0.62319726
PC76,0.0024512883,0.62564856
PC77,0.0024284252,0.628077
PC78,0.002371578,0.6304485
PC79,0.0023131082,0.63276166
PC80,0.0023076374,0.6350693
PC81,0.0022781447,0.63734746
PC82,0.0022465773,0.639594
PC83,0.002206447,0.64180046
PC84,0.0021956037,0.64399606
PC85,0.0021817156,0.64617777
PC86,0.0021171898,0.648295
PC87,0.002087883,0.6503829
PC88,0.0020665056,0.65244937
PC89,0.0020298099,0.6544792
PC90,0.0020204089,0.6564996
PC91,0.0020029543,0.6585026
PC92,0.00196238,0.66046494
PC93,0.0019378621,0.6624028
PC94,0.001923109,0.6643259
PC95,0.0019017004,0.6662276
PC96,0.0018822608,0.66810983
PC97,0.0018533758,0.6699632
PC98,0.0018481977,0.6718114
PC99,0.0018133654,0.67362475
PC100,0.0017927157,0.6754175
PC101,0.0017788726,0.6771964
PC102,0.0017667945,0.6789632
PC103,0.0017460665,0.68070924
PC104,0.0017194161,0.68242866
PC105,0.0016998796,0.6841285
PC106,0.0016805732,0.6858091
PC107,0.0016578534,0.6874669
PC108,0.0016256123,0.6890925
PC109,0.0016246827,0.6907172
PC110,0.001607089,0.6923243
PC111,0.0015843674,0.69390863
PC112,0.00156288,0.6954715
PC113,0.0015385683,0.6970101
PC114,0.0015257152,0.6985358
PC115,0.0015192805,0.70005506
PC116,0.0015017475,0.7015568
PC117,0.001482274,0.70303905
PC118,0.0014744898,0.70451355
PC119,0.0014583952,0.70597196
PC120,0.0014505317,0.7074225
PC121,0.0014449945,0.7088675
PC122,0.0014318472,0.7102993
PC123,0.0014225254,0.71172184
PC124,0.001395999,0.71311784
PC125,0.0013864985,0.71450436
PC126,0.0013738973,0.71587825
PC127,0.0013675336,0.71724576
PC128,0.001365005,0.71861076
PC129,0.0013324897,0.7199432
PC130,0.0013297134,0.72127295
PC131,0.0013261464,0.7225991
PC132,0.0013125889,0.7239117
PC133,0.0012921167,0.7252038
PC134,0.0012804915,0.7264843
