k,Inertie,Silhouette,Davies-Bouldin,Methode(s)
2,542827648.0,0.0572681687772274,3.91702629999841,
3,527190336.0,0.04924967512488365,4.047666362627197,
4,516464128.0,0.05096536874771118,3.955360315722071,
5,507557888.0,0.04438669979572296,3.9012130598107704,
6,499911104.0,0.0481400340795517,3.6988799817480653,
7,491912256.0,0.04792042821645737,3.9651960221022917,
8,484965472.0,0.030237330123782158,3.4805084128493995,
9,475856896.0,0.06339304149150848,3.299272789017328,coude
10,472630784.0,0.06196640059351921,3.4561300814628906,
11,464861760.0,0.06520643085241318,3.4845798262792105,
12,461065536.0,0.06691548973321915,3.0765944588328904,
13,454550816.0,0.07031737267971039,3.2879024679957216,
14,449657056.0,0.07017505913972855,3.200874825956494,
15,443898336.0,0.07196512818336487,3.037600197021997,silhouette | Davies-Bouldin
