date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2022-05-27,Phase_1_debut,4,37.519,11.892646142114993,75.778,20.0,9.866616912475576,2022,5,147
2018-06-27,Phase_1_debut,3,37.519,19.892213754710696,74.667,10.907,4.774997378099737,2018,6,178
2022-06-15,Phase_1_debut,4,46.855,20.87554252707071,68.667,9.579,4.809025868479853,2022,6,166
1992-06-08,Phase_1_debut,3,42.378,14.228678733700573,67.333,10.757,4.099282261913572,1992,6,160
1985-06-27,Phase_1_debut,1,49.886,18.12211015542348,66.667,6.181,3.302111719545434,1985,6,178
2005-05-24,Phase_1_debut,2,13.062,2.5280407449451543,65.556,12.179,5.1590720191402175,2005,5,144
1995-06-23,Phase_1_debut,3,34.522,17.281591922453003,64.889,10.41,4.960460272398837,1995,6,174
2003-05-22,Phase_1_debut,3,17.842,3.746759756526231,60.667,10.386,4.138387737017899,2003,5,142
2006-06-14,Phase_1_debut,0,24.102,10.978315332904458,56.889,13.809,4.503805226710104,2006,6,165
1997-06-09,Phase_1_debut,5,38.632,9.589990670642544,55.111,20.0,5.533126168140928,1997,6,160
1989-06-13,Phase_1_debut,1,28.364,12.117621184861074,54.222,14.1,5.039753880196689,1989,6,164
1984-06-20,Phase_1_debut,4,42.171,16.241171421828092,54.0,5.745,3.1455052655016007,1984,6,172
1996-06-04,Phase_1_debut,3,45.817,17.700492437713404,53.778,9.866,4.499719018283588,1996,6,156
2005-06-28,Phase_1_debut,2,31.74,15.033777298529944,53.333,9.513,3.8378726768591087,2005,6,179
2009-06-25,Phase_1_debut,3,37.963,19.823258367359127,52.0,7.737,4.039114137780784,2009,6,176
2005-06-05,Phase_1_debut,2,36.431,13.347826716058698,51.333,7.342,4.122448365525527,2005,6,156
2011-06-02,Phase_1_debut,1,15.426,5.2810656979745705,50.444,19.473,4.925634469676165,2011,6,153
2009-06-15,Phase_1_debut,3,49.654,20.986435919731587,49.333,17.134,6.206428158944485,2009,6,166
1997-06-08,Phase_1_debut,5,39.159,14.141271030957546,48.444,8.297,3.866508452768472,1997,6,159
2014-05-21,Phase_1_debut,3,28.968,8.506592311274071,48.222,16.989,7.262514167300528,2014,5,141
1988-06-24,Phase_1_debut,3,25.904,12.366782709404276,48.0,7.423,3.416119273107856,1988,6,176
2011-06-01,Phase_1_debut,1,14.67,6.0064166960328125,47.778,18.236,4.615177753609275,2011,6,152
1988-06-12,Phase_1_debut,3,50.552,17.385911386703775,47.556,6.636,3.268918966369444,1988,6,164
2006-06-02,Phase_1_debut,0,21.872,13.145861642948097,46.0,13.278,4.523563782995522,2006,6,153
2017-06-27,Phase_1_debut,3,43.823,20.46376206957061,45.111,10.803,5.91345085648465,2017,6,178
2014-06-02,Phase_1_debut,3,36.12,16.20125572457172,44.889,15.471,5.404476035829854,2014,6,153
1989-06-17,Phase_1_debut,1,85.593,32.6740803641848,44.889,13.444,7.029344474820794,1989,6,168
2022-06-09,Phase_1_debut,4,18.741,8.629882902792184,44.889,13.324,5.305044029969082,2022,6,160
1998-06-17,Phase_1_debut,0,34.525,15.746449130006356,44.889,5.004,2.9858697854058427,1998,6,168
2006-06-03,Phase_1_debut,0,26.38,12.488650739792003,44.222,12.044,5.363338080181227,2006,6,154
2021-06-26,Phase_1_debut,3,33.989,17.090904696863525,43.556,11.237,4.732892749639156,2021,6,177
