composante,variance_expliquee,variance_cumulee
PC1,0.08271662,0.08271662
PC2,0.043386083,0.1261027
PC3,0.04275262,0.16885532
PC4,0.033308156,0.20216349
PC5,0.031396866,0.23356035
PC6,0.027799157,0.2613595
PC7,0.027098639,0.28845814
PC8,0.025325747,0.31378388
PC9,0.022000251,0.33578414
PC10,0.0202986,0.35608274
PC11,0.019293237,0.375376
PC12,0.017858883,0.39323488
PC13,0.017741086,0.41097596
PC14,0.016424756,0.4274007
PC15,0.015648816,0.44304952
PC16,0.015427434,0.45847696
PC17,0.013999737,0.4724767
PC18,0.012928293,0.485405
PC19,0.012574493,0.4979795
PC20,0.012370844,0.51035035
PC21,0.011580919,0.5219313
PC22,0.011054068,0.5329853
PC23,0.010876937,0.5438623
PC24,0.009678193,0.55354047
PC25,0.009382957,0.56292343
PC26,0.009238972,0.5721624
PC27,0.008833371,0.58099574
PC28,0.00873243,0.5897282
PC29,0.0085566975,0.5982849
PC30,0.007947825,0.6062327
PC31,0.0076666153,0.6138993
PC32,0.0072744945,0.6211738
PC33,0.007145391,0.6283192
PC34,0.0067970636,0.6351163
PC35,0.0065523293,0.6416686
PC36,0.0065352595,0.64820385
PC37,0.006227148,0.654431
PC38,0.006004529,0.6604355
PC39,0.005897463,0.66633296
PC40,0.0057804473,0.6721134
PC41,0.0055685537,0.677682
PC42,0.0054454263,0.6831274
PC43,0.0053682327,0.68849564
PC44,0.005152463,0.6936481
PC45,0.0050050644,0.69865316
PC46,0.004877057,0.7035302
PC47,0.0047086934,0.7082389
PC48,0.0045631602,0.71280205
PC49,0.004480409,0.7172825
PC50,0.004369597,0.7216521
PC51,0.0043529063,0.726005
PC52,0.0042697843,0.7302748
PC53,0.004162051,0.73443687
PC54,0.0040921248,0.73852897
PC55,0.0039756955,0.74250466
PC56,0.003962384,0.74646705
PC57,0.003817719,0.7502848
PC58,0.0037391388,0.7540239
PC59,0.0036953632,0.7577193
PC60,0.0036160108,0.7613353
PC61,0.0035039333,0.76483923
PC62,0.003458769,0.76829803
PC63,0.0034155142,0.77171355
PC64,0.0033373598,0.77505094
PC65,0.0032850383,0.778336
PC66,0.003215231,0.78155124
PC67,0.0031374698,0.7846887
PC68,0.0031265104,0.7878152
PC69,0.0030824093,0.7908976
PC70,0.0029988415,0.79389644
PC71,0.002971736,0.79686815
PC72,0.0029347783,0.7998029
PC73,0.0028348377,0.80263776
PC74,0.0027542892,0.805392
PC75,0.0027424206,0.80813444
PC76,0.0026704567,0.8108049
PC77,0.0026234551,0.81342834
PC78,0.0026049528,0.8160333
PC79,0.0025903413,0.81862366
PC80,0.002507601,0.8211313
PC81,0.0024889824,0.82362026
PC82,0.002432702,0.82605296
PC83,0.002420593,0.82847357
PC84,0.0023859565,0.83085954
PC85,0.0023475022,0.8332071
PC86,0.0022949025,0.83550197
PC87,0.0022533392,0.8377553
PC88,0.0022358529,0.83999115
PC89,0.0022095444,0.8422007
PC90,0.002147647,0.8443484
PC91,0.0021265498,0.84647495
PC92,0.0020829863,0.84855795
PC93,0.002076465,0.8506344
PC94,0.0020283998,0.8526628
PC95,0.0020152982,0.8546781
PC96,0.0019662075,0.8566443
PC97,0.0019394695,0.85858375
PC98,0.0019213267,0.8605051
PC99,0.0018734967,0.8623786
PC100,0.0018631297,0.8642417
PC101,0.0018391489,0.8660809
PC102,0.0018141081,0.867895
PC103,0.0017909777,0.869686
PC104,0.0017835755,0.87146956
PC105,0.0017433472,0.87321293
PC106,0.0017383071,0.87495124
PC107,0.0017083512,0.8766596
PC108,0.001680044,0.8783396
PC109,0.0016665971,0.8800062
PC110,0.0016481588,0.8816544
PC111,0.0016299838,0.8832844
PC112,0.0016195746,0.88490397
PC113,0.0015977432,0.8865017
PC114,0.0015853181,0.88808703
PC115,0.0015807077,0.88966775
PC116,0.0015508586,0.8912186
PC117,0.0015332267,0.8927518
PC118,0.0015106932,0.8942625
PC119,0.0015082577,0.8957707
PC120,0.0014753274,0.89724606
PC121,0.001466594,0.89871264
PC122,0.0014414542,0.9001541
