date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2022-07-24,Phase_2_pleine,2,40.769,23.30884602360993,67.333,6.407,3.115241553749848,2022,7,205
2010-07-20,Phase_2_pleine,2,45.761,21.15693169398024,67.111,4.491,2.73971437468867,2010,7,201
2021-08-18,Phase_2_pleine,2,79.541,35.429289521842165,64.444,6.492,3.480793792414835,2021,8,230
2003-07-07,Phase_2_pleine,1,56.312,26.69687670017111,64.444,6.459,3.481501113250578,2003,7,188
2011-08-17,Phase_2_pleine,2,68.824,35.42404850801394,62.889,7.781,3.8722040571898098,2011,8,229
2019-08-29,Phase_2_pleine,1,88.361,36.602063861181726,62.444,8.633,3.848533583612484,2019,8,241
2018-07-19,Phase_2_pleine,1,80.501,27.892409611097623,60.667,7.305,3.4723358578215886,2018,7,200
2009-07-05,Phase_2_pleine,1,38.354,18.274820325992724,60.0,4.914,2.745019116614969,2009,7,186
1999-07-07,Phase_2_pleine,2,41.459,22.66975752826736,56.222,9.502,4.066844652226293,1999,7,188
2002-07-07,Phase_2_pleine,1,50.702,26.07800321559982,55.778,8.778,4.042708327056482,2002,7,188
2023-08-15,Phase_2_pleine,4,63.57,28.37052596099977,54.667,5.897,3.213517089394597,2023,8,227
2008-07-20,Phase_2_pleine,2,51.539,25.488003758246027,54.0,5.251,3.2699892396129746,2008,7,202
2002-08-10,Phase_2_pleine,1,52.213,27.53853188115037,53.556,5.287,2.948066411779701,2002,8,222
2023-07-03,Phase_2_pleine,4,33.705,16.12308751877318,52.222,6.806,3.1604319062625703,2023,7,184
1995-07-20,Phase_2_pleine,1,75.299,31.65186410936816,51.556,11.71,5.05442034583534,1995,7,201
2005-07-15,Phase_2_pleine,1,48.145,22.436186849806045,50.0,5.997,2.935702872009735,2005,7,196
2021-08-30,Phase_2_pleine,2,57.592,28.59991760082073,49.333,3.7,2.497759666200448,2021,8,242
1985-07-27,Phase_2_pleine,1,62.448,30.23897319565171,48.222,6.854,3.519560091498726,1985,7,208
2017-07-29,Phase_2_pleine,1,53.288,25.995099233349723,47.333,5.277,2.754236850585648,2017,7,210
1988-07-28,Phase_2_pleine,2,66.214,32.6859626590081,47.111,7.92,3.815540052632122,1988,7,210
2021-08-08,Phase_2_pleine,2,78.252,39.388715896966325,47.111,6.457,3.646506490029644,2021,8,220
1996-07-18,Phase_2_pleine,2,35.75,20.12562059785761,46.444,4.92,3.031213932858643,1996,7,200
1986-07-10,Phase_2_pleine,0,55.065,23.66715475902465,46.0,9.263,4.016058263174058,1986,7,191
2012-08-18,Phase_2_pleine,3,53.567,31.1235614951682,46.0,7.583,3.853807932465524,2012,8,231
1999-08-29,Phase_2_pleine,2,60.727,33.17038180527178,45.778,5.934,3.4249647086988126,1999,8,241
2016-08-20,Phase_2_pleine,5,76.851,38.67137567938828,45.556,4.933,3.0438316810467345,2016,8,233
1988-08-27,Phase_2_pleine,2,72.378,38.724197616764144,45.333,8.352,4.070889005845224,1988,8,240
2002-08-13,Phase_2_pleine,1,48.383,26.695927792904424,45.333,5.95,3.236878397784508,2002,8,225
2020-07-30,Phase_2_pleine,1,68.712,32.96186077888376,45.111,8.304,3.791036226522428,2020,7,212
2004-07-31,Phase_2_pleine,1,101.675,38.61426968361015,44.667,7.111,3.432906952910079,2004,7,213
1999-08-25,Phase_2_pleine,2,61.695,29.77579867899121,44.667,6.169,3.045054875389781,1999,8,237
1987-07-20,Phase_2_pleine,4,40.764,21.69596886275401,44.222,5.489,3.196255803785509,1987,7,201
2023-07-11,Phase_2_pleine,4,37.432,17.735046647900912,44.222,4.882,2.7354824743260044,2023,7,192
2010-08-18,Phase_2_pleine,2,77.826,32.50696206815315,44.0,7.297,3.527365394916011,2010,8,230
2007-08-02,Phase_2_pleine,1,62.262,35.31714670998709,43.556,10.471,5.134112160371027,2007,8,214
1994-08-12,Phase_2_pleine,0,56.212,27.45213810930547,43.111,6.237,3.6602414329590056,1994,8,224
2010-07-13,Phase_2_pleine,2,48.96,26.01188530205445,42.889,8.53,4.7878573693036905,2010,7,194
2016-07-21,Phase_2_pleine,5,48.74,24.386855393961856,42.222,6.465,3.3145938147886325,2016,7,203
2013-07-21,Phase_2_pleine,2,37.866,20.245505580195672,42.0,6.42,3.2517114631806883,2013,7,202
1985-07-24,Phase_2_pleine,1,39.414,21.7254824255877,41.556,5.229,2.919236177259979,1985,7,205
1999-07-01,Phase_2_pleine,2,39.966,17.904085770897243,40.889,8.078,3.580615437915484,1999,7,182
1999-08-14,Phase_2_pleine,2,54.041,26.5041628246722,40.889,6.167,3.021868821432201,1999,8,226
1994-07-21,Phase_2_pleine,0,45.829,25.40343848427573,40.444,5.663,3.079879346647933,1994,7,202
2005-07-06,Phase_2_pleine,1,46.096,26.115016989655548,40.444,4.672,2.930621587506548,2005,7,187
1989-08-24,Phase_2_pleine,2,84.866,37.35773302184211,40.0,7.517,4.252952542396569,1989,8,236
2020-07-17,Phase_2_pleine,1,76.348,30.630419980395924,39.111,7.151,3.475414515233942,2020,7,199
1999-07-12,Phase_2_pleine,2,47.242,21.856001597398905,38.0,10.303,4.2503727572411965,1999,7,193
