date,phase,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,cluster
2022-07-24,Phase_2_pleine,-401.22144,-21.87275,-202.39651,-97.216354,104.43391,-89.73596,-203.06398,-305.24838,110.00067,-45.084404,104.09421,108.973175,-37.047832,-40.513596,40.708103,26.541107,-76.15711,49.271698,87.06861,-90.81733,45.5389,-60.01168,78.7254,10.519132,122.4312,4.4013443,-14.137744,43.231323,-62.189808,-54.217983,-13.05657,1.4027398,-33.76699,56.10074,-29.01118,-99.92928,85.04915,59.7329,43.314465,-9.554304,6.5320787,41.71839,-21.626238,-22.854502,-17.583815,-3.726045,32.563087,-62.7323,20.509005,-27.387733,-15.18495,-8.377451,18.015928,33.355534,-33.389683,-2.6153378,-10.575173,-38.266006,2.9439769,33.12148,29.106348,-9.01668,-30.40697,6.4853435,-14.551791,-45.02243,-0.26694575,1.8861895,8.56843,18.565748,16.842499,7.0784125,-19.171202,2.7602959,-41.341347,-15.509439,-31.011574,-12.577992,20.401371,-8.911263,-19.559471,29.300901,15.308586,18.470285,-10.675512,-12.535394,15.380152,41.836555,22.367558,25.396372,-29.563074,-10.692801,-32.38626,-4.4010015,-34.067326,10.977614,-35.23275,4.992373,16.33483,-32.797386,-40.72683,18.047373,-18.622978,-19.230774,13.260983,9.844611,-16.701344,-14.917952,5.6076517,0.94345677,14.870323,15.048682,-9.688828,14.47159,15.337582,-2.30824,7.236281,-7.4916797,0.24799408,-11.347091,12.365512,8.384112,9.76201,-20.04787,0.97853154,-14.545484,19.017124,-17.34704,-3.5354457,-1.4678481,-20.277718,0.25395256,1.6983974,-7.7554593,20.387526,-4.7500453,21.759237,-12.898705,-8.90299,8.134183,-1.9848475,-3.9430604,21.516459,-0.7261247,0.8441967,-1.3428787,3.958828,8.797984,4.216783,-2.33784,1.844329,-2.5077858,-3.0965312,6.848102,10.850253,12.843164,7.7803626,-4.9430547,-1.6290488,-9.147577,14.2086525,-3.1773105,-6.637033,-9.711106,-1.0197276,-2.2872872,7.063126,-1.159812,-0.97340167,-7.4271026,-3.7348042,-1.0313648,1.8646259,-6.469646,-10.916117,8.10459,-9.37931,-2.1937163,-5.4504967,-0.6185488,-7.371575,3.3601434,-1.0233505,0.806822,-1.826305,-6.139816,-3.7161438,-11.869961,2
2010-07-20,Phase_2_pleine,-258.69452,-85.269325,95.52984,93.78987,295.2456,-68.56827,190.38083,199.57521,98.36796,-86.56351,-53.910854,65.196815,-42.385067,-7.114472,-37.012154,-40.656105,42.152637,42.690918,-63.396267,43.156284,-35.871494,-93.45659,51.291203,-32.393894,-18.543201,54.52831,-16.080637,36.24263,-80.6647,-110.60936,10.210914,48.78408,-50.519615,-19.340315,-15.401488,-34.326904,7.5133934,-11.180234,5.0996494,2.800613,10.188466,27.279076,-35.44322,-31.502172,29.607943,8.783505,4.355889,5.59888,-31.93564,31.770996,-1.2909803,25.373245,-1.1590043,-29.132051,12.788373,31.995796,38.083076,-12.588235,20.686462,23.975063,-30.731396,22.46651,10.181497,-18.18719,1.2294495,4.96001,2.9736362,-2.469981,-17.116297,29.921406,43.961304,32.80993,-4.647936,1.2546161,-22.626183,-2.2800252,-18.922441,22.950586,-12.429257,35.066395,23.34095,-5.8083973,23.50562,20.665699,-5.9058723,-24.383537,-35.236576,2.9497359,33.29201,11.083738,-19.32886,13.103729,5.306788,-12.083553,-7.06696,-36.888676,-25.885117,4.316299,-3.866847,-3.193903,-2.9378412,-16.920517,-9.167155,38.440662,-65.91139,-39.125614,-17.83821,-2.236302,-12.393847,-70.71087,-24.888512,21.529545,4.526744,24.108938,-31.802673,-16.650637,41.351685,-13.283658,-16.159338,8.327996,-14.973404,-18.401073,5.255806,88.57246,37.488094,5.661764,-66.06728,4.3736396,-54.65182,38.242775,-30.335619,16.079002,2.1225622,52.635155,12.95496,9.920344,-6.8947616,13.145007,-25.51996,17.02257,-11.773786,14.091224,43.050747,2.6206539,5.4434795,14.006705,-52.63433,6.010987,-23.258968,-2.1783292,-0.78762823,-45.093098,-34.954567,23.77238,12.959577,-56.085,-3.351306,-48.12983,29.853762,-5.361163,-24.421762,-9.877833,32.40813,-15.30382,-6.422486,40.579834,33.118385,13.2003565,-6.5683703,-30.656239,29.54225,-21.972376,30.086391,-3.165193,18.647846,-2.2822266,-36.637608,-11.160887,14.363652,-4.7665644,50.831005,27.176914,2.3853686,58.552357,8.228893,4.3003583,18.254293,-44.911945,2
2021-08-18,Phase_2_pleine,-143.4404,126.508675,-8.177436,-90.07492,16.765253,-28.840992,-92.79301,40.816296,-45.042053,1.1395735,-27.185076,-2.8920443,71.695786,-25.232279,82.34928,-20.082579,-66.14011,-97.871445,-189.06245,132.06653,-8.815705,88.02154,-66.171906,94.97445,39.422367,27.826931,43.25304,-27.335823,-59.71754,32.241955,-71.4431,120.89073,-73.46556,-126.65525,-2.6900814,33.627487,-9.418852,29.88241,-5.946749,27.392393,27.824894,15.026528,-84.97626,-63.43694,14.847915,49.092278,51.139915,13.736198,21.248613,16.57407,-6.77543,-21.845839,-38.859924,-68.34793,-34.345097,-3.744731,17.61419,7.7151866,-1.3488859,-14.888606,46.173737,-34.148544,8.888354,-23.275377,-46.301403,-35.183556,-9.562884,28.488312,47.63743,54.697495,10.131119,-51.067234,44.63521,27.891996,-4.376123,-19.267405,28.070803,-27.228037,-5.508256,-17.345678,61.036816,-37.510746,11.742768,-12.693183,8.977613,32.087883,0.79655635,8.921959,16.146828,-29.367514,2.6104524,16.905758,-9.613076,11.949063,34.771656,21.896664,-30.633806,27.829994,5.36638,13.494358,-12.264912,6.9186172,3.3396578,9.905601,32.45765,30.0505,2.9242897,-4.0488367,-3.385308,-10.209731,6.7234354,-32.966553,-13.006374,-5.21009,8.389199,-3.7025743,-14.154389,14.220377,-6.487735,5.424736,-2.0644596,-7.6548147,-9.728057,-9.3671055,9.710432,-16.632826,-23.124622,-6.513993,3.4630527,-10.08361,-10.939773,0.7805877,-10.578333,0.48404828,5.8537436,-9.222091,-1.5167594,3.1243365,8.411235,-0.38894615,11.46368,2.94736,4.875109,-5.9796276,-3.5712316,10.447462,-6.142728,-2.7091677,10.908783,18.633173,-6.461549,-20.525526,-7.3335886,0.79003316,6.715011,-6.454686,-20.488018,8.180428,1.5050067,7.030916,-0.9828134,-11.657173,-24.797386,-3.4804566,5.75181,-0.5660872,-25.079906,-9.212801,-4.495127,-1.129633,-7.9701376,4.058003,4.7636504,13.580473,-8.854435,9.79833,-18.48385,25.70103,-18.340382,1.4700614,7.141076,-2.2659953,-20.385433,14.63227,10.675681,-2.6808991,3.7304487,8.273008,2
2003-07-07,Phase_2_pleine,38.095963,142.56868,81.921715,45.146996,-46.90777,119.71009,20.340372,82.38611,-77.79451,38.69434,184.42192,205.73135,-11.313186,-21.391987,172.45938,-67.65659,-15.76053,36.49215,15.078636,-4.3866906,74.99558,15.021752,-119.11031,65.865456,71.6681,37.866257,26.087873,16.775461,-83.7593,60.25295,155.6382,54.828144,-40.559204,13.328718,-10.517614,36.616512,33.557766,10.778907,24.405794,48.471462,-38.29842,-63.208244,9.995777,148.12137,-18.71255,42.889076,-79.7502,62.274242,56.97338,-30.96261,6.9258657,42.44984,134.6655,55.67058,46.94517,2.2113478,-23.753176,25.144844,-88.556564,2.077028,-14.922523,21.28895,9.349054,-27.476175,28.215916,-37.789547,28.615545,-36.368973,23.784834,-41.915867,51.379196,-74.4287,55.42742,11.884985,-22.247189,-18.675434,-19.78693,44.280445,-32.410587,29.20866,46.377045,30.28383,-32.688477,-0.97802365,-3.6121655,21.871088,-2.6242945,-30.409246,30.865782,39.138813,-68.539894,-2.9016511,34.9906,11.887275,-15.686489,-3.7828717,-2.8142104,5.3792896,-9.021607,-30.220556,-10.268758,-55.917618,37.674763,-5.0128775,-4.8509135,15.360269,25.532675,-1.3384203,-6.925749,1.0892602,7.5109973,-27.74722,28.244524,11.925367,16.62355,-1.2711844,-2.814526,-7.567057,-6.0979404,14.348894,-22.962456,-19.036577,-5.0411735,10.625072,4.6929755,9.142876,-8.971799,-18.689571,-16.076567,5.693428,7.0910134,1.7563151,-4.774979,0.7387919,3.9041867,3.9845097,2.9113863,-7.7175803,0.9942653,23.333206,-6.5015507,-8.845032,4.349711,-2.4351869,-7.0463667,-7.2245836,5.8448763,21.687752,1.3959366,-20.34606,6.2566223,7.8987393,-12.762478,14.98702,9.601557,4.613529,9.650811,14.774378,-10.977775,3.9135044,17.653341,-5.2621784,-14.521004,-0.20388104,-3.4651508,4.2153344,8.358709,-4.7609243,-11.381394,6.275703,-11.9604845,2.1349185,-6.844063,-16.588701,3.063747,11.644609,-6.5596557,-2.984532,-6.532411,5.5410233,-4.03977,0.46222794,4.0039897,-2.5409293,9.553387,4.540997,-10.832098,-4.194335,1
2011-08-17,Phase_2_pleine,-251.01105,-259.0289,-66.47516,58.825005,140.63866,-89.97779,9.543214,4.9900217,1.3207401,-21.302914,-61.502357,-36.614677,-114.72037,148.99051,0.09330911,-120.466896,-90.50441,-175.06403,105.00898,0.6143489,20.70821,100.12436,-93.511086,5.1045,2.3976915,-110.89194,-101.963135,-55.976627,14.826377,148.82841,55.931763,-9.325998,47.419693,-1.7539244,-59.02908,44.145386,70.13014,-34.34483,-118.39075,-17.519566,-52.17411,-37.95229,-51.52545,44.36164,4.7768464,53.228725,-31.128208,-37.19253,-74.34604,-32.785824,25.924767,-10.710587,-25.118757,-50.37574,63.852406,-39.260784,80.461784,-63.795383,-19.075796,56.52978,18.43987,-4.7308307,-3.914944,1.3674427,30.342684,-32.23344,-24.348791,-48.34611,-11.501728,-1.3405164,25.148918,-1.1214331,-56.102238,32.995907,-18.720886,-37.22421,68.266106,-8.16507,-3.5413103,-3.8369071,5.0212307,-15.036564,-11.393227,-6.0013433,3.5039232,11.747683,-0.82301855,-12.005108,-16.671217,1.1037079,10.244506,-11.913859,-5.072883,4.8654094,-7.952503,15.350846,15.923055,-6.9045825,-21.185598,7.442911,-8.83973,-3.1743705,-9.811467,-17.939152,-28.978676,13.777755,-15.178145,-29.224312,12.45415,4.4607987,12.086429,20.255793,-27.72829,-22.52269,-15.579116,6.364109,-14.206614,-11.781842,-6.0283904,-10.370187,1.0483518,-9.881522,9.640216,-9.964952,-2.7814887,-31.18107,20.865374,9.722099,-5.4671164,-17.035507,-11.76066,-1.9513184,3.3527243,7.537936,2.2097743,28.52188,-3.90277,4.192574,-24.77598,-17.975267,18.932743,18.90743,13.881554,-12.243035,-9.142997,-16.382528,-2.9453938,18.871317,-16.072063,-16.896948,37.599155,7.9196854,-24.211658,3.5887444,-22.171125,10.1989155,-2.1738126,2.9346979,-11.714864,40.236156,7.020246,-2.071378,-24.576677,43.786823,28.487654,18.392435,8.542779,-16.534721,-28.699532,15.686159,7.6028137,-21.001013,38.83989,14.089382,5.8424788,14.536785,-23.877651,-7.4227624,34.58504,12.478647,-13.979643,9.055003,56.407684,-13.244208,14.861912,17.46861,-0.29335892,4.8488464,2
2019-08-29,Phase_2_pleine,198.30423,112.11783,-167.70401,-46.734417,10.312059,107.75869,135.28638,17.465492,-21.332706,244.87437,80.010605,-74.32231,29.689528,-23.183016,-33.75975,-138.57309,-69.72717,-50.984756,58.79652,-54.458588,-27.509928,93.65919,0.90594584,-123.12634,-62.35329,214.9385,-1.179645,15.023166,67.62858,-114.916306,22.174213,-16.530487,29.9487,-139.74576,-35.859657,-37.64172,111.06075,30.933702,-56.532326,23.503265,-100.019104,24.928492,3.8645935,-31.046185,-7.2308226,37.386234,27.053867,-17.036245,-59.863186,-22.462906,-17.112371,-6.374301,32.978844,25.666492,16.215834,-26.449379,35.703617,5.314042,10.3413925,-13.7497015,-13.177995,-20.834415,-9.144514,-3.302958,4.2289014,25.90446,-2.888187,-2.197228,-1.7893032,-23.790531,-3.3123872,30.796577,-13.309492,-0.7535303,3.2198768,7.6633687,-29.130812,-10.661337,-29.766748,3.026093,-0.17881864,-19.44757,-13.011151,-6.7308826,38.861115,-10.220548,-11.179429,-6.8885226,3.8953936,10.032538,-1.7824516,3.4305377,25.508846,17.014774,9.538063,8.566986,-0.22757453,10.935155,-5.1822,-22.048418,14.515407,19.058811,10.9307375,-3.729503,-0.40427414,-4.313861,-6.3437223,33.41478,-1.9498912,30.590527,-4.476128,-26.84141,-4.600567,-5.5536103,2.181571,-18.595003,35.10388,-17.366714,24.290237,1.8750975,-33.802376,21.782999,19.108578,26.899162,-16.767645,-5.919283,32.419434,-28.183174,37.256752,-11.304968,-18.552376,41.230503,13.443982,5.0926065,21.377176,-42.0057,12.951962,-5.5800734,4.622768,31.028784,15.717809,-21.677197,-26.81142,13.878925,-1.4134368,3.7242937,-15.059108,-16.676083,43.588436,17.432034,-25.187061,4.015563,-36.726875,-3.5710495,-14.060099,11.366137,9.0519905,-18.058287,3.1723647,13.186988,7.9057226,-36.790184,-2.2890823,13.532726,28.61387,-14.210823,14.032888,25.349104,-0.9745332,1.9568802,7.7604523,21.481924,1.9732914,3.4470623,-24.9614,12.682151,13.3460655,-8.542542,-1.3814349,-5.6088343,5.804782,11.938775,-9.124756,-5.799086,4.010777,8.259497,-6.9881287,6.512424,1
2018-07-19,Phase_2_pleine,-13.362247,-40.366165,-233.1168,-50.962513,-108.45411,-27.313631,-35.89396,93.6682,42.644638,-139.17632,50.960003,7.0814266,-122.02419,-114.202705,158.06584,61.732307,-76.51464,-28.245892,-11.487147,-9.339048,-103.06916,97.94515,73.63663,-39.79271,-63.04851,-24.824274,83.729996,168.05803,103.65985,32.70437,-48.6228,-93.91068,14.405773,54.989185,46.06595,67.79862,-28.681894,-194.11798,51.454365,80.68883,-112.79542,-30.774664,27.029528,30.283947,54.34878,-51.976463,47.342094,27.291067,-44.94029,-7.758555,-5.8332267,53.931416,-61.50206,7.464795,-16.39559,23.59773,10.086621,12.381335,10.95597,-20.069662,0.7322961,24.069313,5.938592,24.798136,-1.4817978,-8.63441,-2.644534,-9.195743,-3.8495731,-4.4405556,37.34527,-11.5164175,25.777859,11.937918,-27.105154,-3.4598064,12.839898,-34.58652,26.82166,-10.729217,2.474586,8.760439,6.662394,-4.9016213,-4.866353,26.663506,6.816393,10.009789,2.2643542,2.1406128,10.021803,-33.753193,-12.360042,-49.13555,4.083119,5.0575013,-9.643381,-14.057735,-22.433645,26.609585,26.225658,8.191486,14.2536955,-3.3903613,-19.794777,19.137028,-35.380672,2.5007665,24.333527,-11.0040865,10.771716,-10.254117,26.670362,16.444073,14.73511,-6.6577544,71.785446,-3.8623185,-57.175846,9.8336,-6.3827744,41.895725,-34.328148,-0.2044693,22.856558,-28.735952,35.355698,-48.971066,60.365673,-16.414686,-4.655113,-36.159916,-25.755917,23.468075,-13.934578,-6.6805005,-47.151104,6.856789,-7.662003,4.2040343,13.676308,-24.025166,0.7885087,10.347526,4.395267,-18.169544,14.16991,39.917183,-0.40629023,-2.98775,18.041918,-4.51288,-28.58643,-12.536905,13.347757,-9.058654,1.0048472,-18.249584,14.465292,-0.24464619,-36.24476,-1.8330545,-9.624499,-7.9392953,22.553244,-0.750568,0.67130566,-9.808987,-18.550554,-1.7577794,5.399677,-27.483175,2.0189052,-2.6176553,-6.4510255,1.3857857,-5.959417,-9.245094,-2.5808554,14.604311,-13.760913,-11.708455,-19.577387,3.5777974,12.741381,1.0129514,-3.5242164,8.641565,1
2009-07-05,Phase_2_pleine,144.78674,41.6367,66.916214,-77.95822,79.693886,84.01369,-32.89615,25.49857,-68.9002,-203.18895,69.51845,10.79802,83.741455,184.3781,-93.667336,237.71455,64.77572,-130.45622,-9.622782,54.11318,-79.41177,-26.010433,-93.58623,-55.619102,3.4583638,58.29195,-49.984272,106.56649,-10.766313,-88.38415,-32.84829,48.624462,81.0144,-42.294598,-0.211869,-12.474476,72.45395,23.790342,29.790276,6.832666,-20.686125,17.253126,30.89133,127.36253,30.150747,-119.05861,7.6849856,-51.643246,-47.127686,-78.288246,4.9992304,-10.911325,46.900604,20.066944,-4.6403446,22.734772,47.00558,50.195072,-44.04141,54.244728,-1.9570075,49.45964,-118.750015,-39.804016,16.10713,73.44991,44.18024,127.88282,38.835346,38.088062,22.633667,24.124666,-46.119217,78.595474,-18.087532,-24.549511,33.947624,0.076342605,-1.7389594,37.75515,-10.843465,-13.157378,-14.397111,14.850362,33.26966,42.495262,-39.334957,4.881685,-59.147995,10.455173,17.750107,58.21083,-37.719204,17.4506,29.568935,6.3992786,-4.7567606,-17.574265,-23.765907,24.094553,-48.114365,-6.6333385,-26.322897,-16.604406,-1.2495224,15.882854,42.114178,-3.7523463,31.124554,-3.018006,-12.534065,32.16133,-15.637135,-50.820942,43.50313,-37.46477,7.025766,-24.96366,-7.7581596,2.711981,-54.76916,-31.20106,-15.940391,-3.8489544,-2.2432418,-7.650441,13.4229555,22.865232,-20.541342,-7.2036314,0.8358656,-21.481138,-11.648641,-12.107969,3.405762,17.207771,5.503389,-17.993036,-16.686096,20.888914,-13.245474,-22.746046,-24.791964,-11.928541,7.2585497,-30.139223,-7.4579654,4.9367585,-18.67202,17.476053,-21.245337,-1.5815454,24.594807,12.609492,2.450004,19.305613,18.778444,4.524383,9.934005,-1.2624747,13.736191,-15.939279,-13.81938,-27.820593,5.1869307,4.3954015,-12.525895,17.450546,-6.2216153,3.185154,-11.006933,-8.978836,-1.0998372,1.9384577,-15.019602,-10.9915,-10.914647,-5.905864,-13.600719,-15.61744,-12.243706,-12.470172,-7.0095744,-2.1191092,-6.778701,-6.658801,8.338608,0.21818377,1
1999-07-07,Phase_2_pleine,-361.91974,-3.065993,78.00276,-49.87075,-162.46,-103.67543,111.734695,142.27905,-104.78793,-5.4394035,134.27748,-108.76796,-2.6569567,114.05942,110.09104,144.05824,-6.2677255,-15.277192,8.190363,-92.265114,49.6954,-39.82868,-40.565365,97.95288,-48.40001,68.16208,10.113659,-37.949615,26.900717,-62.124184,22.105453,-11.896332,31.372034,-2.0009685,90.24085,47.85206,60.077198,128.15448,72.53129,-43.100307,74.55432,-119.58542,63.08358,-99.81144,54.081654,-44.92789,31.496262,29.572796,-58.700523,-37.21036,4.0243454,-33.434395,-29.255903,-31.978504,-7.5820456,-37.224438,-15.143548,-39.86456,11.69693,-9.757466,38.633915,42.16755,-6.338861,9.016557,-8.743685,33.17205,-43.52516,-15.26641,-37.388645,-48.552193,54.04131,-22.818573,-20.054728,-14.980007,-2.7869513,-8.528755,7.324058,-49.57808,-0.8484583,10.878888,16.381393,-0.58506334,-39.838387,10.662708,15.675461,-4.215723,17.919659,17.28003,17.270084,7.836833,33.9021,-7.0367756,-35.39902,-25.017496,34.095074,-13.573841,29.087654,-22.138266,14.258685,-0.22076003,-36.22073,-38.154602,-0.86099595,39.175156,18.854586,-12.714868,25.286425,-19.369474,36.56671,14.329256,38.744534,-11.320566,-8.132487,30.495874,3.8403242,7.164745,-2.0276933,-20.940527,3.852474,-19.840816,8.989551,-17.727943,0.79381335,-0.24418479,13.257795,12.815926,29.14615,-21.415653,-36.157875,11.622597,-4.6261206,-18.364033,31.015072,3.1032586,-22.208767,-32.828438,-14.112248,36.447567,15.373998,7.3182864,26.382519,10.210802,22.825697,15.658558,-11.897262,8.310385,-13.937684,-9.369757,21.02779,-18.573187,-3.1524625,-24.338034,11.680865,-6.7735524,-16.759611,-22.847189,37.487617,-13.464845,9.915279,12.372065,-16.070698,48.875565,-7.4130783,-17.499617,-19.416725,-0.14744152,36.55284,-13.172857,0.80612683,4.4073725,-7.4589705,11.305376,-8.448401,3.1609507,-52.283623,-7.149494,-68.929634,37.360374,-17.69288,1.7197931,-17.951305,21.783743,58.27019,13.50617,-37.99593,83.2942,-33.834667,-4.074578,2
2002-07-07,Phase_2_pleine,19.731604,-108.01022,-166.28127,205.15474,44.070892,1.3180556,-19.315508,-41.255722,44.823776,-145.94547,241.12633,-39.05857,-23.125381,-29.689075,62.174866,7.3747616,-119.62442,76.81486,-206.94589,36.91412,117.576706,-0.4219616,2.8348994,-78.2884,-45.86344,-32.562263,31.939444,-53.015995,119.10164,-35.93759,27.207869,20.105673,83.12637,36.59785,-32.553185,22.279322,-73.10073,122.673996,-101.254875,-62.7814,45.86576,-2.7653964,106.75126,-20.458105,-53.33558,12.587263,-20.27986,-51.978756,-25.591465,-89.127785,26.127125,87.75223,-37.297337,-3.0407097,-70.71151,-14.937564,71.61388,0.852419,38.775215,14.825963,24.564013,-3.359313,5.1453366,-13.34699,46.75671,15.76426,-59.37536,18.21203,22.001429,39.978832,-19.493446,28.70128,106.75375,3.817392,-15.501187,59.758804,33.86506,50.887047,-2.1507487,-24.065464,42.676144,-45.741352,65.60935,16.456053,-5.5891304,-15.850878,-1.6310265,-9.709202,-45.025444,8.511529,-50.412407,7.9556127,29.305819,-12.549224,-37.804615,-117.310005,76.63162,-8.95225,-26.798374,-12.497424,-25.89541,2.7943168,4.133685,-5.63633,-2.3166337,-8.281686,20.347086,27.57178,38.49184,-18.320847,-51.804337,-32.2409,-18.269323,15.015974,48.661674,43.83085,15.5820675,-1.776907,22.856459,-22.107635,58.796978,14.075078,-53.623512,-18.82129,3.4555347,-41.444225,11.241918,44.163723,40.077824,3.0353782,-21.714325,23.946535,14.105282,16.845482,-7.995312,-10.730242,23.749361,14.663974,8.101373,40.217827,-1.5682302,-36.284115,26.623089,25.847479,-25.00638,-23.84433,-27.773521,-2.6693323,-1.178952,15.496459,-26.187695,-33.915237,-8.115219,11.98566,8.266309,22.912529,5.610219,11.755453,-4.278003,7.9881554,23.058746,1.351709,13.315374,16.527714,-41.390663,14.86012,-7.74131,-8.378143,-8.475856,1.2331645,15.280947,18.611053,19.811953,10.808234,24.149797,10.336662,7.529414,20.797523,24.104036,-3.114563,22.828693,-44.2081,28.45046,30.35627,3.3111546,23.562693,-7.315385,-27.126085,1
