composante,variance_expliquee,variance_cumulee
PC1,0.08084292,0.08084292
PC2,0.043806266,0.12464918
PC3,0.03644939,0.16109857
PC4,0.0286367,0.18973526
PC5,0.02649874,0.216234
PC6,0.024443358,0.24067736
PC7,0.021299785,0.26197714
PC8,0.020487083,0.2824642
PC9,0.01917312,0.30163732
PC10,0.017488219,0.31912553
PC11,0.016792113,0.33591765
PC12,0.015567698,0.35148534
PC13,0.014442315,0.36592767
PC14,0.014309161,0.38023683
PC15,0.013765046,0.39400187
PC16,0.013032177,0.40703404
PC17,0.012876353,0.4199104
PC18,0.012497361,0.43240777
PC19,0.01108755,0.4434953
PC20,0.010724982,0.4542203
PC21,0.0103386715,0.46455896
PC22,0.010191661,0.4747506
PC23,0.009510466,0.48426107
PC24,0.009418504,0.49367958
PC25,0.008934135,0.5026137
PC26,0.008716656,0.51133037
PC27,0.008387797,0.51971817
PC28,0.008250462,0.52796865
PC29,0.007977133,0.5359458
PC30,0.007832782,0.54377854
PC31,0.007292398,0.5510709
PC32,0.0070576346,0.55812854
PC33,0.006953963,0.5650825
PC34,0.006733303,0.5718158
PC35,0.0066747447,0.57849056
PC36,0.0065296576,0.5850202
PC37,0.0063261897,0.5913464
PC38,0.0059928657,0.5973393
PC39,0.005913357,0.60325265
PC40,0.0056224875,0.60887516
PC41,0.005544766,0.61441994
PC42,0.0052677114,0.6196877
PC43,0.005139016,0.62482667
PC44,0.005090301,0.62991697
PC45,0.004821791,0.63473874
PC46,0.004718077,0.6394568
PC47,0.004557613,0.6440144
PC48,0.004517029,0.64853144
PC49,0.0044807014,0.65301216
PC50,0.0043654665,0.6573776
PC51,0.0042242412,0.66160184
PC52,0.0041424,0.66574425
PC53,0.00409417,0.6698384
PC54,0.0040045804,0.673843
PC55,0.003920837,0.6777639
PC56,0.0037518088,0.6815157
PC57,0.0036938372,0.6852095
PC58,0.0036260362,0.68883556
PC59,0.0035820042,0.69241756
PC60,0.0035343566,0.69595194
PC61,0.0034750146,0.69942695
PC62,0.0034380383,0.702865
PC63,0.0033778336,0.70624286
PC64,0.003305319,0.7095482
PC65,0.0032594034,0.7128076
PC66,0.0031130528,0.7159206
PC67,0.0029849436,0.71890557
PC68,0.0029615748,0.72186714
PC69,0.0029296903,0.72479683
PC70,0.002921114,0.72771794
PC71,0.0028956532,0.7306136
PC72,0.0028146857,0.7334283
PC73,0.0027330106,0.7361613
PC74,0.002723712,0.738885
PC75,0.0026586184,0.7415436
PC76,0.0026428616,0.74418646
PC77,0.002579005,0.7467655
PC78,0.002551369,0.7493169
PC79,0.0024581903,0.7517751
PC80,0.0024085671,0.75418365
PC81,0.0023858806,0.7565695
PC82,0.0023518212,0.7589213
PC83,0.0023029665,0.76122427
PC84,0.0022867606,0.763511
PC85,0.0022614372,0.76577246
PC86,0.0022476562,0.7680201
PC87,0.0021875172,0.7702076
PC88,0.002170781,0.7723784
PC89,0.0021125996,0.774491
PC90,0.0020711327,0.77656215
PC91,0.0020401028,0.77860224
PC92,0.002008356,0.7806106
PC93,0.0019696122,0.78258026
PC94,0.0019486258,0.7845289
PC95,0.0019399362,0.78646886
PC96,0.0019017254,0.7883706
PC97,0.0019005872,0.7902712
PC98,0.0018728668,0.79214406
PC99,0.0018641092,0.7940082
PC100,0.001822155,0.79583037
PC101,0.0017929603,0.79762334
PC102,0.0017806455,0.79940397
PC103,0.0017644509,0.80116844
PC104,0.0017530964,0.80292153
PC105,0.0017019493,0.8046235
PC106,0.0016822696,0.80630577
PC107,0.0016664627,0.80797225
PC108,0.001638875,0.80961114
PC109,0.0016210534,0.8112322
PC110,0.0015983232,0.8128305
PC111,0.0015778764,0.81440836
PC112,0.0015709619,0.8159793
PC113,0.001555154,0.81753445
PC114,0.0015363335,0.81907076
PC115,0.001523289,0.8205941
PC116,0.001504549,0.8220986
PC117,0.0014845199,0.8235831
PC118,0.0014735716,0.8250567
PC119,0.0014556211,0.8265123
PC120,0.001449707,0.827962
PC121,0.0014292712,0.82939124
PC122,0.0014029301,0.83079416
PC123,0.0013962272,0.8321904
PC124,0.0013669436,0.83355737
PC125,0.0013557863,0.83491313
PC126,0.0013422319,0.8362554
PC127,0.0013263451,0.8375817
PC128,0.001315196,0.8388969
PC129,0.0013054443,0.84020233
PC130,0.0012817514,0.84148407
PC131,0.0012665684,0.8427506
PC132,0.0012634555,0.84401405
PC133,0.0012467144,0.84526074
PC134,0.0012394004,0.84650016
PC135,0.0012266663,0.8477268
PC136,0.0012233861,0.8489502
PC137,0.0012074523,0.8501577
PC138,0.0011892992,0.85134697
PC139,0.0011797936,0.8525268
PC140,0.0011679293,0.85369474
PC141,0.0011641209,0.8548589
PC142,0.0011416854,0.85600054
PC143,0.0011382615,0.8571388
PC144,0.0011294694,0.85826826
PC145,0.0011153269,0.8593836
PC146,0.0011030027,0.86048657
PC147,0.0010975826,0.8615841
PC148,0.001092415,0.86267656
PC149,0.0010788667,0.8637554
PC150,0.0010758307,0.8648312
PC151,0.0010736389,0.86590487
PC152,0.0010537383,0.8669586
PC153,0.0010512865,0.8680099
PC154,0.0010400334,0.86904997
PC155,0.001030274,0.87008023
PC156,0.0010256361,0.87110585
PC157,0.001015836,0.8721217
PC158,0.0010118156,0.8731335
PC159,0.0009999789,0.87413347
PC160,0.0009951023,0.87512857
PC161,0.0009834064,0.876112
PC162,0.000979332,0.8770913
PC163,0.0009646237,0.87805593
PC164,0.0009593545,0.87901527
PC165,0.00095428934,0.87996954
PC166,0.0009446859,0.8809142
PC167,0.00093817996,0.8818524
PC168,0.00092746125,0.88277984
PC169,0.00092305377,0.8837029
PC170,0.0009173553,0.88462025
PC171,0.0009115547,0.8855318
PC172,0.00090953795,0.88644135
PC173,0.0009012639,0.88734263
PC174,0.00089456094,0.8882372
PC175,0.00089033565,0.8891275
PC176,0.00087982614,0.8900073
PC177,0.0008778102,0.8908851
PC178,0.0008719326,0.8917571
PC179,0.00086526625,0.89262235
PC180,0.0008615248,0.8934839
PC181,0.00085335417,0.89433724
PC182,0.00084851356,0.89518577
PC183,0.00083607313,0.89602184
PC184,0.0008353591,0.8968572
PC185,0.0008285504,0.89768577
PC186,0.00082317274,0.89850897
PC187,0.0008147438,0.8993237
PC188,0.0008082393,0.90013194
