date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2012-09-28,Phase_3_fin,1,44.27,22.583808246025672,86.667,8.138,3.949321089761767,2012,9,272
2000-10-16,Phase_3_fin,3,30.394,11.744859110532332,78.444,15.633,5.802498657160925,2000,10,290
2022-10-24,Phase_3_fin,3,51.165,13.084106622707276,74.667,11.945,5.725114265718272,2022,10,297
2002-10-10,Phase_3_fin,1,32.914,14.40526598949369,66.889,16.378,5.574586562855423,2002,10,283
1999-10-09,Phase_3_fin,4,53.62,15.19427181348052,65.111,11.551,4.96471221714457,1999,10,282
1984-09-30,Phase_3_fin,3,66.691,28.19526473349995,64.0,9.84,5.669188573640628,1984,9,274
2005-09-27,Phase_3_fin,1,76.163,26.530856596099007,64.0,8.467,4.329671534338102,2005,9,270
1991-09-01,Phase_3_fin,1,62.017,32.83334138052804,62.222,5.085,3.033296208798337,1991,9,244
2021-09-19,Phase_3_fin,3,84.359,25.29265463924056,60.222,8.022,3.2644342654660674,2021,9,262
1998-09-11,Phase_3_fin,4,75.374,31.17654675512172,59.556,11.542,4.049677165416568,1998,9,254
2021-09-16,Phase_3_fin,3,41.407,25.539283663382324,57.111,5.645,3.230866180020834,2021,9,259
1998-09-07,Phase_3_fin,4,67.442,36.18250163644552,56.889,8.037,4.070867561940264,1998,9,250
2003-10-21,Phase_3_fin,1,22.92,7.294265527499052,56.222,9.45,4.451043011566868,2003,10,294
2004-10-24,Phase_3_fin,1,17.663,6.53198026980811,54.667,12.089,4.251791358869418,2004,10,298
1986-09-13,Phase_3_fin,1,61.058,29.148234296728063,54.0,6.37,3.679370919666935,1986,9,256
1989-10-09,Phase_3_fin,3,25.318,10.695199825366338,53.333,7.401,3.605541072908827,1989,10,282
2002-10-11,Phase_3_fin,1,51.243,12.273512063907976,52.889,6.363,3.2017650727398137,2002,10,284
2018-09-06,Phase_3_fin,1,86.332,33.35625078305917,52.667,6.305,3.216737881517187,2018,9,249
2019-10-13,Phase_3_fin,1,26.476,11.670555972851782,52.667,5.722,3.0945688615175624,2019,10,286
1999-10-19,Phase_3_fin,4,14.733,5.5979437307786135,52.444,8.346,3.475333906237808,1999,10,292
1994-10-22,Phase_3_fin,1,41.545,12.587175655568767,52.0,10.044,4.667561344363509,1994,10,295
2003-10-19,Phase_3_fin,1,21.305,7.482269084971884,51.111,7.05,2.9182058961246127,2003,10,292
2016-09-12,Phase_3_fin,1,62.38,28.452250720120738,50.444,7.104,3.51530547715137,2016,9,256
1993-10-27,Phase_3_fin,1,38.816,9.984769393731884,49.333,9.194,4.776139775188629,1993,10,300
1997-10-31,Phase_3_fin,0,12.598,3.7037134413266073,49.111,12.772,4.251326412707929,1997,10,304
2015-10-23,Phase_3_fin,0,38.368,9.341455278603451,48.667,10.299,4.703126844983986,2015,10,296
2022-09-21,Phase_3_fin,3,42.175,23.310319272054507,48.222,8.668,3.5857675385995584,2022,9,264
2020-09-01,Phase_3_fin,3,48.776,26.731898575883857,48.222,5.777,2.948602095934942,2020,9,245
2009-10-25,Phase_3_fin,1,17.257,8.217110453927239,47.778,8.071,4.186087773891858,2009,10,298
2005-10-24,Phase_3_fin,1,58.694,12.264620163730372,47.556,10.393,4.506589774249033,2005,10,297
2020-09-09,Phase_3_fin,3,54.4,32.24217594994439,46.0,10.902,4.688919483556673,2020,9,253
1999-10-18,Phase_3_fin,4,45.363,10.8624328484813,45.778,8.471,3.796308686710201,1999,10,291
1994-10-24,Phase_3_fin,1,23.741,7.083559101144669,45.111,6.303,3.580394196248696,1994,10,297
2019-10-09,Phase_3_fin,1,20.594,11.663891760270989,44.667,15.436,6.76741807021831,2019,10,282
2020-09-06,Phase_3_fin,3,56.054,35.539088830947875,44.444,8.567,4.562817102631433,2020,9,250
2000-10-18,Phase_3_fin,3,23.62,8.398725194547644,44.222,9.689,4.577972374119947,2000,10,292
2010-09-11,Phase_3_fin,2,73.443,32.548343241514274,44.222,6.384,3.0670789925368767,2010,9,254
1988-09-21,Phase_3_fin,2,69.995,28.5980170904988,44.0,13.931,4.810494462175568,1988,9,265
2010-09-19,Phase_3_fin,2,58.972,22.360499627662428,44.0,4.677,2.8165803586210663,2010,9,262
1987-09-30,Phase_3_fin,0,31.555,16.368476410202568,43.778,6.271,3.2594424886950333,1987,9,273
2018-09-18,Phase_3_fin,1,45.557,25.15870371687836,43.778,6.16,3.613017938204204,2018,9,261
2005-09-03,Phase_3_fin,1,59.049,34.82676900098772,43.778,4.873,2.9367918158483115,2005,9,246
2022-10-09,Phase_3_fin,3,24.916,12.822676114546947,43.333,7.422,3.341074223716098,2022,10,282
2009-09-08,Phase_3_fin,1,57.791,27.781074915176784,43.333,6.344,3.5813774592268293,2009,9,251
1987-09-17,Phase_3_fin,0,102.445,43.00889474829447,43.111,10.302,4.768522357877675,1987,9,260
2019-10-25,Phase_3_fin,1,14.817,6.511404647728322,42.889,15.99,6.852627445443569,2019,10,298
2022-10-08,Phase_3_fin,3,42.853,15.135593357185522,42.667,7.381,3.85637271485464,2022,10,281
2023-09-04,Phase_3_fin,0,47.095,29.640432064731915,42.667,4.655,2.8036638488934824,2023,9,247
2020-10-04,Phase_3_fin,3,21.33,10.800430282793547,42.222,7.769,3.215604210217512,2020,10,278
2004-09-16,Phase_3_fin,1,56.381,29.071369206841617,41.556,6.24,3.300268690337624,2004,9,260
2002-10-09,Phase_3_fin,1,22.279,10.61987877276636,41.333,15.494,5.643927258243542,2002,10,282
1998-10-31,Phase_3_fin,4,11.111,4.074530047755087,41.333,15.255,5.5169373653963305,1998,10,304
