date,phase,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,cluster
2012-09-28,Phase_3_fin,27.575132,-371.11227,-256.36093,-97.45405,-129.8784,-70.24994,56.233704,-10.327939,239.24336,-21.111338,83.381744,85.45733,58.235138,-115.43627,-98.36192,-69.681366,-47.749737,90.456825,83.78897,78.17145,-30.613323,-32.46719,-4.631277,-52.153763,21.287758,-102.47465,-11.198452,47.44649,-33.481712,-6.9358644,-35.249996,6.4298587,14.209048,-16.670689,-44.67552,5.429375,-32.83832,-3.292593,-26.926205,30.166412,33.36646,11.094599,-14.383721,-2.3039622,53.08796,32.246357,39.435867,27.177734,-17.977373,-6.0206647,-27.249401,40.546734,-27.288458,-35.47788,26.191063,-16.387089,22.738361,1.5189403,-23.653887,-48.710762,37.6796,1.3577722,59.12086,-9.660629,-45.00573,4.765297,4.9195957,-26.243668,54.18589,1.8924376,5.1094456,3.5864952,-4.2900767,-36.75654,9.498236,-5.0885935,-20.776457,13.235573,10.989886,-8.857474,4.9188533,-10.5074215,22.699945,13.243958,7.7365975,-39.670364,-21.044739,11.486781,8.611271,-24.833603,-41.837254,59.04367,53.728935,5.0633707,54.899426,0.19332574,-1.7185739,-22.105986,-1.8042351,33.049366,47.84752,-17.672457,-34.684013,25.731815,-20.74315,30.50727,33.237453,0.863167,-20.55968,25.496307,8.519528,4.253842,51.638306,16.935642,-16.097664,29.625431,-14.740695,6.770392,28.391857,-44.670956,-3.3592622,4.8763075,7.7427797,-38.667637,35.870274,0.6593567,18.38794,-17.779764,-25.489244,86.446175,34.177376,-1.9824561,16.45056,-20.22499,2.1982777,-7.062808,13.937552,-12.739238,-13.117312,-12.334005,-10.956321,33.478973,2.62126,7.423003,5.094724,-18.761663,-33.70734,9.073348,-13.037116,-4.376333,-23.204683,-14.960272,-14.324027,-12.173502,-0.78224796,-17.587639,1.7035846,2.210153,-4.0940576,-10.138444,-8.373014,16.385895,8.073096,22.17898,-7.3229437,14.417379,-9.694421,-15.037951,1
2000-10-16,Phase_3_fin,-226.16138,31.903898,-6.8028917,52.85669,-181.81049,57.066414,49.970978,84.64886,-83.2333,133.16162,-76.58254,36.043774,-238.24852,-24.615383,17.425648,122.29041,-104.77863,-20.596174,147.57118,-15.329359,44.944057,93.836876,-35.37752,5.424407,48.139175,-23.42776,6.332722,-51.906185,-115.29308,39.121044,72.27245,78.68244,-56.256943,13.429964,154.3999,117.71936,-130.69455,69.89991,20.328703,33.326904,-34.476715,-64.78742,37.458527,23.148396,14.00671,0.99633926,-62.22878,84.54653,41.137684,-6.0757046,-58.985638,-7.0773315,-24.392612,15.1426525,27.71765,-29.291632,-9.115828,7.8078594,-4.1799726,-22.708979,10.87693,5.5603514,2.6043625,-14.305564,-12.829282,-39.104126,8.609934,21.023775,16.261074,33.174744,-34.0517,60.241142,0.7445676,20.098536,-27.902554,-9.205127,10.797138,3.7842352,-12.303977,12.141135,52.147366,-23.248442,-15.21011,31.302221,-11.282639,-5.621947,18.974178,-14.879873,-11.062461,-19.103107,-18.615572,55.39243,-17.534746,23.18231,-7.416199,-15.586519,-35.39821,36.033466,-0.6057524,1.2296107,52.102238,-5.939785,-28.99171,29.414368,5.154496,-27.359018,49.964596,-34.229046,6.102551,11.199012,9.331128,30.700758,-0.18367897,-7.639775,29.3053,6.849725,5.842623,2.3623173,4.8277392,-14.260407,15.087915,8.191571,-22.618746,15.740294,-24.822628,14.014135,-19.271658,14.790405,-0.57515043,-1.7023542,25.242346,-9.647925,-12.32934,21.749552,12.91329,19.01105,-20.32274,20.194199,-1.7733458,-49.441734,-10.861545,14.491758,-11.7158985,-35.636627,8.495536,3.2391238,14.061218,-3.196012,27.388649,17.535458,21.829199,-7.84927,4.2655325,-10.205496,-20.056324,4.697072,-20.754883,0.6786569,21.695086,25.703701,7.154131,-30.316559,-9.211413,3.5423596,-24.392467,-4.190778,16.314276,-4.4567213,3
2022-10-24,Phase_3_fin,-280.6711,97.354195,9.598983,197.77296,48.21062,150.8107,156.67271,46.934563,69.94768,-17.8396,-41.02924,42.361492,89.03725,113.703415,114.586685,-84.5559,21.613014,63.668514,-42.306843,9.985438,-44.237118,32.63598,88.29702,-25.261662,-15.704865,-24.32617,60.870388,-19.830875,12.008085,-1.0041941,24.704926,-34.31628,-17.245932,6.8857927,-45.268024,76.10631,-30.26157,14.482175,-9.633214,52.663002,-56.449146,-64.772644,-26.712088,-54.47932,-19.352999,38.359245,34.432934,34.03671,-25.333452,-23.82404,-23.114126,22.45794,-67.55388,22.602337,8.7284775,42.005684,35.76793,-0.68489873,-92.350784,45.97577,-4.804179,-94.422516,40.88666,-25.446657,-2.4222853,-45.414074,45.322605,37.60856,-40.190525,10.201673,-34.508457,13.910958,48.718803,-1.6099584,51.74518,-10.554942,9.444808,-21.952784,40.639122,-10.28071,-44.322502,-75.00017,62.284748,51.0429,-37.185093,55.552525,1.1319199,27.26503,-42.56916,-82.872185,3.5448115,-53.2667,5.7647095,48.438908,3.3427548,-14.20783,-39.891956,-39.85533,-68.39197,-32.59357,-14.915084,21.692179,-47.85751,29.820265,4.7033176,-8.834288,-43.285194,87.11425,-39.035656,65.056335,-3.7732227,6.976161,-12.891513,7.146885,-25.897917,24.233341,-27.153416,-3.0831592,29.820494,42.018562,-21.032768,17.980688,-17.845428,-17.426655,10.003425,-22.762663,-10.86355,-8.192572,-12.672747,-9.545907,-9.935751,-7.639055,-22.554565,3.3163118,-1.4937898,7.201249,-28.710848,-8.720994,-1.4919857,20.056124,0.6413267,12.317332,5.29221,-24.069092,-12.902672,8.451597,0.67178935,11.022338,8.5903845,-2.4566648,9.557491,0.5832775,-3.4713497,-0.3496972,-10.796832,3.352148,14.789515,20.679972,-3.1519523,-22.721296,-5.6697683,-14.475671,29.751444,4.3224463,-5.1863003,-9.366882,-16.773663,-9.197126,3
2002-10-10,Phase_3_fin,126.24313,-4.6181073,-128.88512,-87.69447,-69.28452,43.747368,181.78677,185.00732,-87.68463,29.096586,154.3804,-208.13588,-7.548312,56.958466,67.08483,-118.17346,111.9149,-51.31797,68.01639,100.86566,-107.57663,-27.381096,-89.77342,137.08792,42.998425,108.08797,44.550316,68.85812,-56.20421,-91.18946,-118.8481,30.222805,5.3010354,1.252916,46.593388,-22.684008,-1.3034576,27.33887,31.403568,25.794086,28.630331,-63.959637,-99.965416,0.61720955,-73.702446,32.206417,-1.0328054,64.4786,36.48595,-72.59583,61.021835,-12.433571,14.425899,88.31544,6.960986,-28.058477,30.257238,12.891319,-26.420967,63.502636,33.829517,-27.921331,27.403202,21.02846,-17.120321,7.472688,7.310554,8.980397,-1.1367652,-18.700405,40.522415,5.389631,35.61612,-6.4405494,-42.50601,32.298004,-31.006456,-3.5587947,-17.136402,45.600506,14.785392,-10.061358,-25.245394,5.7209735,17.642168,-14.298097,-33.89101,-2.1785572,15.542524,0.6512423,12.941878,-20.002598,19.580664,-5.7367845,10.726627,7.1141596,11.806625,-24.073298,-5.741662,25.120672,-11.0275,7.2589297,23.748089,-19.867933,8.0985,27.10524,17.424553,-18.28798,-8.093545,0.037461005,-19.738457,10.009669,-2.321501,11.089509,10.877015,-11.914086,10.319596,-12.919323,-6.71357,4.4734178,1.0831593,-6.0841146,10.283996,28.248814,22.03493,0.42701793,20.148045,8.92666,-3.2029278,1.8111672,9.953296,4.21543,-12.003932,26.471537,3.4835649,-0.5403974,21.239132,-6.4725423,6.0357404,-9.627286,18.231716,2.713086,-40.15509,-8.133502,-21.420628,-15.420045,7.0715685,3.5798318,3.3314204,-1.6434969,-6.3481073,1.4313964,7.4451556,6.673631,11.812118,-26.69706,3.5841246,-10.855755,4.4289536,-5.06683,-1.3286332,-5.0382476,-4.5583324,-28.139889,-4.5951643,2.1743686,10.92793,-3.3035364,1
1999-10-09,Phase_3_fin,-340.92093,-136.9084,117.92106,-151.0465,-283.3123,121.734024,16.252432,-89.16888,-160.97574,73.0662,25.233885,1.7982241,153.55002,61.61046,-47.406704,72.11239,71.9812,105.73446,-103.83611,-59.31721,-49.744926,45.85925,-43.71311,-5.9114037,49.901836,-35.25265,5.9326963,-20.420237,73.03873,84.86078,-21.405766,-18.716417,55.766396,-40.335777,32.518234,-27.00275,-52.84759,-82.11335,-44.877174,26.59177,20.654268,12.362005,5.175135,-12.969818,49.357574,30.313759,-3.2251482,66.73319,37.216084,-18.624613,-12.883955,-25.29224,-22.888403,-18.15769,2.4178455,-1.16366,-35.730995,12.1603155,-34.22159,30.34841,19.916555,37.957882,13.857809,-3.5614595,5.71277,8.709384,3.5356786,40.129414,22.272432,-17.952467,-4.0427923,-118.3724,59.428413,27.482273,47.035343,-23.534546,-4.45842,19.925694,-40.066536,94.43384,22.278944,-85.78879,-67.16133,-1.4443921,-19.240456,-16.536137,19.71285,28.092257,-0.22207353,39.5334,-15.822836,-26.493004,15.328353,-26.780163,-23.259428,41.888214,20.663383,19.260302,-2.3237393,-6.65871,-29.045532,-23.596363,-27.919216,77.18083,-3.7188334,79.64063,37.44574,-4.983623,3.9016044,27.329624,-25.290964,-45.00157,32.139664,-53.575058,10.512505,-15.457625,13.810459,30.887003,20.3147,-14.492,-45.90491,-25.88453,4.1786156,-11.237986,-25.948961,-4.659127,-30.861242,-4.2221856,34.535168,-38.845646,12.167097,-33.82216,8.119444,10.737392,-1.5965317,2.6721573,-30.584616,-32.52438,-36.444798,16.655922,-4.2011223,-5.7464557,8.195723,5.778742,-25.028498,-10.037584,-3.1252258,-22.807686,-0.708928,6.6007757,11.864709,2.0784714,-41.59868,-7.2662187,-2.686752,-31.39284,-17.143002,13.210589,-2.546325,10.856086,2.7040734,25.175617,-24.084558,21.324446,-2.9338028,-7.968858,7.7653193,-1.7896059,4
1984-09-30,Phase_3_fin,-99.2614,130.79375,175.83647,-71.20212,81.61531,79.032616,-26.278666,-131.74428,168.32556,221.69592,35.79738,7.538611,-22.496813,-181.48837,48.56069,12.332385,186.05667,77.15846,90.652756,-142.43198,66.11352,32.872692,-76.276695,37.42123,8.147308,-104.05024,129.86159,35.084717,14.047464,-65.08644,33.592983,3.125391,45.110935,-3.8429134,21.609602,3.422327,48.108448,-47.79114,-61.839394,-3.188106,49.638874,-50.701195,-51.59839,-87.1899,-7.3120236,28.48331,-11.654465,39.904804,-14.244936,10.092714,21.174206,54.003754,-20.118418,54.44817,-8.914763,-12.769093,16.96841,-37.211483,25.079062,-47.970257,-46.982174,-10.855975,13.665333,-43.837788,17.317108,91.62728,-23.974136,65.81018,-59.098354,33.452248,-36.30936,8.530278,-21.55822,-7.262037,40.14625,18.55275,-30.952341,16.279331,-0.43307254,19.654213,10.085511,-17.28073,-16.251877,-45.100193,-26.277811,10.31474,40.332462,27.391996,28.51343,-16.19974,32.034252,-3.2052636,-36.873188,120.45087,48.076206,96.573586,66.839676,-70.992615,16.438414,-24.075426,61.302563,-72.26169,-92.27407,-30.88168,-107.63594,-69.72818,64.85975,-50.47433,-60.191734,61.48554,22.72677,-100.727745,-66.50149,18.370325,-29.109558,-68.66401,78.39307,75.03166,-48.85131,87.20454,56.257347,-83.41926,-9.5164795,3.6366272,-15.424612,-20.988815,68.70553,-55.670086,14.104629,14.568504,44.63761,42.782124,19.249767,50.520927,70.86734,123.39989,5.6351767,56.750813,65.159676,53.83359,32.178017,-4.3916364,5.751483,34.2699,-46.821365,10.806907,-71.732796,24.116669,79.73797,-39.193077,35.28592,-56.9226,-22.82009,-3.8123827,14.606706,-6.8180957,-10.1873045,-25.123684,-6.334494,-49.47417,-1.3012724,30.026978,58.006218,-23.628784,-33.63214,4.0398335,-14.177576,78.75526,3
2005-09-27,Phase_3_fin,-65.63395,16.83988,45.884186,-233.66635,65.264626,-117.37376,-31.188414,44.432022,-89.31077,-223.09457,3.7011764,7.7682137,-61.945927,-105.61432,117.090416,64.57878,35.719673,62.07286,-12.094007,99.09301,80.86799,87.118126,67.89485,38.075214,-35.95251,-35.01344,15.606641,-169.70146,39.47818,-106.67045,20.482334,38.12614,-24.72216,-89.58268,-28.011906,-66.9718,-32.137627,23.119993,-42.268906,66.40144,126.65823,74.13597,-103.22563,-12.033255,13.025743,20.679905,39.52252,73.720604,28.6705,60.83619,-10.409698,-34.364845,25.740131,-0.46990845,-24.477377,-11.508262,-56.630123,-61.0844,-69.52425,27.799685,-36.445602,25.227621,-59.866016,-71.13667,-14.733237,-31.916676,57.076675,-57.557247,26.081501,-17.534046,-9.781573,-32.241306,15.586956,-8.057891,28.238617,-36.004387,-4.8715825,15.079755,3.683495,-37.083298,65.46638,37.457573,-31.003046,0.49338818,-30.762287,36.722927,3.16362,-63.86867,10.499916,-40.16958,10.302753,18.164034,17.373178,8.831172,29.850967,23.46657,-64.5321,-13.77419,0.75091606,-35.224033,22.084183,42.123352,30.845749,-65.67154,-7.142349,-19.075413,3.3661652,28.224318,19.315348,-11.455021,-10.736541,-55.42114,19.856125,35.94372,18.206707,-14.3059435,36.52986,31.821556,26.927412,-7.007117,-24.044159,19.778921,6.399237,2.9440389,-0.48293403,-34.910057,27.605875,8.639726,8.118614,-12.425085,5.3536143,8.697492,-10.07608,-12.288798,-9.642448,-13.987179,-2.961116,0.5045362,-11.983693,7.2705917,-0.42281836,-0.15764026,6.8214602,1.9695659,-20.559185,6.5964813,0.66117483,7.902495,22.36889,1.6683722,1.3925084,5.985075,12.7709255,-8.173102,-5.2155557,-5.952546,9.815594,10.697101,-2.6364324,-7.771693,-1.3652021,0.21437715,-7.2628174,-4.1283927,-9.078377,6.464518,-5.8380766,-8.871409,1
1991-09-01,Phase_3_fin,128.65923,31.814463,-103.79252,-22.923748,37.449574,-5.0205503,-30.76727,-19.611385,11.004839,-142.60997,54.76129,-96.22027,-8.5253525,6.930696,-51.395695,81.03671,100.30672,-91.28757,-159.16478,-39.144917,-26.782074,6.628177,4.754338,3.084085,-103.36533,-19.550545,15.061683,-30.979677,51.337444,11.542686,26.484047,49.260044,-62.646076,0.89163625,-53.80884,158.7347,-10.204648,5.2107143,-94.7875,-62.344616,-111.6796,19.54912,44.385406,27.202833,-33.580833,44.081944,58.56421,24.97997,-11.499417,-21.534714,3.2793572,-42.26156,25.09207,87.19836,-63.958412,-39.491657,-67.574875,14.47989,18.121647,22.858723,4.238765,4.2886553,-22.802307,9.229097,154.49222,27.217655,-1.2569386,35.655075,-16.984232,30.181479,-42.802372,20.734205,-69.46863,-97.80621,6.9496093,12.776838,-15.322416,49.526806,-5.043753,17.596857,8.680558,-19.092527,-6.325727,50.792076,-47.56801,-52.978176,149.37811,16.068964,-153.74196,-63.39138,25.627651,-60.83644,98.04653,5.121647,-11.116219,50.60808,-12.758603,41.90832,-17.203304,65.52559,30.022772,59.86756,25.57085,-26.338484,-31.783869,38.838596,28.300373,22.093681,2.9079533,40.00685,-8.530137,78.181564,35.889336,23.226706,18.245304,-4.420823,88.50887,-29.987663,22.727255,-54.59736,-52.874676,6.8178663,45.81649,98.41544,81.519165,-10.958803,43.666256,-41.71227,13.9145975,26.157558,39.097443,-49.259342,-23.2071,-46.7492,39.111526,-13.915696,-4.386823,66.290245,30.075441,18.117958,-50.872715,-57.085094,-19.614162,-1.1923622,75.07215,6.3887773,-1.6627977,15.501516,-26.878132,-4.056087,-73.8603,-55.313854,-11.125784,7.384466,-41.968113,0.15672828,-33.306404,15.4171095,-1.680621,23.280445,-28.285948,-1.678843,18.406096,-18.54346,-25.880657,15.942351,3.1830835,35.512844,1
2021-09-19,Phase_3_fin,-185.56676,50.902493,34.885983,-38.81406,117.51761,22.176,97.62159,23.35231,99.23366,68.69715,89.43825,-84.86244,105.5335,8.217487,-23.898672,45.908615,-51.986153,-86.54014,-25.460127,-16.77775,48.35911,-5.2857375,-50.41144,163.15831,70.74456,12.909503,-60.909733,-54.27136,10.249751,16.411802,-2.430396,35.871395,-54.879562,40.65539,30.620752,-20.38359,-35.139404,62.047966,-59.72721,-5.8313375,15.486929,96.32509,11.6041,17.11731,52.164623,31.996254,99.53901,37.69275,-90.131195,-18.368551,-0.89904827,59.83148,56.01259,86.64983,44.72069,146.38113,23.606182,-6.780582,120.93326,23.658834,21.597088,-15.330867,-36.878056,10.348939,15.4475975,-69.24729,-87.5692,25.14848,27.23562,-51.689804,-15.906749,20.165956,13.104652,-26.566328,39.34687,-15.371032,5.4220467,-34.263893,-8.740448,-9.78972,37.734566,-3.582672,-1.5701839,38.459236,-9.8804245,2.0125155,-31.571047,-12.821533,-13.819321,12.919921,-11.926479,21.002897,9.117996,-8.658092,-4.748594,-22.70143,-0.41915804,23.889088,15.845132,-15.514353,-1.7313923,-19.500515,-12.057437,-6.421273,-1.5553112,0.3355724,10.643597,5.7021537,-7.877906,6.184002,-5.5984488,1.5747129,2.2105415,1.4507791,-3.2903872,-0.03713709,2.4557934,-12.0197315,9.618095,5.926755,4.295839,-10.646278,0.019275656,-8.288365,-0.4478516,-8.8257675,14.203872,-6.770745,8.075688,-8.146558,6.864426,-19.505861,2.1033285,3.6291242,-13.5137,-5.261321,19.621767,5.48363,5.174458,8.125609,5.0778317,10.03887,-5.927506,2.2316933,8.745513,11.910875,-7.2684765,0.66480994,-0.39135233,4.913915,4.482464,2.4189105,3.6873794,4.3672237,-5.307902,-4.7567544,-6.611432,6.444687,-0.8367035,-4.9240704,-10.811429,-2.7118278,-8.042006,3.1000445,-7.5100527,-3.3361447,-3.832845,-3.742577,3
1998-09-11,Phase_3_fin,-147.69562,-259.18896,356.9519,107.14633,-78.53738,34.20759,-138.2708,132.29094,95.90512,-127.39095,-171.078,-9.419306,61.583954,64.76047,-43.3844,13.122417,57.229702,-30.67647,132.40694,140.67175,81.27698,7.059079,-44.31892,30.00026,-77.861855,28.255901,-53.861267,97.381584,68.180466,64.286865,113.965034,61.724716,15.522082,41.691517,-6.935733,47.944004,87.893234,51.80442,43.613228,13.052284,-17.510984,-19.229675,-32.505226,-5.812059,-30.241041,-1.6911631,36.89701,18.186918,10.186534,50.149643,57.430367,13.485801,-53.259716,-39.40186,-21.810394,47.068325,-14.046535,-58.206123,45.15941,6.590091,20.863436,21.961525,38.909523,-51.889454,-58.045547,41.658237,-14.750026,34.315872,49.146366,-10.080194,-54.582508,-43.533356,29.731907,14.971592,28.007708,34.042923,-41.892555,37.64564,11.739625,-1.4887103,-10.254419,35.616768,33.739254,-20.320164,4.0501575,21.659655,-0.47180966,16.360327,8.652711,-5.2464256,3.1522884,8.990819,-6.1729784,-18.377876,3.0272646,-5.473075,6.8384266,-8.7820425,-13.638603,29.626402,-21.49431,-7.7767787,14.405112,35.210655,-22.290802,-25.597008,8.951215,1.2272843,6.7394576,-29.961979,-14.670261,16.848343,6.5377893,-15.330785,-4.044488,5.888966,-31.379131,8.938098,-18.321241,18.634066,-0.16893712,1.6890548,-31.486307,13.95004,9.950911,8.209554,-33.320747,-29.272781,1.2636204,-34.48233,-17.1113,14.576018,24.149143,-3.3568099,10.979359,3.502411,16.840054,1.7087941,0.7778826,-22.529564,1.2866393,15.275802,-6.0320997,11.829664,-50.512962,4.49409,22.093596,-14.28323,15.131626,32.020123,11.381481,-20.830242,22.202303,2.388385,-8.425699,30.04349,14.474129,32.2591,13.944717,-32.43585,1.7827477,4.4928775,-8.287634,-5.6545744,-24.847895,-34.726357,-2.8933015,1.1526644,4
