composante,variance_expliquee,variance_cumulee
PC1,0.10139887,0.10139887
PC2,0.03954825,0.14094712
PC3,0.03251038,0.1734575
PC4,0.029229578,0.20268708
PC5,0.026962863,0.22964995
PC6,0.024345929,0.25399587
PC7,0.022442618,0.27643847
PC8,0.019110717,0.29554918
PC9,0.018698078,0.31424725
PC10,0.018171672,0.33241892
PC11,0.01773713,0.35015604
PC12,0.0160866,0.36624265
PC13,0.015519082,0.38176173
PC14,0.015122247,0.39688396
PC15,0.014225166,0.41110912
PC16,0.013369479,0.4244786
PC17,0.012560862,0.43703946
PC18,0.0118546635,0.44889414
PC19,0.011273854,0.460168
PC20,0.010847157,0.47101516
PC21,0.010599562,0.4816147
PC22,0.010255548,0.49187025
PC23,0.010005247,0.5018755
PC24,0.009566284,0.5114418
PC25,0.009181253,0.5206231
PC26,0.008842639,0.52946573
PC27,0.008291486,0.5377572
PC28,0.008128246,0.54588544
PC29,0.007883621,0.55376905
PC30,0.0076603503,0.5614294
PC31,0.0074041355,0.56883353
PC32,0.007310022,0.57614356
PC33,0.007015965,0.5831595
PC34,0.0067279637,0.5898875
PC35,0.0065806163,0.5964681
PC36,0.006252726,0.6027208
PC37,0.00609506,0.60881585
PC38,0.00598636,0.6148022
PC39,0.0055936123,0.6203958
PC40,0.0055229436,0.62591875
PC41,0.0054254876,0.63134426
PC42,0.0053422153,0.63668644
PC43,0.005211149,0.6418976
PC44,0.0050543356,0.646952
PC45,0.005002594,0.6519546
PC46,0.0049759587,0.65693057
PC47,0.004866678,0.6617972
PC48,0.004774358,0.66657156
PC49,0.0046609715,0.6712325
PC50,0.0044593965,0.6756919
PC51,0.004348749,0.68004066
PC52,0.004262942,0.6843036
PC53,0.004116038,0.68841964
PC54,0.003942081,0.6923617
PC55,0.0039085886,0.6962703
PC56,0.0038134418,0.70008373
PC57,0.0037257376,0.7038095
PC58,0.0036858108,0.70749533
PC59,0.0035024043,0.71099776
PC60,0.003481293,0.714479
PC61,0.0033738131,0.71785283
PC62,0.0032752445,0.72112805
PC63,0.0032573272,0.7243854
PC64,0.0032156412,0.72760105
PC65,0.003194183,0.73079526
PC66,0.003105932,0.7339012
PC67,0.003025402,0.7369266
PC68,0.0029619085,0.73988855
PC69,0.00291932,0.74280787
PC70,0.0028585484,0.7456664
PC71,0.0028210199,0.7484874
PC72,0.0027895533,0.75127697
PC73,0.002719436,0.75399643
PC74,0.0026322254,0.75662863
PC75,0.0026293676,0.759258
PC76,0.002604227,0.7618622
PC77,0.0025227459,0.764385
PC78,0.0024872096,0.76687217
PC79,0.0024675159,0.7693397
PC80,0.0024359697,0.77177566
PC81,0.0023881337,0.7741638
PC82,0.0023367256,0.7765005
PC83,0.0023253537,0.7788259
PC84,0.0022879934,0.78111386
PC85,0.0022313949,0.7833453
PC86,0.002214042,0.7855593
PC87,0.0021800315,0.78773934
PC88,0.002160815,0.7899001
PC89,0.0021391746,0.7920393
PC90,0.0020982372,0.79413754
PC91,0.0020787197,0.79621625
PC92,0.0020248813,0.79824114
PC93,0.0020096328,0.80025077
PC94,0.001975272,0.80222607
PC95,0.001951013,0.8041771
PC96,0.0019403481,0.8061175
PC97,0.001935069,0.80805254
PC98,0.0018835939,0.8099361
PC99,0.0018418875,0.811778
PC100,0.0018131224,0.8135911
PC101,0.001783065,0.8153742
PC102,0.001781372,0.81715554
PC103,0.0017676746,0.81892323
PC104,0.0017326908,0.82065594
PC105,0.0017183728,0.82237434
PC106,0.0016881787,0.8240625
PC107,0.0016730998,0.8257356
PC108,0.0016320929,0.8273677
PC109,0.00162828,0.828996
PC110,0.0016102305,0.8306062
PC111,0.0015933032,0.8321995
PC112,0.0015732049,0.8337727
PC113,0.0015487587,0.8353215
PC114,0.0015381158,0.8368596
PC115,0.00151518,0.8383748
PC116,0.00150478,0.8398796
PC117,0.0015029176,0.8413825
PC118,0.0014577121,0.8428402
PC119,0.0014468709,0.84428704
PC120,0.001431029,0.8457181
PC121,0.0014109934,0.8471291
PC122,0.0013997351,0.84852886
PC123,0.0013879625,0.8499168
PC124,0.0013806074,0.85129744
PC125,0.0013728151,0.85267025
PC126,0.0013601121,0.8540304
PC127,0.001349604,0.85538
PC128,0.0013299448,0.85670996
PC129,0.0013213401,0.8580313
PC130,0.0012943428,0.8593256
PC131,0.0012897063,0.8606153
PC132,0.0012859053,0.8619012
PC133,0.0012795384,0.86318076
PC134,0.0012450711,0.86442584
PC135,0.0012260453,0.8656519
PC136,0.0012147449,0.86686665
PC137,0.0012093653,0.868076
PC138,0.0011912064,0.8692672
PC139,0.0011890619,0.8704563
PC140,0.0011722596,0.8716285
PC141,0.0011535804,0.8727821
PC142,0.0011387583,0.87392086
PC143,0.0011309356,0.8750518
PC144,0.0011239924,0.87617576
PC145,0.0011015264,0.8772773
PC146,0.001097123,0.87837446
PC147,0.001092211,0.87946665
PC148,0.001071645,0.8805383
PC149,0.0010695502,0.88160783
PC150,0.0010564495,0.88266426
PC151,0.0010452375,0.8837095
PC152,0.001043706,0.88475317
PC153,0.0010324763,0.88578564
PC154,0.0010269503,0.88681257
PC155,0.0010104796,0.88782305
PC156,0.0010091749,0.8888322
PC157,0.0009910588,0.88982326
PC158,0.0009879657,0.8908112
PC159,0.000976369,0.8917876
PC160,0.0009680738,0.8927557
PC161,0.0009631033,0.8937188
PC162,0.0009595306,0.8946783
PC163,0.00095334044,0.8956316
PC164,0.000949595,0.89658123
PC165,0.000940511,0.89752173
PC166,0.0009331008,0.89845484
PC167,0.00091588835,0.89937073
PC168,0.0009130426,0.90028375
