rank,date,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation
9,2022-07-24,2022,7,Phase_2_pleine,Pleine saison,205,303,67.333,23.30884602360993,40.769,9.718354225158691,6.281123858158718,3.115241553749848,6.407,0.713444670506998,14.633,-13.916,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.625,-14.375,Kolda,Médina Yoro Foulah,4.25,5.75,473.11,619.3278054277233,13,34,3,0.0035399872657559,779.3587062937835,3.2033743246613096,PASSED
10,2010-07-20,2010,7,Phase_2_pleine,Pleine saison,201,302,67.111,21.15693169398024,45.761,5.096909046173096,8.102255559398811,2.73971437468867,4.491,0.4914199821502987,14.309,-13.665,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.625,-12.125,Kédougou,Kédougou,4.25,5.75,473.11,620.231391984239,13,35,3,0.0037968816321769,780.0769462704989,2.245570708804803,PASSED
13,1981-08-01,1981,8,Phase_2_pleine,Pleine saison,213,298,66.222,51.67903805739128,129.425,10.472951889038086,23.96221598701449,5.881629399064317,11.958,2.505823384983801,14.267,-13.736,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.875,-12.375,Kédougou,Salémata,4.25,5.75,473.11,620.3474882378013,14,34,3,0.0040771590381057,780.1692564200084,5.978889797223523,PASSED
17,2021-08-18,2021,8,Phase_2_pleine,Pleine saison,230,290,64.444,35.429289521842165,79.541,14.732288360595703,11.531988715496263,3.480793792414835,6.492,1.0307358422776665,14.345,-13.459,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-13.125,Kédougou,Salémata,4.25,5.75,473.11,620.1321370867664,14,30,3,0.0038136060269848,779.9980320153378,3.245894967147907,PASSED
18,2003-07-07,2003,7,Phase_2_pleine,Pleine saison,188,290,64.444,26.69687670017111,56.312,8.271099090576172,9.440658175020577,3.481501113250578,6.459,0.9296255952528896,13.812,-13.963,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.875,-16.125,Sédhiou,Goudomp,4.0,5.25,445.28,567.5309440691882,12,32,3,0.0038794826977724,721.3637457802159,3.2292613008733646,PASSED
21,2011-08-17,2011,8,Phase_2_pleine,Pleine saison,229,283,62.889,35.42404850801394,68.824,12.800851821899414,12.065233946302287,3.8722040571898098,7.781,1.3503800803234751,14.675,-13.668,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.375,-13.875,Kolda,Vélingara,4.25,5.25,473.11,565.3648924591089,9,25,3,0.0039434790537678,737.2045334405506,3.890520501359205,PASSED
22,2019-08-29,2019,8,Phase_2_pleine,Pleine saison,241,281,62.444,36.602063861181726,88.361,13.219019889831545,17.207187657962447,3.848533583612484,8.633,1.57791233266886,14.44,-13.318,Tambacounda,Goudiry,Zone soudano-sahélienne,13.375,-11.875,Tambacounda,Goudiry,4.25,5.75,473.11,619.8696783408691,13,33,3,0.0043452253706547,779.7893822221565,4.316645056557048,PASSED
25,2018-07-19,2018,7,Phase_2_pleine,Pleine saison,200,273,60.667,27.892409611097623,80.501,7.538323402404785,13.049890316084223,3.4723358578215886,7.305,0.9677156711670488,13.975,-14.162,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-14.375,Kolda,Médina Yoro Foulah,4.25,5.0,473.11,540.1250279560514,12,32,3,0.0044648275814679,718.0307154464392,3.652328691088992,PASSED
27,2009-07-05,2009,7,Phase_2_pleine,Pleine saison,186,270,60.0,18.274820325992724,38.354,5.890253067016602,7.3731079683204115,2.745019116614969,4.914,0.5177611546282981,14.241,-14.21,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.625,-14.875,Kolda,Kolda,4.25,5.75,473.11,620.4192602636291,14,33,3,0.0043065841404882,780.2263267834974,2.456770061733467,PASSED
32,1999-07-07,1999,7,Phase_2_pleine,Pleine saison,188,253,56.222,22.66975752826736,41.459,7.172128200531006,6.385059451272436,4.066844652226293,9.502,1.4945265584867018,14.857,-14.662,Kaffrine,Koungheul,Zone soudano-sahélienne,12.875,-16.375,Ziguinchor,Bignona,4.25,5.5,473.11,591.7924125218985,14,36,3,0.0042661255337708,757.6617464399856,4.750912253977472,PASSED
34,2002-07-07,2002,7,Phase_2_pleine,Pleine saison,188,251,55.778,26.07800321559982,50.702,3.245225667953491,9.571590689002912,4.042708327056482,8.778,1.439428162545236,14.396,-14.339,Tambacounda,Koumpentoum,Zone soudano-sahélienne,15.625,-14.875,Louga,Linguère,4.25,5.25,473.11,566.0799239293394,12,33,3,0.0045207813569753,737.753036439598,4.389038354654359,PASSED
