longitude,latitude,event_date,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-16.625,12.375,1985-08-06,1985-08-06_000_003,8.461650848388672,-0.4739924371242523,17.08795738220215,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.489954943632956,-0.4736103859528824,95.14187622070312
-16.375,12.375,1985-08-06,1985-08-06_000_004,9.423874855041504,-0.3891988694667816,15.582767486572266,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,9.476816258837829,-0.38894187670257224,122.32527160644531
-16.125,12.375,1985-08-06,1985-08-06_000_005,12.436239242553711,-0.08326873928308487,13.7073392868042,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,12.612998535884664,-0.07865377919907551,149.5086669921875
-15.875,12.375,1985-08-06,1985-08-06_000_006,10.5029296875,-0.2026374489068985,13.592537879943848,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,10.574777881104746,-0.20023037216172151,176.6920623779297
-15.625,12.375,1985-08-06,1985-08-06_000_007,15.35978889465332,0.054473403841257095,14.534499168395996,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,15.416093787955273,0.055172821815738786,203.87545776367188
-15.375,12.375,1985-08-06,1985-08-06_000_008,14.898530006408691,-0.024159733206033707,15.282784461975098,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,15.006311605923118,-0.01688816937519566,231.058837890625
-15.125,12.375,1985-08-06,1985-08-06_000_009,30.08721923828125,0.8020638823509216,16.971757888793945,False,True,forte,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,30.496565459361616,0.8033647833757064,258.24224853515625
-14.875,12.375,1985-08-06,1985-08-06_000_010,38.01461410522461,1.4862521886825562,15.263001441955566,False,True,forte,humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,38.143340585219825,1.4983493185522598,285.4256286621094
-14.625,12.375,1985-08-06,1985-08-06_000_011,93.36294555664062,4.106907844543457,16.356464385986328,True,True,très forte,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,93.42679716714062,4.113328420936162,312.6090393066406
-14.375,12.375,1985-08-06,1985-08-06_000_012,120.57044219970703,4.34260892868042,18.07386589050293,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,120.57960115365647,4.345217340555623,339.79241943359375
-14.125,12.375,1985-08-06,1985-08-06_000_013,191.1962890625,5.196719646453857,19.485631942749023,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,191.38121446772433,5.1983475733042965,366.9757995605469
-13.875,12.375,1985-08-06,1985-08-06_000_014,211.88906860351562,5.760221004486084,18.17262840270996,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,211.89068825879886,5.760630058882823,394.1592102050781
-13.625,12.375,1985-08-06,1985-08-06_000_015,231.35137939453125,5.9625935554504395,17.899250030517578,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,231.35137939453125,5.9625935554504395,421.34259033203125
-13.375,12.375,1985-08-06,1985-08-06_000_016,212.12631225585938,5.9255828857421875,16.284334182739258,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,212.17461644464956,5.925685081050624,448.5260009765625
-13.125,12.375,1985-08-06,1985-08-06_000_017,176.4390869140625,5.670303821563721,15.18090534210205,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,176.57435109507506,5.670758920698309,475.7093811035156
-12.875,12.375,1985-08-06,1985-08-06_000_018,147.6811981201172,5.2968950271606445,14.454510688781738,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,147.8992196854635,5.302561180076404,502.89276123046875
-12.625,12.375,1985-08-06,1985-08-06_000_019,90.05558776855469,4.488820552825928,12.69024658203125,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,90.27164631752521,4.489791226746449,530.076171875
-12.375,12.375,1985-08-06,1985-08-06_000_020,79.6493911743164,4.197141170501709,12.472472190856934,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,80.01855865555198,4.211030051935862,557.2595825195312
-12.125,12.375,1985-08-06,1985-08-06_000_021,36.88165283203125,2.325883150100708,10.711169242858887,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,36.90520111160662,2.327609522258816,584.4429321289062
-11.875,12.375,1985-08-06,1985-08-06_000_022,37.77286911010742,2.4607229232788086,10.33202838897705,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,37.809363149518354,2.4638859500837094,611.6263427734375
-11.625,12.375,1985-08-06,1985-08-06_000_023,23.142841339111328,1.1120703220367432,9.867966651916504,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,23.322510580321634,1.1157676954964302,638.8097534179688
-11.375,12.375,1985-08-06,1985-08-06_000_024,24.08959197998047,1.3173015117645264,9.508764266967773,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,24.18167762181269,1.3292906985211002,665.9931640625
-16.625,12.625,1985-08-06,1985-08-06_001_003,7.654501914978027,-0.4818795323371887,16.082820892333984,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,7.69927657189681,-0.48163902692159816,95.04988861083984
-16.375,12.625,1985-08-06,1985-08-06_001_004,7.979987621307373,-0.457539439201355,14.60333251953125,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.00348606660737,-0.4575041485341949,122.2070083618164
