longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-16.625,12.375,2005-10-30,moins_intense,2005-10-30_000_003,0.0,-0.3973468542098999,1.5142316818237305,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.3973268623178329,95.14187622070312
-16.375,12.375,2005-10-30,moins_intense,2005-10-30_000_004,0.0,-0.4056178629398346,1.8606393337249756,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.40493965628159106,122.32527160644531
-16.125,12.375,2005-10-30,moins_intense,2005-10-30_000_005,0.0,-0.4192805290222168,2.2154550552368164,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.41905917594181236,149.5086669921875
-15.875,12.375,2005-10-30,moins_intense,2005-10-30_000_006,0.0,-0.3914690911769867,2.1065053939819336,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.3901602264175462,176.6920623779297
-15.625,12.375,2005-10-30,moins_intense,2005-10-30_000_007,0.0,-0.45654067397117615,2.678588628768921,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.45596957581127107,203.87545776367188
-15.375,12.375,2005-10-30,moins_intense,2005-10-30_000_008,0.0,-0.49511852860450745,2.84609055519104,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.49089150198140935,231.058837890625
-15.125,12.375,2005-10-30,moins_intense,2005-10-30_000_009,0.0,-0.48032447695732117,2.3242247104644775,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.47558965245682994,258.24224853515625
-14.875,12.375,2005-10-30,moins_intense,2005-10-30_000_010,0.0,-0.4592006206512451,2.0190389156341553,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4583189376634569,285.4256286621094
-14.625,12.375,2005-10-30,moins_intense,2005-10-30_000_011,0.0,-0.45042186975479126,1.8931233882904053,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4503212794287121,312.6090393066406
-14.375,12.375,2005-10-30,moins_intense,2005-10-30_000_012,0.0,-0.4807265102863312,1.4062457084655762,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4803557911110883,339.79241943359375
-14.125,12.375,2005-10-30,moins_intense,2005-10-30_000_013,0.0,-0.4814079701900482,1.2162463665008545,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.48077787661073196,366.9757995605469
-13.875,12.375,2005-10-30,moins_intense,2005-10-30_000_014,0.0,-0.5066298246383667,1.3253302574157715,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.503364707956362,394.1592102050781
-13.625,12.375,2005-10-30,moins_intense,2005-10-30_000_015,0.0,-0.5114830136299133,1.2853182554244995,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5099834506236129,421.34259033203125
-13.375,12.375,2005-10-30,moins_intense,2005-10-30_000_016,0.0,-0.49023327231407166,1.2285491228103638,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4895399564774192,448.5260009765625
-13.125,12.375,2005-10-30,moins_intense,2005-10-30_000_017,0.0,-0.4512135684490204,1.327436089515686,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.45063279344508395,475.7093811035156
-12.875,12.375,2005-10-30,moins_intense,2005-10-30_000_018,0.0,-0.5572544932365417,1.4299522638320923,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5428600173499716,502.89276123046875
-12.625,12.375,2005-10-30,moins_intense,2005-10-30_000_019,0.0,-0.5747195482254028,1.2494460344314575,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5573861393796739,530.076171875
-12.375,12.375,2005-10-30,moins_intense,2005-10-30_000_020,1.1411155462265015,0.016235511749982834,1.1070832014083862,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,1.1447158668508484,0.016269477411879965,557.2595825195312
-12.125,12.375,2005-10-30,moins_intense,2005-10-30_000_021,2.2540409564971924,0.4918234646320343,1.209619402885437,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,2.256446755711158,0.49474751342780676,584.4429321289062
-11.875,12.375,2005-10-30,moins_intense,2005-10-30_000_022,2.385255813598633,0.5112160444259644,1.2872568368911743,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,2.3861280182498183,0.5129256449153075,611.6263427734375
-11.625,12.375,2005-10-30,moins_intense,2005-10-30_000_023,1.4691067934036255,0.027334798127412796,1.4019138813018799,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,1.4709810599609838,0.031182147618663773,638.8097534179688
-11.375,12.375,2005-10-30,moins_intense,2005-10-30_000_024,0.7508569359779358,-0.255478173494339,1.45797860622406,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.7548384998910982,-0.2503688442497397,665.9931640625
-16.625,12.625,2005-10-30,moins_intense,2005-10-30_001_003,0.0,-0.4383346140384674,1.885026454925537,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4383198254971049,95.04988861083984
-16.375,12.625,2005-10-30,moins_intense,2005-10-30_001_004,0.0,-0.39467528462409973,1.8672354221343994,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.3941770771040988,122.2070083618164
-16.125,12.625,2005-10-30,moins_intense,2005-10-30_001_005,0.0,-0.4126576781272888,2.363295555114746,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4120827239362439,149.36412048339844
-15.875,12.625,2005-10-30,moins_intense,2005-10-30_001_006,0.0,-0.4604908227920532,2.141680955886841,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.45958418073366636,176.521240234375
-15.625,12.625,2005-10-30,moins_intense,2005-10-30_001_007,0.0,-0.414915531873703,1.6695055961608887,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.414792650908082,203.6783447265625
-15.375,12.625,2005-10-30,moins_intense,2005-10-30_001_008,0.0,-0.44533029198646545,1.6381653547286987,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.44490511655507975,230.83544921875
-15.125,12.625,2005-10-30,moins_intense,2005-10-30_001_009,0.0,-0.4369588792324066,1.5558925867080688,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4365012841907578,257.9925842285156
-14.875,12.625,2005-10-30,moins_intense,2005-10-30_001_010,0.0,-0.4503023624420166,1.2767823934555054,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4499125317413004,285.1496887207031
-14.625,12.625,2005-10-30,moins_intense,2005-10-30_001_011,0.0,-0.43867406249046326,1.2203614711761475,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.43840710931087856,312.3067932128906
-14.375,12.625,2005-10-30,moins_intense,2005-10-30_001_012,0.0,-0.4156067967414856,0.9497190117835999,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4153592877052537,339.4638977050781
-14.125,12.625,2005-10-30,moins_intense,2005-10-30_001_013,0.0,-0.44870808720588684,1.13783597946167,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4485991555991484,366.6210021972656
-13.875,12.625,2005-10-30,moins_intense,2005-10-30_001_014,0.0,-0.463881254196167,1.0574711561203003,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4632058998747687,393.77813720703125
-13.625,12.625,2005-10-30,moins_intense,2005-10-30_001_015,0.0,-0.4730362892150879,0.8439840078353882,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4725573509182762,420.93524169921875
-13.375,12.625,2005-10-30,moins_intense,2005-10-30_001_016,0.0,-0.37101659178733826,0.7789124846458435,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.37047267094928416,448.09234619140625
-13.125,12.625,2005-10-30,moins_intense,2005-10-30_001_017,0.0,-0.43636757135391235,0.914795994758606,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4355336275681778,475.24945068359375
-12.875,12.625,2005-10-30,moins_intense,2005-10-30_001_018,0.0,-0.5852461457252502,1.132123589515686,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5799419971267182,502.40655517578125
-12.625,12.625,2005-10-30,moins_intense,2005-10-30_001_019,0.0,-0.5799286365509033,1.3149446249008179,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5747457245486466,529.5636596679688
-12.375,12.625,2005-10-30,moins_intense,2005-10-30_001_020,1.3467074632644653,-0.03665957599878311,1.4503358602523804,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,1.3480453581067187,-0.02929998432571404,556.7208251953125
-12.125,12.625,2005-10-30,moins_intense,2005-10-30_001_021,3.0731699466705322,0.4298965334892273,1.6769875288009644,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,3.0732424786342447,0.4401912443601897,583.8778686523438
-11.875,12.625,2005-10-30,moins_intense,2005-10-30_001_022,2.4171881675720215,0.2741701900959015,1.6005859375,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,2.4230439782741704,0.2792869202755208,611.0350341796875
-11.625,12.625,2005-10-30,moins_intense,2005-10-30_001_023,0.8924238681793213,-0.1663135290145874,1.2663339376449585,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.8938098286264505,-0.1661937004657247,638.192138671875
-11.375,12.625,2005-10-30,moins_intense,2005-10-30_001_024,1.5855768918991089,0.1062001883983612,1.3291358947753906,False,False,faible,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,1.5857293066666953,0.11042398519477034,665.3492431640625
-16.625,12.875,2005-10-30,moins_intense,2005-10-30_002_003,0.0,-0.4505276679992676,1.7948331832885742,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4504383508883529,94.95609283447266
-16.375,12.875,2005-10-30,moins_intense,2005-10-30_002_004,0.0,-0.4316493570804596,1.5914398431777954,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4302419353669612,122.08641052246094
-16.125,12.875,2005-10-30,moins_intense,2005-10-30_002_005,0.0,-0.507715106010437,1.6367918252944946,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5066707272026407,149.2167205810547
-15.875,12.875,2005-10-30,moins_intense,2005-10-30_002_006,0.0,-0.503227949142456,1.682501196861267,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4989299156408214,176.34703063964844
-15.625,12.875,2005-10-30,moins_intense,2005-10-30_002_007,0.0,-0.48949939012527466,1.2610827684402466,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4874513135034235,203.47735595703125
-15.375,12.875,2005-10-30,moins_intense,2005-10-30_002_008,0.0,-0.4189724922180176,0.9203616976737976,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4188732785645442,230.60765075683594
-15.125,12.875,2005-10-30,moins_intense,2005-10-30_002_009,0.0,-0.332459956407547,0.7012493014335632,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.33226835368266655,257.73797607421875
-14.875,12.875,2005-10-30,moins_intense,2005-10-30_002_010,0.0,-0.3982203006744385,0.7708401083946228,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.397658485863077,284.8682861328125
-14.625,12.875,2005-10-30,moins_intense,2005-10-30_002_011,0.0,-0.4068755805492401,0.8700939416885376,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.40681456254055753,311.99859619140625
-14.375,12.875,2005-10-30,moins_intense,2005-10-30_002_012,0.0,-0.48262494802474976,1.1741806268692017,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4814966444543858,339.12890625
-14.125,12.875,2005-10-30,moins_intense,2005-10-30_002_013,0.0,-0.38641154766082764,0.751715898513794,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.38595463065945323,366.25921630859375
-13.875,12.875,2005-10-30,moins_intense,2005-10-30_002_014,0.0,-0.40061134099960327,0.7491893172264099,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.40053014285001326,393.3895263671875
-13.625,12.875,2005-10-30,moins_intense,2005-10-30_002_015,0.0,-0.3660537600517273,0.8887977004051208,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.3659522010752903,420.51983642578125
-13.375,12.875,2005-10-30,moins_intense,2005-10-30_002_016,0.0,-0.3514195382595062,0.5829223990440369,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.3513557389752949,447.6501770019531
-13.125,12.875,2005-10-30,moins_intense,2005-10-30_002_017,0.0,-0.419624924659729,0.6946377158164978,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.41937657906182446,474.78045654296875
-12.875,12.875,2005-10-30,moins_intense,2005-10-30_002_018,0.0,-0.49066784977912903,0.9269829392433167,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4902562022808209,501.9107666015625
-12.625,12.875,2005-10-30,moins_intense,2005-10-30_002_019,0.0,-0.5149840712547302,1.405868411064148,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5133987657688371,529.0410766601562
-12.375,12.875,2005-10-30,moins_intense,2005-10-30_002_020,0.0,-0.468171089887619,1.4256459474563599,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4680736677430982,556.1714477539062
-12.125,12.875,2005-10-30,moins_intense,2005-10-30_002_021,0.781829833984375,-0.24145394563674927,1.6052507162094116,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.7882033161182513,-0.23954175435118943,583.3016967773438
-11.875,12.875,2005-10-30,moins_intense,2005-10-30_002_022,0.1906699389219284,-0.4485771059989929,1.713456392288208,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.19162303179352727,-0.4484897544935121,610.4320068359375
-11.625,12.875,2005-10-30,moins_intense,2005-10-30_002_023,0.0,-0.48546865582466125,1.2888091802597046,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.48308716759310294,637.5623779296875
-11.375,12.875,2005-10-30,moins_intense,2005-10-30_002_024,0.969718337059021,-0.16248613595962524,1.43290376663208,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.9742365626234515,-0.16054270502610396,664.6926879882812
-16.625,13.125,2005-10-30,moins_intense,2005-10-30_003_003,0.0,-0.4725111722946167,0.8478862047195435,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.471659048118783,94.86048126220703
-16.375,13.125,2005-10-30,moins_intense,2005-10-30_003_004,0.0,-0.513353705406189,0.9069366455078125,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5115394163970373,121.9634780883789
-16.125,13.125,2005-10-30,moins_intense,2005-10-30_003_005,0.0,-0.5427138805389404,1.1552261114120483,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5252112711793814,149.0664825439453
-15.875,13.125,2005-10-30,moins_intense,2005-10-30_003_006,0.0,-0.518580973148346,1.3016619682312012,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5150744456741678,176.1694793701172
-15.625,13.125,2005-10-30,moins_intense,2005-10-30_003_007,0.0,-0.48717471957206726,1.273537039756775,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.4859553936438345,203.27247619628906
-15.375,13.125,2005-10-30,moins_intense,2005-10-30_003_008,0.0,-0.4369681179523468,0.9990250468254089,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.43696094517731787,230.37545776367188
-15.125,13.125,2005-10-30,moins_intense,2005-10-30_003_009,0.0,-0.4045836627483368,0.6853007078170776,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.40211316254270735,257.47845458984375
-14.875,13.125,2005-10-30,moins_intense,2005-10-30_003_010,0.0,-0.3775620460510254,0.6397108435630798,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.37720917112863245,284.5814514160156
-14.625,13.125,2005-10-30,moins_intense,2005-10-30_003_011,0.0,-0.38224172592163086,0.7157469987869263,False,False,trace,normale,Kolda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.38152817131286887,311.6844482421875
-14.375,13.125,2005-10-30,moins_intense,2005-10-30_003_012,0.0,-0.52498859167099,0.7446708083152771,False,False,trace,normale,Tambacounda,Zone soudanienne,Phase_3_fin,Fin de saison (Septembre-Octobre),2005,10,30,303,0.0005542083254935861,-0.5203427097306179,338.7874450683594
