longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-16.625,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_003,11.249464988708496,0.1403990089893341,9.127570152282715,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,11.265081513467146,0.1404686865195557,95.14187622070312
-16.375,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_004,5.872113227844238,-0.24990859627723694,9.651702880859375,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,5.964812048715562,-0.18753285968123973,122.32527160644531
-16.125,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_005,6.90553617477417,-0.09024210274219513,8.29147720336914,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,6.96849069882877,-0.08624225169719761,149.5086669921875
-15.875,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_006,9.250277519226074,0.07995180040597916,8.18062973022461,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,9.252545260903823,0.08205325111522146,176.6920623779297
-15.625,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_007,11.499214172363281,0.21573705971240997,9.039910316467285,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,11.507489549454732,0.2178203045722827,203.87545776367188
-15.375,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_008,15.201349258422852,0.59159255027771,8.242409706115723,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,15.206766655696697,0.593134354856146,231.058837890625
-15.125,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_009,10.047922134399414,0.08328698575496674,9.17098617553711,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,10.05664267611863,0.0875753667860774,258.24224853515625
-14.875,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_010,12.081494331359863,0.243186354637146,9.342556953430176,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,12.10610218383559,0.24555468806369818,285.4256286621094
-14.625,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_011,10.377877235412598,0.14324891567230225,8.874691009521484,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,10.396476903752466,0.14960887253134697,312.6090393066406
-14.375,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_012,23.490341186523438,1.1148409843444824,9.861141204833984,False,True,forte,humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,23.561993517468313,1.1160176977440341,339.79241943359375
