longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-16.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_003,7.075920104980469,0.061253033578395844,6.50852632522583,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,7.103727647407568,0.06243297813375987,95.14187622070312
-16.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_004,7.177455902099609,0.01947679929435253,6.975020885467529,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,7.186993977532315,0.024330987941342613,122.32527160644531
-16.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_005,6.941917896270752,-0.04513765498995781,7.425387382507324,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.943009357356546,-0.04061690794687773,149.5086669921875
-15.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_006,6.196836471557617,-0.10504849255084991,7.294594764709473,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.225296946626213,-0.09919900785963148,176.6920623779297
-15.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_007,5.889671802520752,-0.16460512578487396,7.896438121795654,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,5.894336027116632,-0.16332808129451976,203.87545776367188
-15.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_008,0.0,-0.5681159496307373,8.539190292358398,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,0.2004459161854229,-0.5629079380826135,231.058837890625
-15.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_009,1.4553250074386597,-0.4649317264556885,8.069192886352539,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,1.4620554704761983,-0.46404383649778125,258.24224853515625
-14.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_010,6.783621788024902,-0.12906315922737122,8.71487045288086,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.799912797745745,-0.12426530401311336,285.4256286621094
-14.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_011,2.8453056812286377,-0.40345677733421326,7.706612586975098,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.852856553379615,-0.3999024460363627,312.6090393066406
-14.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_012,5.310576915740967,-0.18833401799201965,7.301255226135254,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,5.315173026904389,-0.1865278816402857,339.79241943359375
-14.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_013,8.373871803283691,0.1287708878517151,7.155807971954346,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,8.396447761573985,0.12960660431403007,366.9757995605469
-13.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_014,2.667738914489746,-0.5345515012741089,7.705246448516846,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.6913695113742766,-0.5339906617025634,394.1592102050781
-13.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_015,6.740699291229248,-0.07950638979673386,7.4418206214904785,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.742819862749109,-0.0779973233315214,421.34259033203125
-13.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_016,5.943010330200195,-0.11439353972673416,6.877762317657471,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,5.954903595411598,-0.11254083204209503,448.5260009765625
-13.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_017,10.699178695678711,0.5055495500564575,6.655406951904297,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,10.714329213952297,0.5167343167204347,475.7093811035156
-12.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_018,8.489067077636719,0.21462737023830414,6.729130268096924,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,8.51850353173874,0.21742116274246615,502.89276123046875
-12.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_019,6.747560977935791,-0.03656976297497749,7.073239326477051,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.752665977382181,-0.029700116722390632,530.076171875
-12.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_020,8.641219139099121,0.16252008080482483,7.2099127769470215,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,8.655574218711662,0.16292968205171612,557.2595825195312
-12.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_021,19.119165420532227,1.3685836791992188,7.038545608520508,False,False,modérée,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,19.152601059956712,1.371415703739952,584.4429321289062
-11.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_022,23.473737716674805,1.815556526184082,6.589859962463379,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,23.48923622303869,1.8222479562663543,611.6263427734375
