metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
max_precip,Precipitation max mensuel (mm),Nino12,0,-0.0947,0.4253,0.4253,-0.0705,0.5532,0.5532,73,73,,,0.9165,0.9806,,
max_precip,Precipitation max mensuel (mm),Nino3,0,-0.0355,0.7656,0.7656,-0.002,0.9864,0.9864,73,73,,,0.9784,0.9987,,
max_precip,Precipitation max mensuel (mm),Nino34,0,-0.0304,0.7985,0.7985,-0.0058,0.9609,0.9609,73,73,,,0.9796,0.9987,,
max_precip,Precipitation max mensuel (mm),Nino4,0,-0.0733,0.5377,0.5377,-0.0606,0.6106,0.6106,73,73,,,0.9298,0.9806,,
max_precip,Precipitation max mensuel (mm),IOD,0,-0.2152,0.0675,0.0675,-0.2207,0.0607,0.0607,73,73,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),IOBM,0,-0.1435,0.2257,0.2257,-0.1104,0.3526,0.3526,73,73,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),TNA,0,0.0816,0.4923,0.4923,0.0673,0.5718,0.5718,73,73,,,0.9298,0.9806,,
max_precip,Precipitation max mensuel (mm),TSA,0,0.0168,0.8877,0.8877,0.0034,0.9773,0.9773,73,73,,,0.9796,0.9987,,
max_precip,Precipitation max mensuel (mm),ATL3,0,0.012,0.9195,0.9195,-0.0151,0.8992,0.8992,73,73,,,0.9796,0.9987,,
max_precip,Precipitation max mensuel (mm),AMM,0,0.0525,0.6588,0.6588,0.0527,0.6579,0.6579,73,73,,,0.9402,0.9859,,
max_precip,Precipitation max mensuel (mm),AMO,0,0.184,0.1192,0.1192,0.1477,0.2124,0.2124,73,73,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),Nino12,0,-0.1625,0.1696,0.1696,-0.138,0.2443,0.2443,73,73,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),Nino3,0,-0.1162,0.3274,0.3274,-0.0862,0.4682,0.4682,73,73,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),Nino34,0,-0.0918,0.4398,0.4398,-0.0637,0.5925,0.5925,73,73,,,0.9253,0.9806,,
mean_precip,Precipitation moy. (mm),Nino4,0,-0.0843,0.4781,0.4781,-0.095,0.4239,0.4239,73,73,,,0.9298,0.9602,,
mean_precip,Precipitation moy. (mm),IOD,0,-0.2428,0.0385,0.0385,-0.2294,0.0509,0.0509,73,73,*,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),IOBM,0,-0.2226,0.0584,0.0584,-0.1947,0.0988,0.0988,73,73,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),TNA,0,0.0095,0.9367,0.9367,0.0502,0.6734,0.6734,73,73,,,0.9826,0.9969,,
mean_precip,Precipitation moy. (mm),TSA,0,-0.0075,0.9498,0.9498,-0.0146,0.9023,0.9023,73,73,,,0.9882,0.9987,,
mean_precip,Precipitation moy. (mm),ATL3,0,0.0114,0.9238,0.9238,0.0025,0.9833,0.9833,73,73,,,0.9796,0.9987,,
mean_precip,Precipitation moy. (mm),AMM,0,0.0125,0.9167,0.9167,0.067,0.5731,0.5731,73,73,,,0.9796,0.9806,,
mean_precip,Precipitation moy. (mm),AMO,0,0.162,0.171,0.171,0.1927,0.1024,0.1024,73,73,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino12,0,0.0996,0.4016,0.4016,0.1431,0.2272,0.2272,73,73,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino3,0,0.0991,0.4044,0.4044,0.1572,0.184,0.184,73,73,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino34,0,0.0226,0.8492,0.8492,0.0662,0.578,0.578,73,73,,,0.9796,0.9806,,
max_anomaly,Anomalie max moy. (sigma),Nino4,0,-0.0519,0.6625,0.6625,-0.0062,0.9585,0.9585,73,73,,,0.9402,0.9987,,
max_anomaly,Anomalie max moy. (sigma),IOD,0,0.0529,0.6567,0.6567,0.0213,0.8583,0.8583,73,73,,,0.9402,0.9987,,
