metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
max_precip,Precipitation max mensuel (mm),Nino12,0,-0.1292,0.2473,0.2473,-0.0737,0.5104,0.5104,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,0,-0.1264,0.2579,0.2579,-0.1548,0.1649,0.1649,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,0,-0.0872,0.4358,0.4358,-0.1036,0.3545,0.3545,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,0,-0.0799,0.4756,0.4756,-0.0647,0.5636,0.5636,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,0,-0.0395,0.7244,0.7244,-0.0197,0.8606,0.8606,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,0,-0.1501,0.1782,0.1782,-0.0644,0.5652,0.5652,82,82,,,,
max_precip,Precipitation max mensuel (mm),TNA,0,0.0222,0.8432,0.8432,0.0189,0.8661,0.8661,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,0,0.0306,0.7852,0.7852,0.0067,0.9521,0.9521,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,0,0.0812,0.4684,0.4684,0.1604,0.15,0.15,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMM,0,-0.0052,0.9627,0.9627,0.0337,0.7637,0.7637,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMO,0,-0.0338,0.7631,0.7631,0.0032,0.9772,0.9772,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino12,0,-0.065,0.562,0.562,0.0253,0.8218,0.8218,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino3,0,-0.1532,0.1693,0.1693,-0.17,0.1267,0.1267,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,0,-0.1276,0.2532,0.2532,-0.1492,0.1808,0.1808,82,82,,,,
